/home/WIN/cdegma/PKTFX/data/dream/lambda_01/5_3
loss	sse	Lt	Lp
1099.49295	1097.72370	16.04256	9.96617
960.02870	958.19030	16.35434	10.37009
868.03912	865.65444	20.10468	11.84681
782.76577	779.59550	24.57901	14.14031
716.40774	712.49298	27.83435	16.38206
644.04132	639.12656	30.93120	19.28097
583.66865	577.68879	33.14473	21.93777
536.29355	529.56790	34.44537	23.47996
504.47854	497.49507	34.90783	24.04244
473.76455	466.71239	35.09462	24.32185
448.88416	441.74255	35.24965	24.62380
427.50713	420.17083	35.37420	25.06435
405.22393	397.59913	35.64329	25.58279
387.53305	379.68013	35.96923	25.96453
370.80526	362.77649	36.35928	26.28048
354.98264	346.75590	36.81207	26.61185
339.96030	331.50977	37.28864	26.98420
327.94455	319.29433	37.69230	27.31853
314.05473	305.15061	38.20513	27.72907
302.90219	293.77688	38.63446	28.07581
292.10820	282.77757	39.05520	28.41159
281.68078	272.13293	39.47312	28.76469
269.62248	259.81993	39.93983	29.18819
258.07374	248.00625	40.41384	29.61941
248.81383	238.54123	40.80291	29.98105
238.14677	227.62887	41.25707	30.41592
228.00163	217.22607	41.67792	30.84201
218.33380	207.33668	42.06873	31.23192
209.13518	197.94769	42.43836	31.59093
200.41706	189.01716	42.79346	31.95328
193.50483	181.96672	43.06565	32.22652
186.92898	175.26603	43.33240	32.48644
180.67517	168.89450	43.58329	32.73240
172.42255	160.52601	43.89070	33.03688
166.90046	154.91596	44.09648	33.23035
161.64707	149.59000	44.28146	33.40094
154.73063	142.57949	44.49922	33.63884
150.07161	137.88270	44.64868	33.78099
144.76523	132.54108	44.81277	33.94014
139.75091	127.49638	44.96869	34.08506
135.00229	122.71654	45.09735	34.22302
130.50239	118.21015	45.20068	34.33100
126.21539	113.94107	45.29447	34.40713
122.14978	109.87636	45.40025	34.48881
118.27952	106.01454	45.48345	34.56911
115.19636	102.93020	45.56234	34.63528
111.64276	99.39235	45.63170	34.69134
108.79918	96.57121	45.68071	34.72036
105.51293	93.32593	45.75323	34.73957
102.87588	90.72309	45.81303	34.75105
99.82972	87.72650	45.85888	34.76546
97.38625	85.32320	45.89588	34.77190
95.02073	82.99822	45.93554	34.77887
92.73035	80.75133	45.96634	34.77545
90.50743	78.57565	46.00489	34.76393
88.35117	76.47061	46.03318	34.75031
85.84883	74.02902	46.06327	34.72642
83.43826	71.67332	46.09959	34.69538
