_	r	p	ψ
TF1	1.0	1.0	0.4400909093651513
TF2	1.0	1.0	0.573278841773373
KP1	1.0	1.0	1.0
KP2	1.0	1.0	0.49999999999973915
KP3	0.5532401049478649	0.5528343627420871	0.5513264674778038
O1	0.7614051688711246	0.7582493105922207	0.0
