_	TF1	TF2	KP1	KP2	KP3
TF1	-7.888664303411524	0.0	0.0	0.0	0.0
TF2	0.0	-8.406932028050505	0.0	0.0	0.0
KP1	0.0	0.0	-7.696875575424926	0.0	0.0
KP2	0.0	0.0	0.0	-8.008561246953253	0.0
KP3	-1.8310377808122065	2.5360172071662638e-5	-1.8309548286430213	-1.8310126261920465	-7.904429730989206
O1	0.2725306079918559	-2.523933675191017	0.2718741520330587	0.27236706805036653	-2.516029268430198
