MAL63	MAL62
YAL051W	YBR053C
YAL051W	YBR072W
YAL051W	YBR126C
YAL051W	YBR135W
YAL051W	YBR159W
YAL051W	YCR010C
YAL051W	YDL037C
YAL051W	YDR072C
YAL051W	YDR077W
YAL051W	YDR207C
YAL051W	YDR244W
YAL051W	YDR256C
YAL051W	YDR384C
YAL051W	YEL011W
YAL051W	YEL060C
YAL051W	YER015W
YAL051W	YER065C
YAL051W	YGL045W
YAL051W	YGL096W
YAL051W	YGL205W
YAL051W	YGR035C
YAL051W	YGR052W
YAL051W	YGR117C
YAL051W	YGR161C
YAL051W	YHL027W
YAL051W	YHR096C
YAL051W	YIL118W
YAL051W	YIL120W
YAL051W	YIL160C
YAL051W	YJL044C
YAL051W	YJL153C
YAL051W	YJL196C
YAL051W	YJL218W
YAL051W	YJR019C
YAL051W	YJR071W
YAL051W	YJR113C
YAL051W	YKL052C
YAL051W	YKL085W
YAL051W	YKL087C
YAL051W	YKL096W-A
YAL051W	YKL201C
YAL051W	YKR009C
YAL051W	YKR080W
YAL051W	YKR093W
YAL051W	YLR284C
YAL051W	YML004C
YAL051W	YML007W
YAL051W	YML063W
YAL051W	YML128C
YAL051W	YMR009W
YAL051W	YMR017W
YAL051W	YMR018W
YAL051W	YMR102C
YAL051W	YMR135C
YAL051W	YMR210W
YAL051W	YMR272C
YAL051W	YMR303C
YAL051W	YMR316W
YAL051W	YNL009W
YAL051W	YNL117W
YAL051W	YNR018W
YAL051W	YOL002C
YAL051W	YOL083W
YAL051W	YOL084W
YAL051W	YOL101C
YAL051W	YOL111C
YAL051W	YOL126C
YAL051W	YOL147C
YAL051W	YOR049C
YAL051W	YOR084W
YAL051W	YOR100C
YAL051W	YOR101W
YAL051W	YOR153W
YAL051W	YOR220W
YAL051W	YOR273C
YAL051W	YOR302W
YAL051W	YOR317W
YAL051W	YOR342C
YAL051W	YOR348C
YAL051W	YOR363C
YAL051W	YPL016W
YAL051W	YPL095C
YAL051W	YPL112C
YAL051W	YPL177C
YAL051W	YPR128C
YBL005W	YBL005W
YBL005W	YBL006C
YBL005W	YBR008C
YBL005W	YDR072C
YBL005W	YDR415C
YBL005W	YDR416W
YBL005W	YDR468C
YBL005W	YDR469W
YBL005W	YHR064C
YBL005W	YJR007W
YBL005W	YKL077W
YBL005W	YML093W
YBL005W	YML096W
YBL005W	YML097C
YBL005W	YMR258C
YBL005W	YNL258C
YBL005W	YNR007C
YBL005W	YNR008W
YBL005W	YOL083W
YBL005W	YOR148C
YBL005W	YOR153W
YBL005W	YOR233W
YBL021C	YBR244W
YBL021C	YDR232W
YBL021C	YGR183C
YBL021C	YHR051W
YBL021C	YJR048W
YBL021C	YJR078W
YBL021C	YML091C
YBL021C	YNR001C
YBL021C	YOR065W
YBL021C	YPL018W
YBL021C	YPR191W
YBL103C	YBR104W
YBL103C	YCR096C
YBL103C	YDL182W
YBL103C	YDR077W
YBL103C	YDR171W
YBL103C	YDR279W
YBL103C	YDR510W
YBL103C	YEL071W
YBL103C	YGR142W
YBL103C	YHR018C
YBL103C	YHR051W
YBL103C	YJR148W
YBL103C	YKL216W
YBL103C	YLR049C
YBL103C	YLR266C
YBL103C	YLR304C
YBL103C	YMR178W
YBL103C	YNL037C
YBL103C	YNR001C
YBL103C	YOR136W
YBL103C	YPR001W
YBR049C	YAL025C
YBR049C	YBL013W
YBR049C	YBR049C
YBR049C	YCL054W
YBR049C	YDL007W
YBR049C	YDL140C
YBR049C	YDL213C
YBR049C	YDR029W
YBR049C	YDR100W
YBR049C	YDR158W
YBR049C	YDR496C
YBR049C	YEL026W
YBR049C	YER025W
YBR049C	YER163C
YBR049C	YFL023W
YBR049C	YFL039C
YBR049C	YFR051C
YBR049C	YGL198W
YBR049C	YGR145W
YBR049C	YGR172C
YBR049C	YGR195W
YBR049C	YGR243W
YBR049C	YGR280C
YBR049C	YHL031C
YBR049C	YHR025W
YBR049C	YHR026W
YBR049C	YIL116W
YBR049C	YIL121W
YBR049C	YJL001W
YBR049C	YJL039C
YBR049C	YJL158C
YBR049C	YJR047C
YBR049C	YJR065C
YBR049C	YKL081W
YBR049C	YKR011C
YBR049C	YLL034C
YBR049C	YLR162W
YBR049C	YLR171W
YBR049C	YLR378C
YBR049C	YLR380W
YBR049C	YMR186W
YBR049C	YMR208W
YBR049C	YNL301C
YBR049C	YNR061C
YBR049C	YOL052C
YBR049C	YOR078W
YBR049C	YOR120W
YBR049C	YOR151C
YBR049C	YOR237W
YBR049C	YOR276W
YBR049C	YOR287C
YBR049C	YPR074C
YBR083W	YAL028W
YBR083W	YAL029C
YBR083W	YAL041W
YBR083W	YAR010C
YBR083W	YAR015W
YBR083W	YBL004W
YBR083W	YBL014C
YBR083W	YBL016W
YBR083W	YBL029W
YBR083W	YBL037W
YBR083W	YBL043W
YBR083W	YBL044W
YBR083W	YBL107W-A
YBR083W	YBR007C
YBR083W	YBR012W-A
YBR083W	YBR012W-B
YBR083W	YBR021W
YBR083W	YBR040W
YBR083W	YBR057C
YBR083W	YBR077C
YBR083W	YBR078W
YBR083W	YBR083W
YBR083W	YBR093C
YBR083W	YBR094W
YBR083W	YBR117C
YBR083W	YBR133C
YBR083W	YBR150C
YBR083W	YBR162C
YBR083W	YBR209W
YBR083W	YBR301W
YBR083W	YCL027W
YBR083W	YCR017C
YBR083W	YCR061W
YBR083W	YCR089W
YBR083W	YCR105W
YBR083W	YCR107W
YBR083W	YDL048C
YBR083W	YDL049C
YBR083W	YDL127W
YBR083W	YDL182W
YBR083W	YDL183C
YBR083W	YDL214C
YBR083W	YDR034C
YBR083W	YDR040C
YBR083W	YDR041W
YBR083W	YDR043C
YBR083W	YDR077W
YBR083W	YDR098C-A
YBR083W	YDR132C
YBR083W	YDR169C
YBR083W	YDR171W
YBR083W	YDR180W
YBR083W	YDR186C
YBR083W	YDR210W
YBR083W	YDR211W
YBR083W	YDR249C
YBR083W	YDR251W
YBR083W	YDR261C
YBR083W	YDR274C
YBR083W	YDR309C
YBR083W	YDR316W-A
YBR083W	YDR317W
YBR083W	YDR342C
YBR083W	YDR343C
YBR083W	YDR365C
YBR083W	YDR379W
YBR083W	YDR446W
