TF	Target	Relationship
CSRE	YAL053W	-
CSRE	YAL054C	-
CSRE	YBR083W	-
CSRE	YCR005C	-
CSRE	YCR010C	-
CSRE	YCR034W	-
CSRE	YDR407C	-
CSRE	YDR437W	-
CSRE	YER065C	-
CSRE	YER145C	-
CSRE	YGL179C	-
CSRE	YGR162W	-
CSRE	YJR095W	-
CSRE	YJR100C	-
CSRE	YJR101W	-
CSRE	YJR152W	-
CSRE	YKR079C	-
CSRE	YKR097W	-
CSRE	YLR153C	-
CSRE	YLR154C	-
CSRE	YLR227C	-
CSRE	YLR271W	-
CSRE	YLR303W	-
CSRE	YLR377C	-
CSRE	YLR381W	-
CSRE	YML042W	-
CSRE	YML043C	-
CSRE	YML060W	-
CSRE	YNL023C	-
CSRE	YOR095C	-
CSRE	YOR189W	-
CSRE	YOR337W	-
CSRE	YPL119C	-
CSRE	YPR166C	-
CSRE	YPR168W	-
ECB	YBR142W	-
ECB	YBR282W	-
ECB	YBR286W	-
ECB	YLR028C	-
ECB	YML114C	-
ECB	YNL032W	-
ECB	YNL241C	-
MAL63	YBL010C	-
MAL63	YBR053C	-
MAL63	YBR101C	-
MAL63	YBR276C	-
MAL63	YBR279W	-
MAL63	YBR299W	-
MAL63	YDL204W	-
MAL63	YDL205C	-
MAL63	YDR207C	-
MAL63	YDR208W	-
MAL63	YDR463W	-
MAL63	YDR493W	-
MAL63	YEL009C	-
MAL63	YGL008C	-
MAL63	YGL047W	-
MAL63	YGL048C	-
MAL63	YGR141W	-
MAL63	YGR206W	-
MAL63	YHR011W	-
MAL63	YHR091C	-
MAL63	YHR114W	-
MAL63	YIL031W	-
MAL63	YIL033C	-
MAL63	YJR070C	-
MAL63	YKL088W	-
MAL63	YKL117W	-
MAL63	YKR006C	-
MAL63	YKR008W	-
MAL63	YKR100C	-
MAL63	YKR101W	-
MAL63	YLL026W	-
MAL63	YLR097C	-
MAL63	YLR131C	-
MAL63	YLR134W	-
MAL63	YLR193C	-
MAL63	YLR237W	-
MAL63	YLR396C	-
MAL63	YLR423C	-
MAL63	YML037C	-
MAL63	YNL024C	-
MAL63	YNL234W	-
MAL63	YNL289W	-
MAL63	YNL291C	-
MAL63	YNL298W	-
MAL63	YNL299W	-
MAL63	YOL005C	-
MAL63	YOR145C	-
MAL63	YPL098C	-
MATA1	YAL048C	-
MATA1	YBR199W	-
MATA1	YCL021W-A	-
MATA1	YCR081W	-
MATA1	YDL130W-A	-
MATA1	YDL217C	-
MATA1	YDL227C	-
MATA1	YDR282C	-
MATA1	YDR402C	-
MATA1	YER105C	-
MATA1	YER106W	-
MATA1	YGR112W	-
MATA1	YGR263C	-
MATA1	YHR127W	-
MATA1	YIL108W	-
MATA1	YIL166C	-
MATA1	YIR001C	-
MATA1	YKL005C	-
MATA1	YKL054C	-
MATA1	YKL190W	-
MATA1	YLR438W	-
MATA1	YNL314W	-
MATA1	YNL316C	-
MATA1	YOL110W	-
MATA1	YOL153C	-
MATA1	YOR051C	-
MATA1	YOR350C	-
MATA1	YPL033C	-
MATA1	YPL269W	-
MATA2	YAL056W	-
MATA2	YAR018C	-
MATA2	YBL014C	-
MATA2	YBL020W	-
MATA2	YCR009C	-
MATA2	YDL144C	-
MATA2	YDL161W	-
MATA2	YDL235C	-
MATA2	YDR297W	-
MATA2	YDR451C	-
MATA2	YER022W	-
MATA2	YER049W	-
MATA2	YFL026W	-
MATA2	YFL027C	-
MATA2	YGL005C	-
MATA2	YGL032C	-
MATA2	YGL067W	-
MATA2	YGL130W	-
MATA2	YGL157W	-
MATA2	YGL237C	-
MATA2	YGR075C	-
MATA2	YGR112W	-
MATA2	YGR116W	-
MATA2	YHR038W	-
MATA2	YIL015W	-
MATA2	YIR022W	-
MATA2	YIR032C	-
MATA2	YJR100C	-
MATA2	YJR152W	-
MATA2	YKL208W	-
MATA2	YKL209C	-
MATA2	YKR066C	-
MATA2	YLR218C	-
MATA2	YLR222C	-
MATA2	YLR397C	-
MATA2	YML001W	-
MATA2	YML032C	-
MATA2	YMR157C	-
MATA2	YMR201C	-
MATA2	YMR203W	-
MATA2	YNR046W	-
MATA2	YOL032W	-
MATA2	YOR004W	-
MATA2	YPL266W	-
MATA2	YPR057W	-
MCB	YCL010C	-
MCB	YDL106C	-
MCB	YDR058C	-
MCB	YDR310C	-
MCB	YDR353W	-
MCB	YEL047C	-
MCB	YER111C	-
MCB	YER112W	-
MCB	YER188W	-
MCB	YFL039C	-
MCB	YGL050W	-
MCB	YGR165W	-
MCB	YHL034C	-
MCB	YJL039C	-
MCB	YJL045W	-
MCB	YJR048W	-
MCB	YJR055W	-
MCB	YKL045W	-
MCB	YKL046C	-
MCB	YKL112W	-
MCB	YKL113C	-
MCB	YKR044W	-
MCB	YLR348C	-
MCB	YLR350W	-
MCB	YML071C	-
MCB	YMR016C	-
MCB	YMR017W	-
MCB	YMR122W-A	-
MCB	YMR179W	-
MCB	YNL210W	-
MCB	YNL211C	-
MCB	YNL233W	-
MCB	YNL298W	-
MCB	YOL122C	-
MCB	YOL147C	-
MCB	YOR008C	-
MCB	YOR075W	-
MCB	YPL152W	-
MCB	YPL153C	-
MCB	YPR075C	-
MCB	YPR174C	-
MSE	YBR133C	-
MSE	YGL162W	-
MSE	YGL184C	-
MSE	YIL127C	-
MSE	YIR021W	-
MSE	YJL122W	-
SCB	YDL170W	-
SCB	YFL045C	-
SCB	YGR076C	-
SCB	YKL113C	-
SCB	YLR207W	-
SCB	YMR199W	-
SCB	YMR286W	-
STRE	YBL077W	-
STRE	YBL105C	-
STRE	YBR072W	-
STRE	YBR126C	-
STRE	YCL040W	-
STRE	YCL051W	-
STRE	YCL052C	-
STRE	YCL054W	-
STRE	YCR075C	-
STRE	YDR510W	-
STRE	YDR511W	-
STRE	YER067W	-
STRE	YFR015C	-
STRE	YFR017C	-
STRE	YFR053C	-
STRE	YGL006W	-
STRE	YGR254W	-
STRE	YHR025W	-
STRE	YIR013C	-
STRE	YIR033W	-
STRE	YJL052W	-
STRE	YJL076W	-
STRE	YLL055W	-
STRE	YLR327C	-
STRE	YNL234W	-
STRE	YPL050C	-
STRE	YPL219W	-
STRE	YPR074C	-
STRE	YPR100W	-
STRE	YPR128C	-
YAL051W	YAL035W	-
YAL051W	YBR214W	-
YAL051W	YHR115C	-
YAL051W	YHR117W	-
YAL051W	YLR175W	-
YAL051W	YML072C	-
YBL005W	YBL007C	-
YBL005W	YBR034C	-
YBL005W	YDR073W	-
YBL005W	YDR322C-A	-
YBL005W	YDR345C	-
YBL005W	YER115C	-
YBL005W	YFL017W-A	-
YBL005W	YFL018C	-
YBL005W	YGL209W	-
YBL005W	YGR017W	-
YBL005W	YHR029C	-
YBL005W	YHR140W	-
YBL005W	YIL056W	-
YBL005W	YIL057C	-
YBL005W	YIR018W	-
YBL005W	YJL082W	-
YBL005W	YKL007W	-
YBL005W	YKL039W	-
YBL005W	YLR099C	-
YBL005W	YLR250W	-
YBL005W	YLR346C	-
YBL005W	YML125C	-
YBL005W	YMR195W	-
YBL005W	YNL160W	-
YBL005W	YNL231C	-
YBL005W	YOR049C	-
YBL005W	YOR152C	-
YBL005W	YOR162C	-
YBL005W	YOR163W	-
YBL005W	YOR179C	-
YBL005W	YPL061W	-
YBL005W	YPL066W	-
YBL005W	YPL068C	-
YBL005W	YPL137C	-
YBL005W	YPR149W	-
YBL008W	YBL002W	-
YBL008W	YBL003C	-
YBL008W	YBL063W	-
YBL008W	YBR009C	-
YBL008W	YBR010W	-
YBL008W	YCL059C	-
YBL008W	YCL067C	-
YBL008W	YDR224C	-
YBL008W	YDR225W	-
YBL008W	YDR227W	-
YBL008W	YDR300C	-
YBL008W	YDR386W	-
YBL008W	YEL001C	-
YBL008W	YEL002C	-
YBL008W	YEL056W	-
YBL008W	YFR001W	-
YBL008W	YFR002W	-
YBL008W	YJL081C	-
YBL008W	YLR002C	-
YBL008W	YLR061W	-
YBL008W	YLR063W	-
YBL008W	YLR167W	-
YBL008W	YLR185W	-
YBL008W	YLR340W	-
YBL008W	YMR308C	-
YBL008W	YNL030W	-
YBL008W	YNL031C	-
YBL008W	YPL253C	-
YBL008W	YPR110C	-
YBL021C	YDR519W	-
YBL021C	YER174C	-
YBL021C	YER175W-A	-
YBL021C	YGL187C	-
YBL021C	YGL188C-A	-
YBL021C	YGL189C	-
YBL021C	YGL220W	-
YBL021C	YGR262C	-
YBL021C	YHR001W-A	-
YBL021C	YHR002W	-
