TF	Target	Relationship
YBL021C	YKL027W	-
YBL021C	YLL026W	-
YBL021C	YLL027W	-
YBL021C	YLR196W	-
YBL021C	YLR220W	-
YBL021C	YOR027W	-
YBL021C	YPL207W	-
YBL021C	YPL235W	-
YBL103C	TK(CUU)C	-
YBL103C	TN(GUU)N2	-
YBL103C	TR(UCU)E	-
YBL103C	TW(CCA)J	-
YBL103C	YBL043W	-
YBL103C	YCR019W	-
YBL103C	YCR105W	-
YBL103C	YCR107W	-
YBL103C	YDL066W	-
YBL103C	YDL067C	-
YBL103C	YDL069C	-
YBL103C	YDR380W	-
YBL103C	YER013W	-
YBL103C	YER069W	-
YBL103C	YER137C	-
YBL103C	YFR017C	-
YBL103C	YGR071C	-
YBL103C	YGR072W	-
YBL103C	YGR074W	-
YBL103C	YHR161C	-
YBL103C	YIL056W	-
YBL103C	YIL057C	-
YBL103C	YJL088W	-
YBL103C	YJR109C	-
YBL103C	YJR110W	-
YBL103C	YKL067W	-
YBL103C	YKL085W	-
YBL103C	YKR072C	-
YBL103C	YLR003C	-
YBL103C	YLR004C	-
YBL103C	YMR099C	-
YBL103C	YMR117C	-
YBL103C	YNL036W	-
YBL103C	YOL058W	-
YBL103C	YOL128C	-
YBL103C	YOR303W	-
YBL103C	YPL135W	-
YBL103C	YPL224C	-
YBL103C	YPR040W	-
YBL103C	YPR198W	-
YBR049C	TP(UGG)H	-
YBR049C	YAL030W	-
YBR049C	YBL036C	-
YBR049C	YBL050W	-
YBR049C	YBL058W	-
YBR049C	YBL059C-A	-
YBR049C	YBR035C	-
YBR049C	YBR081C	-
YBR049C	YBR143C	-
YBR049C	YBR164C	-
YBR049C	YBR165W	-
YBR049C	YBR236C	-
YBR049C	YBR237W	-
YBR049C	YCR031C	-
YBR049C	YCR032W	-
YBR049C	YCR067C	-
YBR049C	YCR068W	-
YBR049C	YCR094W	-
YBR049C	YCR095C	-
YBR049C	YDL045W-A	-
YBR049C	YDL070W	-
YBR049C	YDL085W	-
YBR049C	YDL137W	-
YBR049C	YDL185W	-
YBR049C	YDL186W	-
YBR049C	YDL188C	-
YBR049C	YDL207W	-
YBR049C	YDL208W	-
YBR049C	YDL209C	-
YBR049C	YDL212W	-
YBR049C	YDL214C	-
YBR049C	YDL225W	-
YBR049C	YDL226C	-
YBR049C	YDR003W	-
YBR049C	YDR004W	-
YBR049C	YDR028C	-
YBR049C	YDR036C	-
YBR049C	YDR101C	-
YBR049C	YDR103W	-
YBR049C	YDR144C	-
YBR049C	YDR153C	-
YBR049C	YDR155C	-
YBR049C	YDR156W	-
YBR049C	YDR174W	-
YBR049C	YDR190C	-
YBR049C	YDR191W	-
YBR049C	YDR219C	-
YBR049C	YDR221W	-
YBR049C	YDR257C	-
YBR049C	YDR313C	-
YBR049C	YDR323C	-
YBR049C	YDR411C	-
YBR049C	YDR412W	-
YBR049C	YDR465C	-
YBR049C	YDR466W	-
YBR049C	YDR468C	-
YBR049C	YEL011W	-
YBR049C	YEL022W	-
YBR049C	YEL023C	-
YBR049C	YEL027W	-
YBR049C	YEL051W	-
YBR049C	YER013W	-
YBR049C	YER021W	-
YBR049C	YER039C	-
YBR049C	YER039C-A	-
YBR049C	YER048W-A	-
YBR049C	YER049W	-
YBR049C	YER068W	-
YBR049C	YER091C	-
YBR049C	YER105C	-
YBR049C	YER106W	-
YBR049C	YER111C	-
YBR049C	YER112W	-
YBR049C	YER157W	-
YBR049C	YFL004W	-
YBR049C	YFL005W	-
YBR049C	YFL024C	-
YBR049C	YFR050C	-
YBR049C	YFR052W	-
YBR049C	YGL043W	-
YBR049C	YGL068W	-
YBR049C	YGL070C	-
YBR049C	YGL119W	-
YBR049C	YGL120C	-
YBR049C	YGL154C	-
YBR049C	YGL161C	-
YBR049C	YGL181W	-
YBR049C	YGL183C	-
YBR049C	YGL184C	-
YBR049C	YGL200C	-
YBR049C	YGL237C	-
YBR049C	YGL246C	-
YBR049C	YGL247W	-
YBR049C	YGL248W	-
YBR049C	YGR002C	-
YBR049C	YGR009C	-
YBR049C	YGR012W	-
YBR049C	YGR013W	-
YBR049C	YGR026W	-
YBR049C	YGR037C	-
YBR049C	YGR038W	-
YBR049C	YGR044C	-
YBR049C	YGR046W	-
YBR049C	YGR053C	-
YBR049C	YGR054W	-
YBR049C	YGR077C	-
YBR049C	YGR078C	-
YBR049C	YGR079W	-
YBR049C	YGR080W	-
YBR049C	YGR083C	-
YBR049C	YGR132C	-
YBR049C	YGR133W	-
YBR049C	YGR135W	-
YBR049C	YGR141W	-
YBR049C	YGR146C-A	-
YBR049C	YGR147C	-
YBR049C	YGR156W	-
YBR049C	YGR173W	-
YBR049C	YGR179C	-
YBR049C	YGR184C	-
YBR049C	YGR186W	-
YBR049C	YGR220C	-
YBR049C	YGR231C	-
YBR049C	YGR232W	-
YBR049C	YGR235C	-
YBR049C	YGR241C	-
YBR049C	YGR285C	-
YBR049C	YHL004W	-
YBR049C	YHR039C-A	-
YBR049C	YHR144C	-
YBR049C	YHR146W	-
YBR049C	YHR170W	-
YBR049C	YIL022W	-
YBR049C	YIL023C	-
YBR049C	YIL024C	-
YBR049C	YIL075C	-
YBR049C	YIL108W	-
YBR049C	YIL109C	-
YBR049C	YIL112W	-
YBR049C	YIL114C	-
YBR049C	YIL148W	-
YBR049C	YIR002C	-
YBR049C	YIR003W	-
YBR049C	YJL002C	-
YBR049C	YJL042W	-
YBR049C	YJL043W	-
YBR049C	YJL044C	-
YBR049C	YJL105W	-
YBR049C	YJL111W	-
YBR049C	YJL194W	-
YBR049C	YJL196C	-
YBR049C	YJR007W	-
YBR049C	YJR008W	-
YBR049C	YJR085C	-
YBR049C	YJR086W	-
YBR049C	YJR090C	-
YBR049C	YJR098C	-
YBR049C	YJR099W	-
YBR049C	YKL009W	-
YBR049C	YKL051W	-
YBR049C	YKL058W	-
YBR049C	YKL059C	-
YBR049C	YKL072W	-
YBR049C	YKL082C	-
YBR049C	YKL104C	-
YBR049C	YKL142W	-
YBR049C	YKL145W	-
YBR049C	YKL146W	-
YBR049C	YKL148C	-
YBR049C	YKL203C	-
YBR049C	YKR015C	-
YBR049C	YKR016W	-
YBR049C	YKR048C	-
YBR049C	YKR068C	-
YBR049C	YKR069W	-
YBR049C	YLL040C	-
YBR049C	YLL049W	-
YBR049C	YLL050C	-
YBR049C	YLR093C	-
YBR049C	YLR115W	-
YBR049C	YLR168C	-
YBR049C	YLR170C	-
YBR049C	YLR208W	-
YBR049C	YLR224W	-
YBR049C	YLR229C	-
YBR049C	YLR262C	-
YBR049C	YLR277C	-
YBR049C	YLR298C	-
YBR049C	YLR367W	-
YBR049C	YLR390W-A	-
YBR049C	YLR457C	-
YBR049C	YLR459W	-
YBR049C	YML001W	-
YBR049C	YML042W	-
YBR049C	YML043C	-
YBR049C	YML119W	-
YBR049C	YML120C	-
YBR049C	YML129C	-
YBR049C	YML130C	-
YBR049C	YMR001C	-
YBR049C	YMR002W	-
YBR049C	YMR039C	-
YBR049C	YMR040W	-
YBR049C	YMR047C	-
YBR049C	YMR048W	-
YBR049C	YMR116C	-
YBR049C	YMR117C	-
YBR049C	YMR120C	-
YBR049C	YMR121C	-
YBR049C	YMR122W-A	-
YBR049C	YMR182C	-
YBR049C	YMR183C	-
YBR049C	YMR187C	-
YBR049C	YMR188C	-
YBR049C	YMR189W	-
YBR049C	YMR214W	-
YBR049C	YMR215W	-
YBR049C	YMR280C	-
YBR049C	YMR281W	-
YBR049C	YMR310C	-
YBR049C	YNL090W	-
YBR049C	YNL091W	-
YBR049C	YNL112W	-
YBR049C	YNL113W	-
YBR049C	YNL115C	-
YBR049C	YNL161W	-
YBR049C	YNL169C	-
YBR049C	YNL245C	-
YBR049C	YNL284C	-
YBR049C	YNL308C	-
YBR049C	YNR011C	-
YBR049C	YNR012W	-
YBR049C	YNR015W	-
YBR049C	YNR039C	-
YBR049C	YNR040W	-
YBR049C	YOL004W	-
YBR049C	YOL005C	-
YBR049C	YOL006C	-
YBR049C	YOL031C	-
YBR049C	YOL124C	-
YBR049C	YOL144W	-
YBR049C	YOL145C	-
YBR049C	YOR021C	-
YBR049C	YOR044W	-
YBR049C	YOR045W	-
YBR049C	YOR076C	-
YBR049C	YOR093C	-
YBR049C	YOR094W	-
YBR049C	YOR101W	-
YBR049C	YOR116C	-
YBR049C	YOR117W	-
YBR049C	YOR122C	-
YBR049C	YOR128C	-
YBR049C	YOR148C	-
YBR049C	YOR149C	-
YBR049C	YOR150W	-
YBR049C	YOR157C	-
YBR049C	YOR158W	-
YBR049C	YOR185C	-
YBR049C	YOR187W	-
YBR049C	YOR271C	-
YBR049C	YOR272W	-
YBR049C	YOR289W	-
YBR049C	YOR319W	-
YBR049C	YOR335C	-
YBR049C	YOR336W	-
YBR049C	YOR340C	-
YBR049C	YOR369C	-
YBR049C	YPL160W	-
YBR049C	YPL161C	-
YBR049C	YPL180W	-
YBR049C	YPL204W	-
YBR049C	YPL206C	-
YBR049C	YPL211W	-
YBR049C	YPL212C	-
YBR049C	YPL237W	-
YBR049C	YPR025C	-
YBR049C	YPR026W	-
YBR049C	YPR029C	-
YBR049C	YPR052C	-
YBR049C	YPR055W	-
YBR049C	YPR067W	-
YBR049C	YPR080W	-
YBR049C	YPR098C	-
YBR049C	YPR101W	-
YBR049C	YPR103W	-
YBR049C	YPR119W	-
YBR049C	YPR163C	-
YBR049C	YPR164W	-
YBR049C	YPR181C	-
YBR049C	YPR182W	-
YBR049C	YPR183W	-
YBR049C	snR189	-
YBR083W	TA(AGC)H	-
YBR083W	TA(AGC)K2	-
YBR083W	YBR041W	-
YBR083W	YBR082C	-
YBR083W	YBR085W	-
YBR083W	YBR114W	-
YBR083W	YCL029C	-
YBR083W	YCR028C-A	-
YBR083W	YDL124W	-
YBR083W	YDL126C	-
YBR083W	YDL170W	-
YBR083W	YDR108W	-
YBR083W	YER048W-A	-
YBR083W	YER190W	-
YBR083W	YFL037W	-
YBR083W	YFL039C	-
YBR083W	YGR163W	-
YBR083W	YIL118W	-
YBR083W	YKL094W	-
YBR083W	YKR041W	-
YBR083W	YKR042W	-
YBR083W	YLL066C	-
YBR083W	YLR329W	-
YBR083W	YNL053W	-
YBR083W	YNL280C	-
YBR083W	YNL336W	-
YBR182C	TM(CAU)J3	-
YBR182C	TS(AGA)D3	-
YBR182C	YAL022C	-
YBR182C	YBL027W	-
YBR182C	YBL063W	-
YBR182C	YBL087C	-
YBR182C	YBR010W	-
YBR182C	YBR046C	-
YBR182C	YBR048W	-
YBR182C	YBR154C	-
YBR182C	YBR183W	-
YBR182C	YBR191W	-
YBR182C	YBR249C	-
YBR182C	YBR250W	-
YBR182C	YBR283C	-
YBR182C	YCL067C	-
YBR182C	YCL069W	-
YBR182C	YDL004W	-
YBR182C	YDL005C	-
YBR182C	YDL061C	-
YBR182C	YDR119W	-
YBR182C	YDR143C	-
YBR182C	YDR161W	-
YBR182C	YDR286C	-
YBR182C	YDR288W	-
YBR182C	YDR350C	-
YBR182C	YDR351W	-
YBR182C	YDR418W	-
YBR182C	YDR420W	-
YBR182C	YDR447C	-
YBR182C	YDR449C	-
YBR182C	YDR450W	-
YBR182C	YEL011W	-
YBR182C	YEL040W	-
YBR182C	YEL065W	-
YBR182C	YER010C	-
YBR182C	YER011W	-
YBR182C	YER034W	-
YBR182C	YER168C	-
YBR182C	YFR048W	-
YBR182C	YGL059W	-
YBR182C	YGL077C	-
YBR182C	YGL119W	-
YBR182C	YGL120C	-
YBR182C	YGL135W	-
YBR182C	YGL147C	-
YBR182C	YGL178W	-
YBR182C	YGL258W-A	-
YBR182C	YGL259W	-
YBR182C	YGL261C	-
YBR182C	YGR118W	-
YBR182C	YGR185C	-
YBR182C	YGR282C	-
YBR182C	YHR024C	-
YBR182C	YHR062C	-
YBR182C	YHR080C	-
YBR182C	YHR081W	-
YBR182C	YHR091C	-
YBR182C	YHR181W	-
YBR182C	YHR191C	-
YBR182C	YHR193C	-
YBR182C	YHR194W	-
YBR182C	YHR209W	-
YBR182C	YIL049W	-
YBR182C	YIL133C	-
YBR182C	YIR013C	-
YBR182C	YIR014W	-
YBR182C	YIR015W	-
YBR182C	YIR019C	-
YBR182C	YJL110C	-
YBR182C	YJL191W	-
YBR182C	YJR044C	-
YBR182C	YKL068W	-
YBR182C	YKL085W	-
YBR182C	YKL095W	-
YBR182C	YKL096C-B	-
YBR182C	YKL121W	-
YBR182C	YKL163W	-
YBR182C	YKL164C	-
YBR182C	YKL185W	-
YBR182C	YKR017C	-
YBR182C	YKR026C	-
YBR182C	YKR051W	-
YBR182C	YKR102W	-
YBR182C	YKR105C	-
YBR182C	YLR300W	-
YBR182C	YLR340W	-
YBR182C	YLR389C	-
YBR182C	YLR390W	-
YBR182C	YLR390W-A	-
YBR182C	YMR012W	-
YBR182C	YMR149W	-
YBR182C	YMR317W	-
YBR182C	YNL113W	-
YBR182C	YNL236W	-
YBR182C	YNL288W	-
YBR182C	YNL327W	-
YBR182C	YNL336W	-
YBR182C	YNL339C	-
YBR182C	YOR019W	-
YBR182C	YOR137C	-
YBR182C	YOR138C	-
YBR182C	YOR140W	-
YBR182C	YOR155C	-
YBR182C	YOR271C	-
YBR182C	YOR272W	-
YBR182C	YOR369C	-
YBR182C	YPL059W	-
YBR182C	YPL090C	-
YBR182C	YPL135W	-
YBR182C	YPL160W	-
YBR182C	YPL175W	-
YBR182C	YPL176C	-
YBR182C	YPL192C	-
YBR182C	YPL228W	-
YBR182C	YPL253C	-
YBR182C	YPR029C	-
YBR182C	YPR124W	-
YBR182C	YPR198W	-
YBR240C	YBR069C	-
YBR240C	YBR088C	-
YBR240C	YBR091C	-
YBR240C	YBR092C	-
YBR240C	YCR020C	-
YBR240C	YCR020C-A	-
YBR240C	YCR020W-B	-
YBR240C	YDL099W	-
YBR240C	YDL101C	-
YBR240C	YDL107W	-
YBR240C	YDR346C	-
YBR240C	YDR386W	-
YBR240C	YDR439W	-
YBR240C	YEL050C	-
YBR240C	YEL055C	-
YBR240C	YEL071W	-
YBR240C	YER060W-A	-
YBR240C	YER069W	-
YBR240C	YER115C	-
YBR240C	YFL059W	-
YBR240C	YFL060C	-
YBR240C	YFR031C-A	-
YBR240C	YGL001C	-
YBR240C	YGL085W	-
YBR240C	YGR071C	-
YBR240C	YGR074W	-
YBR240C	YGR173W	-
YBR240C	YGR261C	-
YBR240C	YHR029C	-
YBR240C	YHR063C	-
YBR240C	YHR098C	-
YBR240C	YHR105W	-
YBR240C	YHR179W	-
YBR240C	YIL001W	-
YBR240C	YIL071C	-
YBR240C	YJL132W	-
YBR240C	YJL167W	-
YBR240C	YJL168C	-
YBR240C	YJR010C-A	-
YBR240C	YJR011C	-
YBR240C	YJR013W	-
YBR240C	YLR005W	-
YBR240C	YLR034C	-
YBR240C	YLR223C	-
YBR240C	YLR224W	-
YBR240C	YMR053C	-
YBR240C	YMR054W	-
YBR240C	YMR187C	-
YBR240C	YMR311C	-
YBR240C	YNL287W	-
YBR240C	YNL334C	-
YBR240C	YOL121C	-
YBR240C	YOL127W	-
YBR240C	YOL128C	-
YBR240C	YOR143C	-
YBR240C	YOR254C	-
YBR240C	YOR266W	-
YBR240C	YPL213W	-
YBR240C	YPL214C	-
YBR240C	YPL258C	-
YBR240C	YPR121W	-
YBR240C	YPR133C	-
YBR240C	YPR134W	-
YBR297W	YCR105W	-
YBR297W	YCR107W	-
YBR297W	YFR019W	-
YBR297W	YJL068C	-
YBR297W	YJL069C	-
YBR297W	YJR143C	-
YBR297W	YLR397C	-
YBR297W	YLR438C-A	-
YBR297W	YLR439W	-
YBR297W	YNL241C	-
YCR106W	TL(CAA)G1	-
YCR106W	YBR008C	-
YCR106W	YBR015C	-
YCR106W	YBR016W	-
YCR106W	YBR063C	-
YCR106W	YBR166C	-
YCR106W	YBR167C	-
YCR106W	YBR168W	-
YCR106W	YBR182C	-
YCR106W	YBR183W	-
YCR106W	YCR102C	-
YCR106W	YCR105W	-
YCR106W	YDL078C	-
YCR106W	YDL178W	-
YCR106W	YDR074W	-
YCR106W	YDR256C	-
YCR106W	YDR328C	-
YCR106W	YDR372C	-
YCR106W	YDR373W	-
YCR106W	YDR400W	-
YCR106W	YDR530C	-
YCR106W	YDR531W	-
YCR106W	YER043C	-
YCR106W	YER044C	-
YCR106W	YER133W	-
YCR106W	YER170W	-
YCR106W	YFL007W	-
YCR106W	YFL023W	-
YCR106W	YFL024C	-
YCR106W	YFL055W	-
YCR106W	YFL056C	-
YCR106W	YFR033C	-
YCR106W	YGL156W	-
YCR106W	YGL157W	-
YCR106W	YGR100W	-
YCR106W	YGR175C	-
YCR106W	YKL217W	-
YCR106W	YLR460C	-
YCR106W	YMR060C	-
YCR106W	YMR102C	-
YCR106W	YMR137C	-
YCR106W	YMR228W	-
YCR106W	YNL149C	-
YCR106W	YNL241C	-
YCR106W	YNL305C	-
YCR106W	YNR043W	-
YCR106W	YOL109W	-
YCR106W	YOL111C	-
YCR106W	YOL125W	-
YCR106W	YOL165C	-
YCR106W	YOR316C	-
YCR106W	YOR317W	-
YCR106W	YPL088W	-
YCR106W	YPL139C	-
YCR106W	YPL229W	-
YCR106W	YPR065W	-
YCR106W	YPR127W	-
YDL020C	YAL053W	-
YDL020C	YAL054C	-
YDL020C	YBL020W	-
YDL020C	YBL041W	-
YDL020C	YBL042C	-
YDL020C	YBL058W	-
YDL020C	YBL077W	-
YDL020C	YBR008C	-
YDL020C	YBR170C	-
YDL020C	YBR233W	-
YDL020C	YCL004W	-
YDL020C	YCL040W	-
YDL020C	YCL043C	-
YDL020C	YCL057C-A	-
YDL020C	YCL057W	-
YDL020C	YCL059C	-
YDL020C	YCR059C	-
YDL020C	YCR083W	-
YDL020C	YDL037C	-
YDL020C	YDL047W	-
YDL020C	YDL070W	-
YDL020C	YDL072C	-
YDL020C	YDL098C	-
YDL020C	YDL126C	-
YDL020C	YDL145C	-
YDL020C	YDL183C	-
YDL020C	YDL188C	-
YDL020C	YDR117C	-
YDL020C	YDR155C	-
YDL020C	YDR156W	-
YDL020C	YDR178W	-
YDL020C	YDR363W-A	-
YDL020C	YDR381W	-
YDL020C	YDR504C	-
YDL020C	YEL032W	-
YDL020C	YER004W	-
YDL020C	YER013W	-
YDL020C	YER093C-A	-
YDL020C	YER166W	-
YDL020C	YER178W	-
YDL020C	YFL045C	-
YDL020C	YFL055W	-
YDL020C	YFR024C-A	-
YDL020C	YFR051C	-
YDL020C	YFR052W	-
YDL020C	YGL049C	-
YDL020C	YGL062W	-
YDL020C	YGL130W	-
YDL020C	YGL223C	-
YDL020C	YGL238W	-
YDL020C	YGL240W	-
YDL020C	YGR016W	-
YDL020C	YGR049W	-
YDL020C	YGR060W	-
YDL020C	YGR136W	-
YDL020C	YGR211W	-
YDL020C	YGR254W	-
YDL020C	YGR262C	-
YDL020C	YHL024W	-
YDL020C	YHL030W	-
YDL020C	YHL031C	-
YDL020C	YHR021C	-
YDL020C	YHR027C	-
YDL020C	YHR190W	-
YDL020C	YHR199C	-
YDL020C	YHR200W	-
YDL020C	YIR012W	-
YDL020C	YJL008C	-
YDL020C	YJL045W	-
YDL020C	YJL102W	-
YDL020C	YJL103C	-
YDL020C	YJL116C	-
YDL020C	YJR100C	-
YDL020C	YKL009W	-
YDL020C	YKL017C	-
YDL020C	YKL197C	-
