P	Target	Ref
YDL028C	YBL078C	Fasolo 2011
YDL079C	YBR019C	Fasolo 2011
YGR040W	YDR256C	Fasolo 2011
YNL307C	YGL019W	Fasolo 2011
YOR351C	YMR041C	Fasolo 2011
YOR231W	YOL082W	Fasolo 2011
YDL028C	YIL072W	Fasolo 2011
YDL079C	YKL210W	Fasolo 2011
YGR040W	YPR035W	Fasolo 2011
YNL307C	YNL104C	Fasolo 2011
YOR351C	YKL052C	Fasolo 2011
YOR231W	YLL008W	Fasolo 2011
YDL028C	YFR038W	Fasolo 2011
YDL079C	YCR016W	Fasolo 2011
YGR040W	YML048W	Fasolo 2011
YNL307C	YJR129C	Fasolo 2011
YOR351C	YGL017W	Fasolo 2011
YOR231W	YLR060W	Fasolo 2011
YDL028C	YOR056C	Fasolo 2011
YGR040W	YNL117W	Fasolo 2011
YNL307C	YPR089W	Fasolo 2011
YOR351C	YDR256C	Fasolo 2011
YOR231W	YFL023W	Fasolo 2011
YDL028C	YLR016C	Fasolo 2011
YGR040W	YOL070C	Fasolo 2011
YOR351C	YOL082W	Fasolo 2011
YOR231W	YJR062C	Fasolo 2011
YDL028C	YMR139W	Fasolo 2011
YOR351C	YFL023W	Fasolo 2011
YOR231W	YKL181W	Fasolo 2011
YDL028C	YNL007C	Fasolo 2011
YGR040W	YPL233W	Fasolo 2011
YOR351C	YPR035W	Fasolo 2011
YOR231W	YDR087C	Fasolo 2011
YDL028C	YJR019C	Fasolo 2011
YOR351C	YML048W	Fasolo 2011
YOR231W	YER139C	Fasolo 2011
YDL028C	YBL055C	Fasolo 2011
YGR040W	YDL006W	Fasolo 2011
YOR351C	YLR258W	Fasolo 2011
YOR231W	YFL010C	Fasolo 2011
YDL028C	YJL084C	Fasolo 2011
YGR040W	YDL230W	Fasolo 2011
YOR351C	YNL104C	Fasolo 2011
YOR231W	YDR203W	Fasolo 2011
YDL028C	YKL023W	Fasolo 2011
YGR040W	YGR180C	Fasolo 2011
YOR351C	YNL117W	Fasolo 2011
YOR231W	YDR374C	Fasolo 2011
YDL028C	YML045W-A	Fasolo 2011
YGR040W	YGR013W	Fasolo 2011
YOR351C	YGR078C	Fasolo 2011
YOR231W	YGR021W	Fasolo 2011
YDL028C	YMR114C	Fasolo 2011
YGR040W	YBL055C	Fasolo 2011
YOR351C	YGR240C	Fasolo 2011
YOR231W	YPL201C	Fasolo 2011
YDL028C	YPR115W	Fasolo 2011
YGR040W	YCL047C	Fasolo 2011
YOR351C	YDL103C	Fasolo 2011
YOR231W	YLR287C	Fasolo 2011
YGR040W	YJR070C	Fasolo 2011
YOR351C	YHL024W	Fasolo 2011
YGR040W	YBL050W	Fasolo 2011
YGR040W	YMR140W	Fasolo 2011
YGR040W	YJL138C	Fasolo 2011
YGR040W	YFL010C	Fasolo 2011
YGR040W	YGR287C	Fasolo 2011
YGR040W	YHR033W	Fasolo 2011
YGR040W	YJR154W	Fasolo 2011
YGR040W	YNR064C	Fasolo 2011
YGR040W	YPL077C	Fasolo 2011
YNL183C	YER087W	Fasolo 2011
YJL128C	YDR510W	Fasolo 2011
YOL100W	YMR041C	Fasolo 2011
YDR466W	YOR141C	Fasolo 2011
YKL116C	YPR135W	Fasolo 2011
YDL214C	YEL037C	Fasolo 2011
YNL183C	YNL148C	Fasolo 2011
YJL128C	YCR016W	Fasolo 2011
YOL100W	YJR092W	Fasolo 2011
YDR466W	YDR188W	Fasolo 2011
YKL116C	YBR031W	Fasolo 2011
YNL183C	YDL126C	Fasolo 2011
YOL100W	YDL099W	Fasolo 2011
YDR466W	YMR048W	Fasolo 2011
YKL116C	YCR016W	Fasolo 2011
YNL183C	YGR167W	Fasolo 2011
YOL100W	YDR188W	Fasolo 2011
YDR466W	YOL082W	Fasolo 2011
YKL116C	YGR293C	Fasolo 2011
YNL183C	YPR135W	Fasolo 2011
YOL100W	YGR167W	Fasolo 2011
YDR466W	YLL008W	Fasolo 2011
YNL183C	YLL018C	Fasolo 2011
YOL100W	YNL027W	Fasolo 2011
YDR466W	YLR060W	Fasolo 2011
YNL183C	YER027C	Fasolo 2011
YOL100W	YMR048W	Fasolo 2011
YDR466W	YFL023W	Fasolo 2011
YNL183C	YEL053C	Fasolo 2011
YOL100W	YOL082W	Fasolo 2011
YDR466W	YML062C	Fasolo 2011
YNL183C	YGL023C	Fasolo 2011
YOL100W	YKL002W	Fasolo 2011
YDR466W	YNL099C	Fasolo 2011
YNL183C	YKL181W	Fasolo 2011
YOL100W	YLL008W	Fasolo 2011
YDR466W	YGR078C	Fasolo 2011
YNL183C	YOL066C	Fasolo 2011
YOL100W	YLR060W	Fasolo 2011
YDR466W	YKL181W	Fasolo 2011
YNL183C	YHL034C	Fasolo 2011
YOL100W	YFL023W	Fasolo 2011
YDR466W	YHL024W	Fasolo 2011
YNL183C	YPL239W	Fasolo 2011
YOL100W	YOR260W	Fasolo 2011
YDR466W	YGR180C	Fasolo 2011
YNL183C	YDL173W	Fasolo 2011
YOL100W	YLR258W	Fasolo 2011
YDR466W	YER139C	Fasolo 2011
YNL183C	YLR257W	Fasolo 2011
YOL100W	YJR006W	Fasolo 2011
YDR466W	YBL058W	Fasolo 2011
YNL183C	YPL077C	Fasolo 2011
YOL100W	YPL004C	Fasolo 2011
YDR466W	YDR161W	Fasolo 2011
YNL183C	YPR083W	Fasolo 2011
YJL128C	YGR017W	Fasolo 2011
YNL183C	YJR112W	Fasolo 2011
YJL128C	YGR021W	Fasolo 2011
YNL183C	YGR078C	Fasolo 2011
YJL128C	YJR097W	Fasolo 2011
YJL128C	YJR154W	Fasolo 2011
YNL183C	YPL133C	Fasolo 2011
YNL183C	YHL024W	Fasolo 2011
YNL183C	YDR382W	Fasolo 2011
YNL183C	YOR117W	Fasolo 2011
YNL183C	YCR052W	Fasolo 2011
YNL183C	YER139C	Fasolo 2011
YNL183C	YHR205W	Fasolo 2011
YNL183C	YBL058W	Fasolo 2011
YNL183C	YIL104C	Fasolo 2011
YNL183C	YML034W	Fasolo 2011
YNL183C	YJL138C	Fasolo 2011
YNL183C	YHL009C	Fasolo 2011
YNL183C	YGR021W	Fasolo 2011
YNL183C	YJR070C	Fasolo 2011
YNL183C	YJR097W	Fasolo 2011
YNL183C	YML001W	Fasolo 2011
YOL061W	YEL029C	Fasolo 2011
YOL045W	YNR033W	Fasolo 2011
YJR059W	YNL166C	Fasolo 2011
YGL158W	YDR147W	Fasolo 2011
YLR248W	YDL203C	Fasolo 2011
YMR139W	YKL193C	Fasolo 2011
YOL061W	YBR252W	Fasolo 2011
YOL045W	YOR335C	Fasolo 2011
YJR059W	YGR170W	Fasolo 2011
YGL158W	YOR271C	Fasolo 2011
YLR248W	YKL114C	Fasolo 2011
YMR139W	YMR291W	Fasolo 2011
YOL061W	YJR082C	Fasolo 2011
YOL045W	YMR041C	Fasolo 2011
YJR059W	YMR140W	Fasolo 2011
YGL158W	YHR104W	Fasolo 2011
YLR248W	YMR068W	Fasolo 2011
YMR139W	YIL082W-A	Fasolo 2011
YOL061W	YGR200C	Fasolo 2011
YOL045W	YDR256C	Fasolo 2011
YJR059W	YBR074W	Fasolo 2011
YGL158W	YML048W	Fasolo 2011
YLR248W	YMR178W	Fasolo 2011
YOL061W	YBR031W	Fasolo 2011
YOL045W	YBR177C	Fasolo 2011
YJR059W	YKR041W	Fasolo 2011
YGL158W	YOL070C	Fasolo 2011
YOL061W	YMR146C	Fasolo 2011
YOL045W	YPR035W	Fasolo 2011
YGL158W	YCR012W	Fasolo 2011
YOL061W	YNR046W	Fasolo 2011
YOL045W	YHR104W	Fasolo 2011
YGL158W	YDL006W	Fasolo 2011
YOL061W	YKL211C	Fasolo 2011
YOL045W	YNL117W	Fasolo 2011
YGL158W	YDL103C	Fasolo 2011
YOL061W	YKL023W	Fasolo 2011
YOL045W	YMR205C	Fasolo 2011
YGL158W	YMR235C	Fasolo 2011
YOL061W	YKR047W	Fasolo 2011
YOL045W	YNL317W	Fasolo 2011
YGL158W	YNL186W	Fasolo 2011
YOL061W	YKL127W	Fasolo 2011
YJR059W	YJR119C	Fasolo 2011
YOL061W	YDL103C	Fasolo 2011
YOL061W	YGR180C	Fasolo 2011
YOL061W	YOR184W	Fasolo 2011
YOL061W	YJL138C	Fasolo 2011
YOL061W	YNL121C	Fasolo 2011
YOL061W	YHR214C-C	Fasolo 2011
YOL061W	YJR070C	Fasolo 2011
YOL061W	YNR064C	Fasolo 2011
YOL061W	YPL077C	Fasolo 2011
YOR119C	YKR021W	Fasolo 2011
YDL025C	YOR094W	Fasolo 2011
YCR008W	YJR076C	Fasolo 2011
YHR205W	YOR094W	Fasolo 2011
YGL083W	YDR188W	Fasolo 2011
YOL113W	YJR025C	Fasolo 2011
YOR119C	YOR198C	Fasolo 2011
YDL025C	YPR019W	Fasolo 2011
YCR008W	YDR364C	Fasolo 2011
YHR205W	YGL019W	Fasolo 2011
YGL083W	YPL281C	Fasolo 2011
YOL113W	YEL029C	Fasolo 2011
YOR119C	YPR082C	Fasolo 2011
YDL025C	YML048W	Fasolo 2011
YCR008W	YHR068W	Fasolo 2011
YHR205W	YER174C	Fasolo 2011
YGL083W	YOR056C	Fasolo 2011
YOL113W	YBR252W	Fasolo 2011
YOR119C	YBR176W	Fasolo 2011
YDL025C	YJL033W	Fasolo 2011
YCR008W	YER174C	Fasolo 2011
YHR205W	YFR034C	Fasolo 2011
YGL083W	YGR173W	Fasolo 2011
YOL113W	YJR082C	Fasolo 2011
YOR119C	YIL070C	Fasolo 2011
YDL025C	YGL077C	Fasolo 2011
YCR008W	YJL033W	Fasolo 2011
YHR205W	YHL024W	Fasolo 2011
YGL083W	YNL272C	Fasolo 2011
YOL113W	YBR177C	Fasolo 2011
YOR119C	YPL146C	Fasolo 2011
YDL025C	YOR177C	Fasolo 2011
YCR008W	YLR054C	Fasolo 2011
YHR205W	YHL033C	Fasolo 2011
YGL083W	YPR137C-B	Fasolo 2011
YOL113W	YGR200C	Fasolo 2011
YDL025C	YGR240C	Fasolo 2011
YCR008W	YDL006W	Fasolo 2011
YHR205W	YIL153W	Fasolo 2011
YOL113W	YNR046W	Fasolo 2011
YOR119C	YMR165C	Fasolo 2011
YDL025C	YMR205C	Fasolo 2011
YCR008W	YGR258C	Fasolo 2011
YHR205W	YMR216C	Fasolo 2011
YOL113W	YKL211C	Fasolo 2011
YOR119C	YFR034C	Fasolo 2011
YDL025C	YPL220W	Fasolo 2011
YCR008W	YJL189W	Fasolo 2011
YHR205W	YEL012W	Fasolo 2011
YOL113W	YKR047W	Fasolo 2011
YOR119C	YDR257C	Fasolo 2011
YDL025C	YJL105W	Fasolo 2011
YCR008W	YMR140W	Fasolo 2011
YHR205W	YFL010C	Fasolo 2011
YDL025C	YMR216C	Fasolo 2011
YCR008W	YIL016W	Fasolo 2011
YHR205W	YEL028W	Fasolo 2011
YOR119C	YGL137W	Fasolo 2011
YDL025C	YBL055C	Fasolo 2011
YCR008W	YJL004C	Fasolo 2011
YHR205W	YJR097W	Fasolo 2011
YDL025C	YDL183C	Fasolo 2011
YCR008W	YDL177C	Fasolo 2011
YHR205W	YMR196W	Fasolo 2011
YOR119C	YMR260C	Fasolo 2011
YDL025C	YDR132C	Fasolo 2011
YOR119C	YPR036W	Fasolo 2011
YDL025C	YDR203W	Fasolo 2011
YOR119C	YEL028W	Fasolo 2011
YOR119C	YGL034C	Fasolo 2011
YOR119C	YJR129C	Fasolo 2011
YOR119C	YMR196W	Fasolo 2011
YPL026C	YGR200C	Fasolo 2011
YMR216C	YNL112W	Fasolo 2011
YHR030C	YJL148W	Fasolo 2011
YPR054W	YJR025C	Fasolo 2011
YDR477W	YDR188W	Fasolo 2011
YDR523C	YKL114C	Fasolo 2011
YPL026C	YDR516C	Fasolo 2011
YMR216C	YFR024C-A	Fasolo 2011
YHR030C	YFR038W	Fasolo 2011
YPR054W	YGR223C	Fasolo 2011
YDR477W	YNL225C	Fasolo 2011
YDR523C	YOR094W	Fasolo 2011
YPL026C	YKR080W	Fasolo 2011
YMR216C	YMR140W	Fasolo 2011
YHR030C	YGL098W	Fasolo 2011
YPR054W	YNR046W	Fasolo 2011
YDR477W	YGL043W	Fasolo 2011
YDR523C	YDR188W	Fasolo 2011
YPL026C	YPL171C	Fasolo 2011
YMR216C	YGR287C	Fasolo 2011
YHR030C	YPL077C	Fasolo 2011
YPR054W	YKL210W	Fasolo 2011
YDR477W	YGR256W	Fasolo 2011
YDR523C	YDR364C	Fasolo 2011
YPL026C	YKL211C	Fasolo 2011
YMR216C	YIL082W-A	Fasolo 2011
YPR054W	YKR047W	Fasolo 2011
YDR477W	YML048W	Fasolo 2011
YDR523C	YGL019W	Fasolo 2011
YPL026C	YKL210W	Fasolo 2011
YMR216C	YJR119C	Fasolo 2011
YDR477W	YHR133C	Fasolo 2011
YDR523C	YEL039C	Fasolo 2011
YPL026C	YCR016W	Fasolo 2011
YMR216C	YMR114C	Fasolo 2011
YDR477W	YOR269W	Fasolo 2011
YDR523C	YPR082C	Fasolo 2011
YPL026C	YKL023W	Fasolo 2011
YMR216C	YOR309C	Fasolo 2011
YDR477W	YIL160C	Fasolo 2011
YDR523C	YNL001W	Fasolo 2011
YPL026C	YPR174C	Fasolo 2011
YPR054W	YHR189W	Fasolo 2011
YDR477W	YLL018C	Fasolo 2011
YPL026C	YPL133C	Fasolo 2011
YMR216C	YGL245W	Fasolo 2011
YPL026C	YOL066C	Fasolo 2011
YMR216C	YOR177C	Fasolo 2011
YPL026C	YHL024W	Fasolo 2011
YMR216C	YPL133C	Fasolo 2011
YPL026C	YHL015W	Fasolo 2011
YMR216C	YMR235C	Fasolo 2011
YPL026C	YJL080C	Fasolo 2011
YMR216C	YKL193C	Fasolo 2011
YPL026C	YHR207C	Fasolo 2011
YMR216C	YPL106C	Fasolo 2011
YPL026C	YNL007C	Fasolo 2011
YMR216C	YER100W	Fasolo 2011
YPL026C	YOR027W	Fasolo 2011
YMR216C	YNL186W	Fasolo 2011
YPL026C	YGL184C	Fasolo 2011
YMR216C	YBL036C	Fasolo 2011
YPL026C	YNR004W	Fasolo 2011
YMR216C	YKL023W	Fasolo 2011
YPL026C	YBR096W	Fasolo 2011
YMR216C	YMR196W	Fasolo 2011
YPL026C	YCR072C	Fasolo 2011
YPL026C	YGR043C	Fasolo 2011
YPL026C	YHR214C-C	Fasolo 2011
YPL026C	YJR111C	Fasolo 2011
YPL026C	YKL091C	Fasolo 2011
YPL026C	YLR003C	Fasolo 2011
YPL026C	YLR132C	Fasolo 2011
YPL026C	YNL284C-A	Fasolo 2011
YPL026C	YPR158C-C	Fasolo 2011
YNR031C	YKL052C	Fasolo 2011
YPL042C	YGL019W	Fasolo 2011
YLR362W	YER087W	Fasolo 2011
YHL007C	YGL019W	Fasolo 2011
YDL159W	YPR082C	Fasolo 2011
YJL187C	YJR082C	Fasolo 2011
YNR031C	YGR167W	Fasolo 2011
YPL042C	YMR196W	Fasolo 2011
YLR362W	YJR047C	Fasolo 2011
YHL007C	YLL008W	Fasolo 2011
YDL159W	YGR240C	Fasolo 2011
YJL187C	YBR031W	Fasolo 2011
YNR031C	YDR256C	Fasolo 2011
YLR362W	YER174C	Fasolo 2011
YHL007C	YPL201C	Fasolo 2011
YDL159W	YGR287C	Fasolo 2011
YJL187C	YNR046W	Fasolo 2011
YNR031C	YFL023W	Fasolo 2011
YLR362W	YGR187C	Fasolo 2011
YDL159W	YPL201C	Fasolo 2011
YJL187C	YKL211C	Fasolo 2011
YNR031C	YHL033C	Fasolo 2011
YLR362W	YPL133C	Fasolo 2011
YJL187C	YKR047W	Fasolo 2011
YNR031C	YMR140W	Fasolo 2011
YLR362W	YMR139W	Fasolo 2011
YNR031C	YGR287C	Fasolo 2011
YLR362W	YNL113W	Fasolo 2011
YNR031C	YHR182W	Fasolo 2011
YLR362W	YJL138C	Fasolo 2011
YNR031C	YJL019W	Fasolo 2011
YLR362W	YPL201C	Fasolo 2011
YNR031C	YLR287C	Fasolo 2011
YNR031C	YMR196W	Fasolo 2011
YGL179C	YEL037C	Fasolo 2011
YJL164C	YER174C	Fasolo 2011
YPL203W	YIL033C	Fasolo 2011
YKL166C	YAR014C	Fasolo 2011
YDR247W	YDL203C	Fasolo 2011
YJL141C	YER170W	Fasolo 2011
YGL179C	YMR140W	Fasolo 2011
YJL164C	YML048W	Fasolo 2011
YPL203W	YBR207W	Fasolo 2011
YKL166C	YGR200C	Fasolo 2011
YJL141C	YML035C	Fasolo 2011
YGL179C	YJR154W	Fasolo 2011
YJL164C	YPL201C	Fasolo 2011
YPL203W	YOL147C	Fasolo 2011
YKL166C	YBR031W	Fasolo 2011
YDR247W	YOR094W	Fasolo 2011
YJL141C	YDR364C	Fasolo 2011
YGL179C	YDL065C	Fasolo 2011
YJL164C	YJL070C	Fasolo 2011
YPL203W	YJR025C	Fasolo 2011
YKL166C	YER141W	Fasolo 2011
YJL164C	YKL023W	Fasolo 2011
YPL203W	YDL220C	Fasolo 2011
YKL166C	YML078W	Fasolo 2011
YGL179C	YIL016W	Fasolo 2011
YJL164C	YLR003C	Fasolo 2011
YPL203W	YPR082C	Fasolo 2011
YKL166C	YJR017C	Fasolo 2011
YGL179C	YNL198C	Fasolo 2011
YPL203W	YKR049C	Fasolo 2011
YKL166C	YER092W	Fasolo 2011
YGL179C	YOR177C	Fasolo 2011
YJL164C	YER127W	Fasolo 2011
YGL179C	YHL024W	Fasolo 2011
YJL164C	YOR056C	Fasolo 2011
YGL179C	YDR257C	Fasolo 2011
YJL164C	YPL133C	Fasolo 2011
YGL179C	YKL193C	Fasolo 2011
YJL164C	YER117W	Fasolo 2011
YGL179C	YGL208W	Fasolo 2011
YJL164C	YER139C	Fasolo 2011
YGL179C	YMR216C	Fasolo 2011
YJL164C	YDR523C	Fasolo 2011
YGL179C	YFR010W	Fasolo 2011
YJL164C	YER151C	Fasolo 2011
YGL179C	YIL156W	Fasolo 2011
YJL164C	YLR410W	Fasolo 2011
YGL179C	YDL177C	Fasolo 2011
YJL164C	YBL055C	Fasolo 2011
YGL179C	YLR003C	Fasolo 2011
YGL179C	YML045W-A	Fasolo 2011
YJL164C	YKL091C	Fasolo 2011
YGL179C	YPR115W	Fasolo 2011
YJL164C	YDR381W	Fasolo 2011
YBR028C	YEL029C	Fasolo 2011
YNL154C	YDL203C	Fasolo 2011
YER123W	YDR516C	Fasolo 2011
YOL128C	YER087W	Fasolo 2011
YKL126W	YKL182W	Fasolo 2011
YMR291W	YOR141C	Fasolo 2011
YBR028C	YJR082C	Fasolo 2011
YNL154C	YGL245W	Fasolo 2011
YER123W	YGR264C	Fasolo 2011
YOL128C	YJR047C	Fasolo 2011
YKL126W	YCL035C	Fasolo 2011
YMR291W	YDL115C	Fasolo 2011
YBR028C	YBR031W	Fasolo 2011
YNL154C	YOR084W	Fasolo 2011
YER123W	YLL024C	Fasolo 2011
YOL128C	YMR041C	Fasolo 2011
YKL126W	YPL153C	Fasolo 2011
YMR291W	YGR135W	Fasolo 2011
YBR028C	YNR046W	Fasolo 2011
YNL154C	YNL292W	Fasolo 2011
YER123W	YKL210W	Fasolo 2011
YOL128C	YJR109C	Fasolo 2011
YKL126W	YDR523C	Fasolo 2011
YMR291W	YKL181W	Fasolo 2011
YBR028C	YNR034W	Fasolo 2011
YER123W	YNL027W	Fasolo 2011
YKL126W	YMR139W	Fasolo 2011
YBR028C	YNL189W	Fasolo 2011
YER123W	YER174C	Fasolo 2011
YKL126W	YER139C	Fasolo 2011
YBR028C	YLR410W	Fasolo 2011
YER123W	YLR258W	Fasolo 2011
YKL126W	YGL137W	Fasolo 2011
YBR028C	YGR168C	Fasolo 2011
YER123W	YER009W	Fasolo 2011
YKL126W	YEL012W	Fasolo 2011
YBR028C	YKL091C	Fasolo 2011
YER123W	YKL181W	Fasolo 2011
YKL126W	YOR089C	Fasolo 2011
YBR028C	YMR139W	Fasolo 2011
YER123W	YGL210W	Fasolo 2011
YBR028C	YBL058W	Fasolo 2011
YBR028C	YPL201C	Fasolo 2011
YPL150W	YMR303C	Fasolo 2011
YPL150W	YEL029C	Fasolo 2011
YPL150W	YDR256C	Fasolo 2011
YPL150W	YDR516C	Fasolo 2011
YPL150W	YEL047C	Fasolo 2011
YPL150W	YHR183W	Fasolo 2011
YPL150W	YGR223C	Fasolo 2011
YPL150W	YLR285W	Fasolo 2011
YPL150W	YOL066C	Fasolo 2011
YPL150W	YJR096W	Fasolo 2011
YPL150W	YOR238W	Fasolo 2011
YBR059C	YMR304W	Ptacek 2005
YBR059C	YGL153W	Ptacek 2005
YBR059C	YLL018C	Ptacek 2005
YBR059C	YGR240C	Ptacek 2005
YBR059C	YDR312W	Ptacek 2005
YBR059C	YFR021W	Ptacek 2005
YBR059C	YKR092C	Ptacek 2005
YBR059C	YER131W	Ptacek 2005
YBR059C	YKR094C	Ptacek 2005
YBR059C	YCR027C	Ptacek 2005
YBR059C	YBL047C	Ptacek 2005
YBR059C	YHR161C	Ptacek 2005
YBR059C	YDR229W	Ptacek 2005
YBR059C	YKR006C	Ptacek 2005
YBR059C	YGL105W	Ptacek 2005
YBR059C	YGR159C	Ptacek 2005
YBR059C	YDR354W	Ptacek 2005
YBR059C	YLR206W	Ptacek 2005
YBR059C	YOR054C	Ptacek 2005
YBR059C	YNL227C	Ptacek 2005
YBR059C	YFR024C-A	Ptacek 2005
YBR059C	YOR239W	Ptacek 2005
YBR059C	YMR297W	Ptacek 2005
YBR059C	YOR257W	Ptacek 2005
YBR059C	YPL223C	Ptacek 2005
YBR059C	YNL277W	Ptacek 2005
YBR059C	YGR135W	Ptacek 2005
YBR059C	YGL207W	Ptacek 2005
YBR059C	YNL272C	Ptacek 2005
YBR059C	YGL234W	Ptacek 2005
YBR059C	YMR250W	Ptacek 2005
YBR059C	YDR239C	Ptacek 2005
YBR059C	YGL172W	Ptacek 2005
YBR059C	YJL084C	Ptacek 2005
YBR059C	YOR329C	Ptacek 2005
YBR059C	YNL027W	Ptacek 2005
YBR059C	YMR222C	Ptacek 2005
YBR059C	YGR021W	Ptacek 2005
YBR059C	YLR276C	Ptacek 2005
YBR059C	YPL106C	Ptacek 2005
YBR059C	YHR015W	Ptacek 2005
YBR059C	YKR009C	Ptacek 2005
YBR059C	YIL091C	Ptacek 2005
YNL020C	YKL033W	Ptacek 2005
YNL020C	YGR197C	Ptacek 2005
YNL020C	YJR104C	Ptacek 2005
YNL020C	YNR042W	Ptacek 2005
YNL020C	YDR099W	Ptacek 2005
YNL020C	YBL007C	Ptacek 2005
YNL020C	YLR206W	Ptacek 2005
YNL020C	YPL279C	Ptacek 2005
YGL180W	YGL208W	Ptacek 2005
YGL180W	YHR117W	Ptacek 2005
YGL180W	YHL013C	Ptacek 2005
YGL180W	YJR089W	Ptacek 2005
YGL180W	YHR073W	Ptacek 2005
YGL180W	YFR021W	Ptacek 2005
YGL180W	YOR123C	Ptacek 2005
YGL180W	YDL025C	Ptacek 2005
YGL180W	YMR049C	Ptacek 2005
YGL180W	YMR165C	Ptacek 2005
YGL180W	YKL160W	Ptacek 2005
YGL180W	YFR029W	Ptacek 2005
YGL180W	YKL146W	Ptacek 2005
YGL180W	YNL284C-A	Ptacek 2005
YGL180W	YGR038C-A	Ptacek 2005
YGL180W	YNL272C	Ptacek 2005
YGL180W	YNL149C	Ptacek 2005
YGL180W	YGL209W	Ptacek 2005
YGL180W	YDR362C	Ptacek 2005
YGL180W	YDR239C	Ptacek 2005
YGL180W	YKR048C	Ptacek 2005
YGL180W	YHR081W	Ptacek 2005
YGL180W	YLR375W	Ptacek 2005
YGL180W	YOL091W	Ptacek 2005
YGL180W	YBL024W	Ptacek 2005
YGL180W	YIR003W	Ptacek 2005
YGL180W	YOL070C	Ptacek 2005
YGL180W	YJR019C	Ptacek 2005
YGL180W	YHR214C-C	Ptacek 2005
YGL180W	YPL100W	Ptacek 2005
YGL180W	YOR204W	Ptacek 2005
YGL180W	YDR312W	Ptacek 2005
YGL180W	YKR092C	Ptacek 2005
YGL180W	YER131W	Ptacek 2005
YGL180W	YMR173W	Ptacek 2005
YGL180W	YGR249W	Ptacek 2005
YGL180W	YKR041W	Ptacek 2005
YGL180W	YGL079W	Ptacek 2005
YGL180W	YHR090C	Ptacek 2005
YGL180W	YBL032W	Ptacek 2005
YGL180W	YHR156C	Ptacek 2005
YGL180W	YMR290C	Ptacek 2005
YGL180W	YDR153C	Ptacek 2005
YGL180W	YFR024C-A	Ptacek 2005
YGL180W	YFR038W	Ptacek 2005
YGL180W	YNL186W	Ptacek 2005
YGL180W	YMR297W	Ptacek 2005
YGL180W	YNL245C	Ptacek 2005
YGL180W	YGR126W	Ptacek 2005
YGL180W	YOL078W	Ptacek 2005
YGL180W	YKR071C	Ptacek 2005
YGL180W	YNL027W	Ptacek 2005
YGL180W	YDL070W	Ptacek 2005
YGL180W	YHL009C	Ptacek 2005
YGL180W	YER125W	Ptacek 2005
YGL180W	YBL055C	Ptacek 2005
YGL180W	YBL011W	Ptacek 2005
YGL180W	YDL115C	Ptacek 2005
YGL180W	YPR158W-A	Ptacek 2005
YGL180W	YNL165W	Ptacek 2005
YGL180W	YJR092W	Ptacek 2005
YGL180W	YLR276C	Ptacek 2005
YGL180W	YJL148W	Ptacek 2005
YGL180W	YNL173C	Ptacek 2005
YGL180W	YPL181W	Ptacek 2005
YGL180W	YDL013W	Ptacek 2005
YGL180W	YOR344C	Ptacek 2005
YGL180W	YFR010W	Ptacek 2005
YGL180W	YOL130W	Ptacek 2005
YGL180W	YPL146C	Ptacek 2005
YGL180W	YKL048C	Ptacek 2005
YGL180W	YDR169C	Ptacek 2005
YGL180W	YOL123W	Ptacek 2005
YGL180W	YDR161W	Ptacek 2005
YGL180W	YKR094C	Ptacek 2005
YGL180W	YGL248W	Ptacek 2005
YGL180W	YLR429W	Ptacek 2005
YGL180W	YOR141C	Ptacek 2005
YGL180W	YOR054C	Ptacek 2005
YGL180W	YBL078C	Ptacek 2005
YGL180W	YDR034C-C	Ptacek 2005
YGL180W	YGR027W-A	Ptacek 2005
YGL180W	YDR540C	Ptacek 2005
YGL180W	YFL001W	Ptacek 2005
YGL180W	YOL103W-A	Ptacek 2005
YGL180W	YPR091C	Ptacek 2005
YGL180W	YLR451W	Ptacek 2005
YGL180W	YJL084C	Ptacek 2005
YGL180W	YDR293C	Ptacek 2005
YGL180W	YJL033W	Ptacek 2005
YGL180W	YKL121W	Ptacek 2005
YGL180W	YPR019W	Ptacek 2005
YGL180W	YER127W	Ptacek 2005
YGL180W	YCL029C	Ptacek 2005
YGL180W	YIL156W	Ptacek 2005
YGL180W	YOR083W	Ptacek 2005
YGL180W	YNL094W	Ptacek 2005
YGL180W	YJR044C	Ptacek 2005
YGL180W	YLR125W	Ptacek 2005
YGL180W	YCL014W	Ptacek 2005
YGL180W	YMR140W	Ptacek 2005
YGL180W	YML007W	Ptacek 2005
YGL180W	YDL153C	Ptacek 2005
YGL180W	YFR034C	Ptacek 2005
YGL180W	YPL133C	Ptacek 2005
YGL180W	YDR439W	Ptacek 2005
YGL180W	YLR350W	Ptacek 2005
YGL180W	YKR045C	Ptacek 2005
YGL180W	YER098W	Ptacek 2005
YGL180W	YDR330W	Ptacek 2005
YGL180W	YPR158C-C	Ptacek 2005
YGL180W	YDR113C	Ptacek 2005
YGL180W	YML037C	Ptacek 2005
YGL180W	YKL042W	Ptacek 2005
YGL180W	YNL125C	Ptacek 2005
YGL180W	YIL107C	Ptacek 2005
YGL180W	YPR143W	Ptacek 2005
YGL180W	YMR229C	Ptacek 2005
YGL180W	YGL105W	Ptacek 2005
YGL180W	YLR003C	Ptacek 2005
YGL180W	YGR159C	Ptacek 2005
YGL180W	YHR014W	Ptacek 2005
YGL180W	YLL043W	Ptacek 2005
