P	Target	Ref
YFR028C	YIR010W	BioGRID
YBR136W	YGL043W	BioGRID
YBL088C	YGL043W	BioGRID
YPL153C	YDL101C	BioGRID
YBR136W	YDL101C	BioGRID
YBL088C	YDL101C	BioGRID
YDR490C	YHL016C	BioGRID
YOL100W	YHL016C	BioGRID
YBR136W	YPR023C	BioGRID
YBL088C	YPR023C	BioGRID
YLL010C	YKL204W	BioGRID
YNL307C	YKL204W	BioGRID
YLL010C	YMR171C	BioGRID
YBR160W	YBL101C	BioGRID
YPR119W	YBL101C	BioGRID
YDL101C	YBL101C	BioGRID
YBR160W	YJL201W	BioGRID
YDL230W	YGL222C	BioGRID
YBR160W	YBL047C	BioGRID
YBR125C	YBL047C	BioGRID
YLR019W	YBL047C	BioGRID
YML057W	YBL047C	BioGRID
YBL016W	YBL047C	BioGRID
YPL031C	YBL047C	BioGRID
YNL032W	YMR031C	BioGRID
YNL307C	YMR031C	BioGRID
YDR477W	YMR031C	BioGRID
YKL126W	YMR031C	BioGRID
YOL045W	YMR031C	BioGRID
YIR026C	YMR031C	BioGRID
YIL042C	YMR031C	BioGRID
YIL035C	YMR031C	BioGRID
YPL141C	YMR031C	BioGRID
YBR160W	YNL230C	BioGRID
YOL045W	YKL160W	BioGRID
YBR160W	YKL048C	BioGRID
YKL171W	YOL158C	BioGRID
YBR136W	YBR247C	BioGRID
YBL088C	YBR247C	BioGRID
YPL153C	YBR247C	BioGRID
YIL095W	YDL161W	BioGRID
YGR262C	YJR125C	BioGRID
YBR160W	YMR124W	BioGRID
YPR119W	YMR124W	BioGRID
YBR160W	YMR219W	BioGRID
YPL153C	YMR219W	BioGRID
YDR477W	YMR219W	BioGRID
YBL016W	YDR365C	BioGRID
YML057W	YDR365C	BioGRID
YDR477W	YOR051C	BioGRID
YPL153C	YOR033C	BioGRID
YBR160W	YBR102C	BioGRID
YPR119W	YBR102C	BioGRID
YBR160W	YFR019W	BioGRID
YBR160W	YJL157C	BioGRID
YPR119W	YJL157C	BioGRID
YPL256C	YJL157C	BioGRID
YJL164C	YLR377C	BioGRID
YNL307C	YCR034W	BioGRID
YBR160W	YDR130C	BioGRID
YPR119W	YDR130C	BioGRID
YIL035C	YJR093C	BioGRID
YOR061W	YJR093C	BioGRID
YGL019W	YJR093C	BioGRID
YOR039W	YJR093C	BioGRID
YBR160W	YER032W	BioGRID
YPR119W	YER032W	BioGRID
YBR160W	YNL068C	BioGRID
YPR119W	YNL068C	BioGRID
YBR160W	YPL221W	BioGRID
YBR160W	YNR047W	BioGRID
YOL045W	YNL135C	BioGRID
YHR082C	YML074C	BioGRID
YML057W	YML074C	BioGRID
YNR031C	YML074C	BioGRID
YIL035C	YML074C	BioGRID
YOR061W	YML074C	BioGRID
YGL019W	YML074C	BioGRID
YOR039W	YML074C	BioGRID
YNL053W	YML074C	BioGRID
YDL108W	YLR449W	BioGRID
YLR113W	YLL043W	BioGRID
YBR160W	YPL141C	BioGRID
YBR160W	YAL034C	BioGRID
YPL153C	YAL019W	BioGRID
YHR135C	YBR021W	BioGRID
YBL016W	YMR232W	BioGRID
YDL159W	YBL016W	BioGRID
