	T1	T2	T3	T4	P1	P2	P3	P4
T1	-8.040365513050602	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T2	0.0	-6.835467375981306	0.0	0.0	0.0	0.0	0.0	0.0
T3	0.0	0.0	-7.7547458987406275	0.0	0.0	0.0	0.0	0.0
T4	0.0	0.0	0.0	-6.149858509774001	0.0	0.0	0.0	0.0
P1	0.0	0.0	0.0	0.0	-8.03436352223387	0.0	0.0	0.0
P2	0.0	0.0	0.0	0.0	0.0	-7.827793122631503	0.0	0.0
P3	0.0	0.0	0.0	0.0	0.0	0.0	-7.590700674693765	0.0
P4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-7.829006905723215
O1	-0.00017301201166952174	-1.5348865851821831	-0.00017301114304762514	-0.0001729903824197973	-0.00017301208083816809	1.4005153641891297	-0.00017301205998468313	-0.00017301206403803145
O2	1.1423947599213458	-0.0017592937904094253	-0.0017603994212101362	-0.0017595813461082856	1.1413708183712605	-0.0017602030686705299	-0.0017604575482772712	-0.0017604579038300772
O3	-0.0002624216664118676	-0.0002623868626232477	-0.00026242076414645116	-1.0350990172300614	-0.00026242173376090185	-0.000262416189412451	1.790615952881768	-0.00026242171765011407
O4	-0.0006285797526755422	-0.0006285651024711966	3.1617383904013048	-0.0006285700490814395	-0.0006285797624048781	-0.0006285781284345634	-0.0006285797597557756	3.1617173989068728
