	r	p	ψ
T1	0.0003221950249602905	0.0004574206768741676	0.00033459776853980933
T2	1.0	1.0	0.34421958085829435
T3	1.0	1.0	0.6975166019280414
T4	1.0	1.0	0.29093275279528213
P1	1.0	1.0	1.0
P2	1.0	1.0	1.0
P3	1.0	1.0	1.0
P4	1.0	1.0	1.0
O1	0.19516520959913047	0.1951654482985411	0.0
O2	0.9976447803670387	0.9933093105776418	0.0
O3	0.10070790441173433	0.10071623210753845	0.0
O4	0.042322247307667635	0.04234586400116824	0.0
