	T1	T2	T3	T4
T1	-0.0	2.373814241901045e-7	-1.0870132016858848e-6	-2.6315179772162954e-5
T2	-1.3043336887698062e-6	0.0	-2.631563505338481e-5	-2.6303900264559476e-5
T3	-6.543387812045896e-7	2.631586209367559e-5	-0.0	1.6847221175445817e-7
T4	3.9934302191555074e-7	-4.223787835529524e-7	1.204282884876569e-7	-0.0
P1	-2.608767078832786e-7	-6.735886231491642e-7	1.907354204131978e-7	-1.472097623966494e-6
P2	6.635667975739292e-8	1.276912819545671e-7	-1.981896391056673e-7	-2.6315906916940013e-5
P3	-1.5293091639173365e-7	-2.6314974163182622e-5	3.155472056690258e-7	6.869842607725464e-7
P4	-4.461704600234956e-6	5.868156344076416e-7	-4.212526615218659e-7	-5.760091209627917e-7
O1	2.362546864787957e-5	0.22455046518731242	2.218228529936609e-5	2.1827301121116035e-5
O2	-0.14208517353100866	0.0002531659408343723	0.00022614740525568527	0.00028842788219244156
O3	3.380355519488745e-5	3.6530493374360915e-5	3.183513338849354e-5	0.16831946528166508
O4	7.692823051763606e-5	9.390286907585265e-5	-0.40771712517942127	0.00010203870594335946
