P	Target	activation	binding	catalysis	expression	inhibition	ptmod	reaction	P_gene	Target_gene
YBR160W	YPL075W			537				537	CDC28	GCR1
YBR160W	YPL075W			579			453	579	CDC28	GCR1
YBR160W	YPL075W					282			CDC28	GCR1
YBR160W	YPL075W			456				456	CDC28	GCR1
YBR160W	YPL075W						487		CDC28	GCR1
YBR160W	YPL075W			294				294	CDC28	GCR1
YBR160W	YPL075W						451		CDC28	GCR1
YBR160W	YPL075W			950			229	528	CDC28	GCR1
YBR160W	YPL075W	244		951					CDC28	GCR1
YBR160W	YPL075W			193					CDC28	GCR1
YBR160W	YPL075W			902					CDC28	GCR1
YBR160W	YPL075W			281					CDC28	GCR1
YBR160W	YPL075W			931					CDC28	GCR1
YBR160W	YPL075W			934			298	934	CDC28	GCR1
YBR160W	YPL075W			926				926	CDC28	GCR1
YBR160W	YPL075W			151					CDC28	GCR1
YBR160W	YPL075W			905					CDC28	GCR1
YBR160W	YPL075W	919							CDC28	GCR1
YBR160W	YPL075W			150				150	CDC28	GCR1
YBR160W	YPL075W			309			229		CDC28	GCR1
YBR160W	YKL112W						500		CDC28	ABF1
YBR160W	YKL112W			294			821	294	CDC28	ABF1
YBR160W	YKL112W			163				175	CDC28	ABF1
YBR160W	YKL112W			900					CDC28	ABF1
YBR160W	YKL112W					282			CDC28	ABF1
YBR160W	YKL112W			909					CDC28	ABF1
YBR160W	YKL112W			916					CDC28	ABF1
YBR160W	YKL112W			915					CDC28	ABF1
YBR160W	YKL112W	900							CDC28	ABF1
YBR160W	YKL112W			941				440	CDC28	ABF1
YBR160W	YKL112W	915							CDC28	ABF1
YBR160W	YKL112W			902					CDC28	ABF1
YBR160W	YKL112W			151			365		CDC28	ABF1
YBR160W	YKL112W			537		537		537	CDC28	ABF1
YBR160W	YKL112W			583				583	CDC28	ABF1
YBR160W	YKL112W			244					CDC28	ABF1
YBR160W	YKL112W			311					CDC28	ABF1
YBR160W	YKL112W						411		CDC28	ABF1
YBR160W	YKL112W			955				575	CDC28	ABF1
YBR160W	YKL112W						499		CDC28	ABF1
YBR160W	YKL112W			153				153	CDC28	ABF1
YBR160W	YKL112W			150				150	CDC28	ABF1
YBR160W	YKL112W			923				923	CDC28	ABF1
YBR160W	YKL112W			582				955	CDC28	ABF1
YBR160W	YKL112W			412.5					CDC28	ABF1
YBR160W	YKL112W			163				163	CDC28	ABF1
YBR160W	YKL112W						401		CDC28	ABF1
YBR160W	YKL112W			153				153	CDC28	ABF1
YBR160W	YKL112W			949				519	CDC28	ABF1
YBR160W	YKL112W						224		CDC28	ABF1
YBR160W	YKL112W						562		CDC28	ABF1
YBR160W	YKL112W					282			CDC28	ABF1
YBR160W	YKL112W			267			526		CDC28	ABF1
YBR160W	YKL112W			325					CDC28	ABF1
YBR160W	YKL112W			902					CDC28	ABF1
YBR160W	YKL112W			307		307		307	CDC28	ABF1
YBR160W	YKL112W							537	CDC28	ABF1
YBR160W	YKL112W			150			179	150	CDC28	ABF1
YBR160W	YKL112W			900					CDC28	ABF1
YBR160W	YKL112W	224							CDC28	ABF1
YBR160W	YKL112W	158		955			406		CDC28	ABF1
YBR160W	YKL112W			450				942	CDC28	ABF1
YBR160W	YKL112W			179					CDC28	ABF1
YBR160W	YKL112W			900					CDC28	ABF1
YBR160W	YKL112W							163	CDC28	ABF1
YBR160W	YKL112W			934			298	934	CDC28	ABF1
YBR160W	YKL112W			239					CDC28	ABF1
YBR160W	YKL112W			179					CDC28	ABF1
YBR160W	YKL112W			219					CDC28	ABF1
YBR160W	YKL112W						615		CDC28	ABF1
YBR160W	YKL112W							442	CDC28	ABF1
YBR160W	YKL112W			169				169	CDC28	ABF1
YBR160W	YKL112W						451		CDC28	ABF1
YBR160W	YKL112W						451		CDC28	ABF1
YBR160W	YKL112W			307		307		307	CDC28	ABF1
YBR160W	YKL112W			153				153	CDC28	ABF1
YBR160W	YKL112W						509		CDC28	ABF1
YBR160W	YKL112W						333		CDC28	ABF1
YBR160W	YKL112W			909					CDC28	ABF1
YBR160W	YKL112W			916					CDC28	ABF1
YBR160W	YKL112W			203					CDC28	ABF1
YBR160W	YKL112W			165				913	CDC28	ABF1
YBR160W	YKL112W			220			499	220	CDC28	ABF1
YBR160W	YKL112W			931					CDC28	ABF1
YBR160W	YKL112W			901					CDC28	ABF1
YBR160W	YKL112W			239					CDC28	ABF1
YBR160W	YKL112W						401		CDC28	ABF1
YBR160W	YKL112W	244		927					CDC28	ABF1
YBR160W	YKL112W			158			219		CDC28	ABF1
YBR160W	YKL112W			951			463	536	CDC28	ABF1
YBR160W	YKL112W			151			620		CDC28	ABF1
YBR160W	YKL112W			902					CDC28	ABF1
YBR160W	YKL112W			183					CDC28	ABF1
YBR160W	YKL112W			900					CDC28	ABF1
YBR160W	YKL112W			901					CDC28	ABF1
YBR160W	YKL112W			902					CDC28	ABF1
YBR160W	YKL112W							198	CDC28	ABF1
YBR160W	YKL112W			536					CDC28	ABF1
YBR160W	YKL112W			169				169	CDC28	ABF1
YBR160W	YKL112W			424					CDC28	ABF1
YBR160W	YKL112W						800		CDC28	ABF1
YBR160W	YKL112W						465		CDC28	ABF1
YBR160W	YKL112W			428				428	CDC28	ABF1
YBR160W	YKL112W			158					CDC28	ABF1
YBR160W	YKL112W			343				343	CDC28	ABF1
YBR160W	YKL112W			917					CDC28	ABF1
YBR160W	YKL112W						498		CDC28	ABF1
YBR160W	YKL112W			220					CDC28	ABF1
YBR160W	YKL112W			900					CDC28	ABF1
YBR160W	YKL112W			912					CDC28	ABF1
YBR160W	YKL112W			703		457	173	463	CDC28	ABF1
YBR160W	YKL112W			907					CDC28	ABF1
YBR160W	YKL112W			901					CDC28	ABF1
YBR160W	YKL112W			290					CDC28	ABF1
YBR160W	YKL112W			150				150	CDC28	ABF1
YBR160W	YKL112W	158							CDC28	ABF1
YBR160W	YKL112W			460		457	173	463	CDC28	ABF1
YBR160W	YKL112W						426		CDC28	ABF1
YBR160W	YKL112W			940				434	CDC28	ABF1
YBR160W	YKL112W			183					CDC28	ABF1
YBR160W	YKL112W			297		297		297	CDC28	ABF1
YBR160W	YKL112W			915					CDC28	ABF1
YBR160W	YKL112W			934			298	934	CDC28	ABF1
YBR160W	YKL112W			926				926	CDC28	ABF1
YBR160W	YKL112W			902					CDC28	ABF1
YBR160W	YKL112W			460			600	463	CDC28	ABF1
YBR160W	YKL112W			309			229		CDC28	ABF1
YBR160W	YKL112W	918		220					CDC28	ABF1
YBR160W	YKL112W			304		304		304	CDC28	ABF1
YBR160W	YKL112W			923					CDC28	ABF1
YBR160W	YKL112W					284			CDC28	ABF1
YBR160W	YKL112W			902					CDC28	ABF1
YBR160W	YKL112W			925					CDC28	ABF1
YBR160W	YKL112W			250					CDC28	ABF1
YBR160W	YKL112W			201				201	CDC28	ABF1
YBR160W	YKL112W						658		CDC28	ABF1
YBR160W	YKL112W			416		416		416	CDC28	ABF1
YBR160W	YKL112W			900					CDC28	ABF1
YBR160W	YKL112W			908					CDC28	ABF1
YBR160W	YKL112W			925					CDC28	ABF1
YBR160W	YKL112W						466		CDC28	ABF1
YBR160W	YKL112W					282			CDC28	ABF1
YBR160W	YKL112W			345					CDC28	ABF1
YBR160W	YKL112W			515					CDC28	ABF1
YBR160W	YKL112W							307	CDC28	ABF1
YBR160W	YKL112W	917							CDC28	ABF1
YBR160W	YKL112W						401		CDC28	ABF1
YBR160W	YKL112W			900					CDC28	ABF1
YBR160W	YKL112W			264					CDC28	ABF1
YBR160W	YKL112W			460			360	463	CDC28	ABF1
YBR160W	YKL112W			582				583	CDC28	ABF1
YBR160W	YKL112W			446					CDC28	ABF1
YBR160W	YKL112W						471		CDC28	ABF1
YBR160W	YKL112W						453		CDC28	ABF1
YBR160W	YKL112W			923					CDC28	ABF1
YBR160W	YKL112W			252				252	CDC28	ABF1
YBR160W	YKL112W			955			770.5		CDC28	ABF1
YBR160W	YKL112W			955			406	577	CDC28	ABF1
YBR160W	YKL112W	238							CDC28	ABF1
YBR160W	YKL112W			193		193		193	CDC28	ABF1
YBR160W	YKL112W	915							CDC28	ABF1
YBR160W	YKL112W						401		CDC28	ABF1
YBR160W	YKL112W			284					CDC28	ABF1
YBR160W	YKL112W			151					CDC28	ABF1
YBR160W	YKL112W						401		CDC28	ABF1
YBR160W	YKL112W			901					CDC28	ABF1
YBR160W	YKL112W			250					CDC28	ABF1
YBR160W	YKL112W			252				252	CDC28	ABF1
YBR160W	YKL112W			150				150	CDC28	ABF1
YBR160W	YKL112W			307				307	CDC28	ABF1
YBR160W	YKL112W			307				307	CDC28	ABF1
YBR160W	YKL112W							901	CDC28	ABF1
YBR160W	YKL112W			268				268	CDC28	ABF1
YBR160W	YKL112W							910	CDC28	ABF1
YBR160W	YKL112W			311				311	CDC28	ABF1
YBR160W	YKL112W						426		CDC28	ABF1
YBR160W	YKL112W			487					CDC28	ABF1
YBR160W	YKL112W							537	CDC28	ABF1
YBR160W	YKL112W			313					CDC28	ABF1
YBR160W	YKL112W			256		256		256	CDC28	ABF1
YBR160W	YKL112W						418		CDC28	ABF1
YBR160W	YKL112W						426		CDC28	ABF1
YBR160W	YKL112W							907	CDC28	ABF1
YBR160W	YKL112W			934			298	934	CDC28	ABF1
YBR160W	YKL112W			260				260	CDC28	ABF1
YBR160W	YKL112W						487		CDC28	ABF1
YBR160W	YKL112W	179		179					CDC28	ABF1
YBR160W	YKL112W			955				579	CDC28	ABF1
YBR160W	YKL112W						401		CDC28	ABF1
YBR160W	YKL112W						466		CDC28	ABF1
YBR160W	YKL112W			307			151	307	CDC28	ABF1
YBR160W	YKL112W						401		CDC28	ABF1
YBR160W	YKL112W			239					CDC28	ABF1
YBR160W	YKL112W				401				CDC28	ABF1
YBR160W	YKL112W			412			151	412	CDC28	ABF1
YBR160W	YKL112W			221				221	CDC28	ABF1
YBR160W	YKL112W			901					CDC28	ABF1
YBR160W	YKL112W			221				221	CDC28	ABF1
YBR160W	YKL112W			762				569	CDC28	ABF1
YBR160W	YKL112W						401		CDC28	ABF1
YBR160W	YKL112W			955			491.5		CDC28	ABF1
YBR160W	YKL112W					282			CDC28	ABF1
YBR160W	YKL112W			939					CDC28	ABF1
YBR160W	YKL112W			456				456	CDC28	ABF1
YBR160W	YKL112W							311	CDC28	ABF1
YBR160W	YKL112W			294				294	CDC28	ABF1
YBR160W	YKL112W			902					CDC28	ABF1
YBR160W	YKL112W			264					CDC28	ABF1
YBR160W	YKL112W			928					CDC28	ABF1
YBR160W	YKL112W			345			464		CDC28	ABF1
YBR160W	YKL112W	918							CDC28	ABF1
YBR160W	YKL112W						426		CDC28	ABF1
YBR160W	YKL112W			201				201	CDC28	ABF1
YBR160W	YKL112W			185		185		185	CDC28	ABF1
YBR160W	YKL112W			153				153	CDC28	ABF1
YBR160W	YKL112W			179					CDC28	ABF1
YBR160W	YKL112W			916				198	CDC28	ABF1
YBR160W	YKL112W	914							CDC28	ABF1
YBR160W	YKL112W							155	CDC28	ABF1
YBR160W	YKL112W						401		CDC28	ABF1
YBR160W	YKL112W							269	CDC28	ABF1
YBR160W	YKL112W			244				244	CDC28	ABF1
YBR160W	YKL112W			940					CDC28	ABF1
YBR160W	YKL112W			902					CDC28	ABF1
YBR160W	YKL112W			224					CDC28	ABF1
YBR160W	YKL112W			163				163	CDC28	ABF1
YBR160W	YKL112W			173		173		173	CDC28	ABF1
YBR160W	YKL112W			307					CDC28	ABF1
YBR160W	YKL112W			551				551	CDC28	ABF1
YBR160W	YKL112W					282			CDC28	ABF1
YBR160W	YKL112W						401		CDC28	ABF1
YBR160W	YKL112W						562		CDC28	ABF1
YBR160W	YKL112W						567		CDC28	ABF1
YBR160W	YKL112W			916					CDC28	ABF1
YBR160W	YKL112W			220			198	220	CDC28	ABF1
YBR160W	YKL112W			902					CDC28	ABF1
YBR160W	YKL112W			235					CDC28	ABF1
YBR160W	YKL112W			916					CDC28	ABF1
YBR160W	YKL112W			925					CDC28	ABF1
YBR160W	YKL112W			248				248	CDC28	ABF1
YBR160W	YKL112W			279		279		279	CDC28	ABF1
YBR160W	YKL112W	907							CDC28	ABF1
YBR160W	YKL112W			902					CDC28	ABF1
YBR160W	YKL112W						451		CDC28	ABF1
YBR160W	YKL112W			268				268	CDC28	ABF1
YBR160W	YKL112W					282			CDC28	ABF1
YBR160W	YKL112W						465		CDC28	ABF1
YBR160W	YKL112W			235					CDC28	ABF1
YBR160W	YKL112W						450		CDC28	ABF1
YBR160W	YKL112W			234					CDC28	ABF1
YBR160W	YKL112W	175							CDC28	ABF1
YBR160W	YKL112W			239					CDC28	ABF1
YBR160W	YKL112W			252				252	CDC28	ABF1
YBR160W	YKL112W			537				537	CDC28	ABF1
YBR160W	YKL112W			579			453	579	CDC28	ABF1
YBR160W	YKL112W					282			CDC28	ABF1
YBR160W	YKL112W			456				456	CDC28	ABF1
YBR160W	YKL112W						487		CDC28	ABF1
YBR160W	YKL112W			294				294	CDC28	ABF1
YBR160W	YKL112W						451		CDC28	ABF1
YBR160W	YKL112W			950			229	528	CDC28	ABF1
YBR160W	YKL112W	244		951					CDC28	ABF1
YBR160W	YKL112W			193					CDC28	ABF1
YBR160W	YKL112W			902					CDC28	ABF1
YBR160W	YKL112W			281					CDC28	ABF1
YBR160W	YKL112W			931					CDC28	ABF1
YBR160W	YKL112W			934			298	934	CDC28	ABF1
YBR160W	YKL112W			926				926	CDC28	ABF1
YBR160W	YKL112W			151					CDC28	ABF1
YBR160W	YKL112W			905					CDC28	ABF1
YBR160W	YKL112W	919							CDC28	ABF1
YBR160W	YKL112W			150				150	CDC28	ABF1
YBR160W	YKL112W			309			229		CDC28	ABF1
YPR161C	YER068W							212	SGV1	MOT2
YPR161C	YER068W	150							SGV1	MOT2
YPR161C	YER068W			388				388	SGV1	MOT2
YPR161C	YER068W			559			401	559	SGV1	MOT2
YPR161C	YER068W							181	SGV1	MOT2
YPR161C	YER068W						426		SGV1	MOT2
YPR161C	YER068W			153				153	SGV1	MOT2
YPR161C	YER068W							212	SGV1	MOT2
YPR161C	YER068W			428				428	SGV1	MOT2
YPR161C	YER068W						463		SGV1	MOT2
YPR161C	YER068W							150	SGV1	MOT2
YPR161C	YER068W							212	SGV1	MOT2
YPR161C	YER068W			574				574	SGV1	MOT2
YPR161C	YER068W							212	SGV1	MOT2
YPR161C	YER068W							212	SGV1	MOT2
YPR161C	YER068W							172	SGV1	MOT2
YPR161C	YER068W			575			550	575	SGV1	MOT2
YPR161C	YER068W							181	SGV1	MOT2
YPR161C	YER068W			467				467	SGV1	MOT2
YPR161C	YER068W							150	SGV1	MOT2
YPR161C	YER068W			296				296	SGV1	MOT2
YPR161C	YER068W			232				232	SGV1	MOT2
YPR161C	YER068W			269				269	SGV1	MOT2
YPR161C	YER068W			307				307	SGV1	MOT2
YPR161C	YER068W			269				269	SGV1	MOT2
YPR161C	YER068W			512				512	SGV1	MOT2
YPR161C	YER068W							212	SGV1	MOT2
YPR161C	YJR140C							212	SGV1	HIR3
YPR161C	YJR140C	150							SGV1	HIR3
YPR161C	YJR140C			388				388	SGV1	HIR3
YPR161C	YJR140C			559			401	559	SGV1	HIR3
YPR161C	YJR140C							181	SGV1	HIR3
YPR161C	YJR140C						426		SGV1	HIR3
YPR161C	YJR140C			153				153	SGV1	HIR3
YPR161C	YJR140C							212	SGV1	HIR3
YPR161C	YJR140C			428				428	SGV1	HIR3
YPR161C	YJR140C						463		SGV1	HIR3
YPR161C	YJR140C							150	SGV1	HIR3
YPR161C	YJR140C							212	SGV1	HIR3
YPR161C	YJR140C			574				574	SGV1	HIR3
YPR161C	YJR140C							212	SGV1	HIR3
YPR161C	YJR140C							212	SGV1	HIR3
YPR161C	YJR140C							172	SGV1	HIR3
YPR161C	YJR140C			575			550	575	SGV1	HIR3
YPR161C	YJR140C							181	SGV1	HIR3
YPR161C	YJR140C			467				467	SGV1	HIR3
YPR161C	YJR140C							150	SGV1	HIR3
YPR161C	YJR140C			296				296	SGV1	HIR3
YPR161C	YJR140C			232				232	SGV1	HIR3
YPR161C	YJR140C			269				269	SGV1	HIR3
YPR161C	YJR140C			307				307	SGV1	HIR3
YPR161C	YJR140C			269				269	SGV1	HIR3
YPR161C	YJR140C			512				512	SGV1	HIR3
YPR161C	YJR140C							212	SGV1	HIR3
YDL017W	YPL139C	900							CDC7	UME1
YDL017W	YPL139C			905			379	905	CDC7	UME1
YDL017W	YPL139C	928							CDC7	UME1
YDL017W	YPL139C							652	CDC7	UME1
YDL017W	YPL139C			452					CDC7	UME1
YDL017W	YPL139C							537	CDC7	UME1
YDL017W	YPL139C			896			150	896	CDC7	UME1
YDL017W	YPL139C	169							CDC7	UME1
YDL017W	YPL139C							879	CDC7	UME1
YDL017W	YPL139C						401		CDC7	UME1
YDL017W	YPL139C			696			150	696	CDC7	UME1
YDL017W	YPL139C							497	CDC7	UME1
YDL017W	YPL139C			663			150	663	CDC7	UME1
YDL017W	YPL139C				401				CDC7	UME1
YDL017W	YPL139C							833	CDC7	UME1
YDL017W	YPL139C	956							CDC7	UME1
YDL017W	YPL139C							885	CDC7	UME1
YDL017W	YPL139C	916							CDC7	UME1
YDL017W	YPL139C							885	CDC7	UME1
YDL017W	YPL139C			903			150	903	CDC7	UME1
YDL017W	YPL139C							574	CDC7	UME1
YDL017W	YPL139C							900	CDC7	UME1
YDL017W	YPL139C	922							CDC7	UME1
YDL017W	YPL139C							888	CDC7	UME1
YDL017W	YPL139C	908							CDC7	UME1
YDL017W	YPL139C	900							CDC7	UME1
YDL017W	YPL139C							537	CDC7	UME1
YDL017W	YPL139C	197							CDC7	UME1
YDL017W	YPL139C			905			619	905	CDC7	UME1
YDL017W	YPL139C							311	CDC7	UME1
YDL017W	YPL139C	918							CDC7	UME1
YHL007C	YHR084W			154				153	STE20	STE12
YHL007C	YHR084W			208					STE20	STE12
YHL007C	YHR084W			900				900	STE20	STE12
YHL007C	YHR084W						401		STE20	STE12
YHL007C	YHR084W			917					STE20	STE12
YHL007C	YHR084W			175		190			STE20	STE12
YHL007C	YHR084W			151					STE20	STE12
YHL007C	YHR084W						208		STE20	STE12
YHL007C	YHR084W			267					STE20	STE12
YHL007C	YHR084W			154				153	STE20	STE12
YHL007C	YHR084W			194					STE20	STE12
YHL007C	YHR084W	244		244					STE20	STE12
YHL007C	YHR084W			165				165	STE20	STE12
YHL007C	YHR084W		244						STE20	STE12
YHL007C	YHR084W						401		STE20	STE12
YHL007C	YHR084W			175					STE20	STE12
YHL007C	YHR084W			165				165	STE20	STE12
YHL007C	YHR084W			165				165	STE20	STE12
YHL007C	YHR084W			190		190			STE20	STE12
YHL007C	YHR084W			165				165	STE20	STE12
YHL007C	YHR084W			917					STE20	STE12
YHL007C	YHR084W			267					STE20	STE12
YHL007C	YHR084W			177					STE20	STE12
YHL007C	YHR084W			265					STE20	STE12
YHL007C	YHR084W			154				153	STE20	STE12
YHL007C	YHR084W			165				165	STE20	STE12
YHL007C	YHR084W			317				317	STE20	STE12
YHL007C	YHR084W			265					STE20	STE12
YHL007C	YHR084W			175					STE20	STE12
YHL007C	YHR084W			317				317	STE20	STE12
YHL007C	YHR084W						401		STE20	STE12
YHL007C	YHR084W			235					STE20	STE12
YHL007C	YHR084W	158		954		158		954	STE20	STE12
YHL007C	YHR084W			246				246	STE20	STE12
YHL007C	YHR084W						451		STE20	STE12
YHL007C	YHR084W						615		STE20	STE12
YHL007C	YHR084W			154				153	STE20	STE12
YHL007C	YHR084W			317				317	STE20	STE12
YHL007C	YHR084W			267					STE20	STE12
YHL007C	YHR084W						648		STE20	STE12
YHL007C	YHR084W			317				317	STE20	STE12
YHL007C	YHR084W			165				165	STE20	STE12
YHL007C	YHR084W						451		STE20	STE12
YHL007C	YHR084W			154				153	STE20	STE12
YHL007C	YHR084W			154				153	STE20	STE12
YHL007C	YHR084W			154				153	STE20	STE12
YHL007C	YHR084W			267					STE20	STE12
YHL007C	YHR084W			175					STE20	STE12
YHL007C	YHR084W			208					STE20	STE12
YHL007C	YHR084W			183					STE20	STE12
YHL007C	YHR084W	194		317				317	STE20	STE12
YHL007C	YHR084W			175		190			STE20	STE12
YLR362W	YHR084W			154					STE11	STE12
YLR362W	YHR084W			901					STE11	STE12
YLR362W	YHR084W			901					STE11	STE12
YLR362W	YHR084W			154					STE11	STE12
YLR362W	YHR084W			901					STE11	STE12
YLR362W	YHR084W			901					STE11	STE12
YLR362W	YHR084W			305			676		STE11	STE12
YLR362W	YHR084W			900					STE11	STE12
YLR362W	YHR084W			900					STE11	STE12
YLR362W	YHR084W			192					STE11	STE12
YLR362W	YHR084W			900					STE11	STE12
YLR362W	YHR084W			901					STE11	STE12
YLR362W	YHR084W			901					STE11	STE12
YLR362W	YHR084W			902					STE11	STE12
YLR362W	YHR084W			900					STE11	STE12
YLR362W	YHR084W			901					STE11	STE12
YLR362W	YHR084W			901					STE11	STE12
YLR362W	YHR084W			900					STE11	STE12
YLR362W	YHR084W			900				900	STE11	STE12
YLR362W	YHR084W			901					STE11	STE12
YLR362W	YHR084W			903					STE11	STE12
YLR362W	YHR084W			902					STE11	STE12
YLR362W	YHR084W						615		STE11	STE12
YLR362W	YHR084W			901					STE11	STE12
YLR362W	YHR084W			154					STE11	STE12
YLR362W	YHR084W			192					STE11	STE12
YLR362W	YHR084W			902					STE11	STE12
YLR362W	YHR084W			900					STE11	STE12
YLR362W	YHR084W			900					STE11	STE12
YLR362W	YHR084W			901					STE11	STE12
YLR362W	YHR084W			900					STE11	STE12
YLR362W	YHR084W			900				900	STE11	STE12
YLR362W	YHR084W			954			464		STE11	STE12
YLR362W	YHR084W			267		267		267	STE11	STE12
YLR362W	YHR084W			900					STE11	STE12
YLR362W	YHR084W			901					STE11	STE12
YLR362W	YHR084W			187				187	STE11	STE12
YLR362W	YHR084W			900					STE11	STE12
YLR362W	YHR084W			900					STE11	STE12
YLR362W	YHR084W			154					STE11	STE12
YLR362W	YHR084W			900					STE11	STE12
YLR362W	YHR084W			154					STE11	STE12
YLR362W	YHR084W			900					STE11	STE12
YLR362W	YHR084W			154					STE11	STE12
YLR362W	YHR084W			154					STE11	STE12
YLR362W	YHR084W			900					STE11	STE12
YLR362W	YHR084W			900					STE11	STE12
YLR362W	YHR084W			305					STE11	STE12
YLR362W	YHR084W			901					STE11	STE12
YLR362W	YHR084W			902					STE11	STE12
YLR362W	YHR084W			900					STE11	STE12
YLR362W	YHR084W			305					STE11	STE12
YLR362W	YHR084W			900					STE11	STE12
YLR362W	YHR084W			900					STE11	STE12
YDL047W	YMR037C	153		218		198		218	SIT4	MSN2
YDL047W	YMR037C				401				SIT4	MSN2
YDL047W	YMR037C						401		SIT4	MSN2
YDL047W	YMR037C			151					SIT4	MSN2
YDL047W	YMR037C						463		SIT4	MSN2
YDL047W	YMR037C			151					SIT4	MSN2
YDL047W	YMR037C						401		SIT4	MSN2
YDL047W	YMR037C			151					SIT4	MSN2
YDL047W	YMR037C	151		210				218	SIT4	MSN2
YDL047W	YMR037C				401				SIT4	MSN2
YDL047W	YMR037C						401		SIT4	MSN2
YDL047W	YMR037C	153		183				183	SIT4	MSN2
YDL047W	YMR037C			151					SIT4	MSN2
YDL047W	YMR037C	158		215				215	SIT4	MSN2
YDL047W	YMR037C	153		185				185	SIT4	MSN2
YER133W	YDR207C	509		509		198		509	GLC7	UME6
YER133W	YDR207C						401		GLC7	UME6
YER133W	YDR207C			536					GLC7	UME6
YER133W	YDR207C						451		GLC7	UME6
YER133W	YDR207C	325		339				339	GLC7	UME6
YER133W	YDR207C	177		177				177	GLC7	UME6
YER133W	YDR207C	196		196				196	GLC7	UME6
YER133W	YDR207C	309		309				309	GLC7	UME6
YER133W	YDR207C	309		309				309	GLC7	UME6
YER133W	YDR207C			151					GLC7	UME6
YER133W	YDR207C	234		234				234	GLC7	UME6
YER133W	YDR207C			151					GLC7	UME6
YER133W	YDR207C			151					GLC7	UME6
YER133W	YDR207C			179				179	GLC7	UME6
YER133W	YDR207C			239					GLC7	UME6
YER133W	YDR207C	196		196				196	GLC7	UME6
YER133W	YDR207C	196		196				196	GLC7	UME6
YER133W	YDR207C	196		196				196	GLC7	UME6
YER133W	YDR207C	151		210				218	GLC7	UME6
YER133W	YDR207C	286		286				286	GLC7	UME6
YER133W	YDR207C						239		GLC7	UME6
YER133W	YDR207C	196		196				196	GLC7	UME6
YER133W	YDR207C			181		181			GLC7	UME6
YER133W	YDR207C						401		GLC7	UME6
YER133W	YDR207C	267		267				267	GLC7	UME6
YER133W	YDR207C						401		GLC7	UME6
YER133W	YDR207C	153		153				153	GLC7	UME6
YER133W	YDR207C			179				179	GLC7	UME6
YER133W	YDR207C	267		267				267	GLC7	UME6
YER133W	YDR207C						239		GLC7	UME6
YER133W	YDR207C	428		428				428	GLC7	UME6
YER133W	YDR207C						800		GLC7	UME6
YER133W	YDR207C	234		234				234	GLC7	UME6
YER133W	YDR207C	230		230				230	GLC7	UME6
YER133W	YDR207C						447		GLC7	UME6
YER133W	YDR207C						401		GLC7	UME6
YER133W	YDR207C	224		224				224	GLC7	UME6
YER133W	YDR207C			151					GLC7	UME6
YER133W	YDR207C	502	271	502				502	GLC7	UME6
YER133W	YDR207C						401		GLC7	UME6
YER133W	YDR207C	163		163				163	GLC7	UME6
YER133W	YDR207C			449					GLC7	UME6
YER133W	YDR207C			197				197	GLC7	UME6
YER133W	YDR207C	222		222				222	GLC7	UME6
YER133W	YDR207C	177		177				177	GLC7	UME6
YER133W	YDR207C			299		329		299	GLC7	UME6
YER133W	YDR207C	553	305	553				553	GLC7	UME6
YER133W	YDR207C	150		150				150	GLC7	UME6
