P	Target	activation	binding	catalysis	expression	inhibition	ptmod	reaction	P_gene	Target_gene
YPR025C	YDR310C			900				900	CCL1	SUM1
YPR025C	YDR310C			901				901	CCL1	SUM1
YPR025C	YDR310C			183				183	CCL1	SUM1
YPR025C	YDR310C							150	CCL1	SUM1
YPR025C	YDR310C			985				985	CCL1	SUM1
YPR025C	YDR310C			268				268	CCL1	SUM1
YPR025C	YDR310C			905				905	CCL1	SUM1
YPR025C	YDR310C			908				908	CCL1	SUM1
YPR025C	YDR310C							267	CCL1	SUM1
YPR025C	YDR310C	206							CCL1	SUM1
YPR025C	YDR310C			985				985	CCL1	SUM1
YPR025C	YDR310C			163				912	CCL1	SUM1
YPR025C	YDR310C			559				559	CCL1	SUM1
YPR025C	YDR310C			908				908	CCL1	SUM1
YPR025C	YDR310C							910	CCL1	SUM1
YPR025C	YDR310C			985				985	CCL1	SUM1
YPR025C	YDR310C	163		489					CCL1	SUM1
YPR025C	YDR310C			907				907	CCL1	SUM1
YPR025C	YDR310C			908				908	CCL1	SUM1
YPR025C	YDR310C			901				901	CCL1	SUM1
YPR025C	YDR310C							241	CCL1	SUM1
YPR025C	YDR310C			901				901	CCL1	SUM1
YPR025C	YDR310C			901				901	CCL1	SUM1
YPR025C	YDR310C			901				901	CCL1	SUM1
YPR025C	YDR310C	161		912				912	CCL1	SUM1
YPR025C	YDR310C	311		940					CCL1	SUM1
YPR025C	YDR310C			927					CCL1	SUM1
YPR025C	YDR310C			971				971	CCL1	SUM1
YPR025C	YDR310C			907				907	CCL1	SUM1
YPR025C	YDR310C							240	CCL1	SUM1
YPR025C	YDR310C			903				903	CCL1	SUM1
YPR025C	YDR310C			901				901	CCL1	SUM1
YPR025C	YDR310C			985				985	CCL1	SUM1
YPR025C	YDR310C			701				701	CCL1	SUM1
YPR025C	YDR310C			903				903	CCL1	SUM1
YPR025C	YDR310C			940				940	CCL1	SUM1
YPR025C	YDR310C			901				901	CCL1	SUM1
YPR025C	YDR310C			907				907	CCL1	SUM1
YPR025C	YDR310C			901				901	CCL1	SUM1
YPR025C	YDR310C			907				907	CCL1	SUM1
YPR025C	YDR310C			188				188	CCL1	SUM1
YPR025C	YDR310C			949				949	CCL1	SUM1
YPR025C	YDR310C			159				159	CCL1	SUM1
YPR025C	YDR310C			900				900	CCL1	SUM1
YPR025C	YDR310C			902				902	CCL1	SUM1
YPR025C	YDR310C			985				985	CCL1	SUM1
YPR025C	YDR310C							232	CCL1	SUM1
YPR025C	YDR310C			902				902	CCL1	SUM1
YPR025C	YDR310C	311		940					CCL1	SUM1
YPR025C	YDR310C			906				906	CCL1	SUM1
YPR025C	YDR310C							537	CCL1	SUM1
YPR025C	YDR310C			900				901	CCL1	SUM1
YPR025C	YDR310C	332		950				950	CCL1	SUM1
YPR025C	YDR310C			901				901	CCL1	SUM1
YPR025C	YDR310C	206							CCL1	SUM1
YPR025C	YDR310C			900				900	CCL1	SUM1
YPR025C	YDR310C			906				906	CCL1	SUM1
YPR025C	YDR310C			900				900	CCL1	SUM1
YPR025C	YDR310C			918				918	CCL1	SUM1
YPR025C	YDR310C			905				905	CCL1	SUM1
YPR025C	YDR310C							903	CCL1	SUM1
YPR025C	YDR310C			307					CCL1	SUM1
YPR025C	YDR310C			927				927	CCL1	SUM1
YPR025C	YDR310C			913				913	CCL1	SUM1
YPR025C	YDR310C			907				907	CCL1	SUM1
YPR025C	YDR310C			907				907	CCL1	SUM1
YPR025C	YDR310C			905				905	CCL1	SUM1
YPR025C	YDR310C			900				900	CCL1	SUM1
YPR025C	YDR310C							901	CCL1	SUM1
YPR025C	YDR310C			905				905	CCL1	SUM1
YPR025C	YDR310C			905				905	CCL1	SUM1
YPR025C	YDR310C			903				903	CCL1	SUM1
YPR025C	YDR310C			905				905	CCL1	SUM1
YPR025C	YDR310C			909				909	CCL1	SUM1
YPR025C	YDR310C							248	CCL1	SUM1
YPR025C	YDR310C			222					CCL1	SUM1
YPR025C	YDR310C			183				183	CCL1	SUM1
YPR025C	YDR310C			901				901	CCL1	SUM1
YPR025C	YDR310C			905				905	CCL1	SUM1
YPR025C	YDR310C			902				902	CCL1	SUM1
YPR025C	YDR310C			905				905	CCL1	SUM1
YPR025C	YDR310C			901				901	CCL1	SUM1
YPR025C	YDR310C							910	CCL1	SUM1
YPR025C	YDR310C			901				901	CCL1	SUM1
YPR025C	YDR310C							900	CCL1	SUM1
YPR025C	YDR310C			288				288	CCL1	SUM1
YPR025C	YDR310C			910				910	CCL1	SUM1
YPR025C	YDR310C	244		538					CCL1	SUM1
YPR025C	YDR310C						323	317	CCL1	SUM1
YPR025C	YDR310C			901				901	CCL1	SUM1
YPR025C	YDR310C			985				985	CCL1	SUM1
YPR025C	YDR310C							904	CCL1	SUM1
YPR025C	YDR310C			307					CCL1	SUM1
YPR025C	YDR310C			985				985	CCL1	SUM1
YPR025C	YDR310C			613				930	CCL1	SUM1
YPR025C	YDR310C	311		940					CCL1	SUM1
YPR025C	YDR310C			927					CCL1	SUM1
YPR025C	YDR310C			512				512	CCL1	SUM1
YPR025C	YDR310C							247	CCL1	SUM1
YPR025C	YDR310C							905	CCL1	SUM1
YPR025C	YDR310C			900				900	CCL1	SUM1
YPR025C	YDR310C			921				921	CCL1	SUM1
YPL209C	YHL027W	158		158				158	IPL1	RIM101
YPL209C	YHL027W	231		231				231	IPL1	RIM101
YPL209C	YHL027W			315					IPL1	RIM101
YPL209C	YHL027W						155		IPL1	RIM101
YPL209C	YHL027W	254		267				267	IPL1	RIM101
YPL209C	YHL027W			373					IPL1	RIM101
YPL209C	YHL027W			903					IPL1	RIM101
YPL209C	YHL027W	183		270				270	IPL1	RIM101
YPL209C	YHL027W			483				483	IPL1	RIM101
YPL209C	YHL027W						338		IPL1	RIM101
YPL209C	YHL027W			373					IPL1	RIM101
YPL209C	YHL027W	254		267				267	IPL1	RIM101
YPL209C	YHL027W	444		461			585	461	IPL1	RIM101
YPL209C	YHL027W			569				569	IPL1	RIM101
YPL209C	YHL027W						615		IPL1	RIM101
YPL209C	YHL027W			161				161	IPL1	RIM101
YPL209C	YHL027W			579			453	579	IPL1	RIM101
YPL209C	YHL027W						377		IPL1	RIM101
YPL209C	YHL027W	190		190				190	IPL1	RIM101
YPL209C	YHL027W						209		IPL1	RIM101
YPL209C	YHL027W			537				537	IPL1	RIM101
YPL209C	YHL027W			901					IPL1	RIM101
YPL209C	YHL027W						209		IPL1	RIM101
YPL209C	YHL027W	153		185				185	IPL1	RIM101
YPL209C	YHL027W			262			210		IPL1	RIM101
YPL209C	YHL027W			900					IPL1	RIM101
YPL209C	YHL027W		187	923				923	IPL1	RIM101
YPL209C	YHL027W	196		196				196	IPL1	RIM101
YPL209C	YHL027W			901					IPL1	RIM101
YPL209C	YHL027W			447					IPL1	RIM101
YPL209C	YHL027W	196		196				196	IPL1	RIM101
YPL209C	YHL027W						209		IPL1	RIM101
YPL209C	YHL027W	153		185				185	IPL1	RIM101
YPL209C	YHL027W			373					IPL1	RIM101
YPL209C	YHL027W			905				905	IPL1	RIM101
YPL209C	YHL027W			177				177	IPL1	RIM101
YPL209C	YHL027W			901					IPL1	RIM101
YPL209C	YHL027W			901					IPL1	RIM101
YPL209C	YHL027W	266	155	266				266	IPL1	RIM101
YPL209C	YHL027W			311				311	IPL1	RIM101
YPL209C	YHL027W			191				191	IPL1	RIM101
YPL209C	YHL027W	183		270				270	IPL1	RIM101
YPL209C	YHL027W			903					IPL1	RIM101
YPL209C	YHL027W	442		442			508	442	IPL1	RIM101
YPL209C	YHL027W	806		861				861	IPL1	RIM101
YPL209C	YHL027W			900					IPL1	RIM101
YPL209C	YHL027W			903					IPL1	RIM101
YPL209C	YHL027W	553	305	553				553	IPL1	RIM101
YPL209C	YHL027W			153				153	IPL1	RIM101
YPL209C	YHL027W			493				493	IPL1	RIM101
YPL209C	YHL027W			194				194	IPL1	RIM101
YPL209C	YHL027W			224				224	IPL1	RIM101
YPL209C	YHL027W			902					IPL1	RIM101
YPL209C	YHL027W			329.5				286	IPL1	RIM101
YPL209C	YHL027W			169				169	IPL1	RIM101
YPL209C	YHL027W			901					IPL1	RIM101
YPL209C	YHL027W			901					IPL1	RIM101
YPL209C	YHL027W	538		579				579	IPL1	RIM101
YPL209C	YHL027W			903					IPL1	RIM101
YPL209C	YHL027W						155		IPL1	RIM101
YPL209C	YHL027W			901					IPL1	RIM101
YPL209C	YHL027W	428		428				428	IPL1	RIM101
YPL209C	YHL027W	292		323				323	IPL1	RIM101
YPL209C	YHL027W	538		579				579	IPL1	RIM101
YPL209C	YHL027W	516		516			465	516	IPL1	RIM101
YPL209C	YHL027W		373	489			300	489	IPL1	RIM101
YPL209C	YHL027W			856					IPL1	RIM101
YPL209C	YHL027W			447					IPL1	RIM101
YPL209C	YHL027W			315					IPL1	RIM101
YPL209C	YHL027W						463		IPL1	RIM101
YPL209C	YHL027W	153		185				185	IPL1	RIM101
YPL209C	YHL027W			903					IPL1	RIM101
YPL209C	YHL027W	536		569				569	IPL1	RIM101
YPL209C	YHL027W			187					IPL1	RIM101
YPL209C	YHL027W	459		503				501	IPL1	RIM101
YPL209C	YHL027W			903					IPL1	RIM101
YPL209C	YHL027W			903					IPL1	RIM101
