KP	KP2	Target
ATG1		YBL055C
ATG1		YBL011W
ATG1		YDL115C
ATG1		YPR158W-A
ATG1		YNL165W
ATG1		YJR092W
ATG1		YLR276C
ATG1		YJL148W
ATG1		YNL173C
ATG1		YPL181W
ATG1		YDL013W
ATG1		YOR344C
ATG1		YFR010W
ATG1		YOL130W
ATG1		YPL146C
ATG1		YKL048C
ATG1		YDR169C
ATG1		YOL123W
ATG1		YDR161W
ATG1		YKR094C
ATG1		YGL248W
ATG1		YLR429W
ATG1		YOR141C
ATG1		YOR054C
ATG1		YBL078C
ATG1		YDR034C-C
ATG1		YGR027W-A
ATG1		YDR540C
ATG1		YFL001W
ATG1		YOL103W-A
ATG1		YPR091C
ATG1		YLR451W
ATG1		YJL084C
ATG1		YDR293C
ATG1		YJL033W
ATG1		YKL121W
ATG1		YPR019W
ATG1		YER127W
ATG1		YCL029C
ATG1		YIL156W
ATG1		YOR083W
ATG1		YNL094W
ATG1		YJR044C
ATG1		YLR125W
ATG1		YCL014W
ATG1		YMR140W
ATG1		YML007W
ATG1		YDL153C
ATG1		YFR034C
ATG1		YPL133C
ATG1		YDR439W
ATG1		YLR350W
ATG1		YKR045C
ATG1		YER098W
ATG1		YDR330W
ATG1		YPR158C-C
ATG1		YDR113C
ATG1		YML037C
ATG1		YKL042W
ATG1		YNL125C
ATG1		YIL107C
ATG1		YPR143W
ATG1		YMR229C
ATG1		YGL105W
ATG1		YLR003C
ATG1		YGR159C
ATG1		YHR014W
ATG1		YLL043W
ATG1		YPR129W
ATG1		YAL028W
ATG1		YNL227C
ATG1		YOR056C
ATG1		YGR028W
ATG1		YGL207W
ATG1		YPR137C-A
ATG1		YGR130C
ATG1		YKL093W
ATG1		YDR346C
ATG1		YBR155W
ATG1		YFL054C
ATG1		YMR316W
ATG1		YNR019W
ATG1		YLR323C
ATG1		YML045W-A
ATG1		YLR257W
ATG1		YNL314W
ATG1		YER034W
ATG1		YEL017W
ATG1		YPR115W
ATG1		YGR021W
ATG1		YDL220C
ATG1		YNL054W-A
ATG1		YPL257W-A
ATG1		YLR192C
ATG1		YLR265C
ATG1		YER122C
ATG1		YLL008W
ATG1		YLR410W
ATG1		YOR340C
ATG1		YOR078W
ATG1		YOR239W
ATG1		YDL051W
ATG1		YER092W
ATG1		YDR099W
ATG1		YHR009C
ATG1		YBL061C
ATG1		YDR037W
ATG1		YLR410W-A
ATG1		YNL304W
ATG1		YFL023W
ATG1		YIL091C
ATG1		YDR208W
ATG1		YLR244C
ATG1		YMR288W
ATG1		YNL293W
ATG1		YKL023W
ATG1		YFL034W
ATG1		YML062C
ATG1		YBR086C
ATG1		YBR108W
ATG1		YFL050C
ATG1		YBR130C
ATG1		YOR119C
ATG1		YGL190C
ATG1		YKL114C
ATG1		YJR072C
ATG1		YER112W
ATG1		YPL190C
ATG1		YBR270C
ATG1		YNL182C
ATG1		YIL077C
ATG1		YHL019C
ATG1		YLR098C
BCK1		YMR295C
BCK1		YOR177C
BCK1		YGR094W
BCK1		YLR429W
BCK1		YKR040C
BCK1		YHR114W
BCK1		YBR233W
BCK1		YMR111C
BCK1		YGL245W
BCK1		YJR141W
BCK1		YGL256W
BCK1		YFL023W
BCK1		YNL135C
BCK1		YDR087C
BCK1		YDR152W
BCK1		YPL191C
BCK1		YNL114C
BCK1		YNL001W
BCK1		YDL223C
BCK1		YNL077W
BCK1		YGL207W
BCK1		YNL034W
BCK1		YNL133C
BCK1		YJR092W
BCK1		YPR152C
BCK1		YBR225W
BCK1		YPR032W
BCK1		YDR170W-A
BCK1		YNL155W
BCK1		YJL196C
BCK1		YOR050C
BCK1		YDL025C
BCK1		YKL168C
BCK1		YNL293W
BCK1		YPR058W
BCK1		YNR006W
BCK1		YNL272C
BCK1		YDR034C-C
BCK1		YOR210W
BCK1		YAR019C
BCK1		YNL022C
BCK1		YOR196C
BCK1		YDR134C
BCK1		YML083C
BCK1		YDL019C
BCK1		YBL024W
BCK1		YPL217C
BCK1		YBL007C
BCK1		YMR155W
BCK1		YML037C
BCK1		YNL125C
BCK1		YDR411C
BCK1		YIL070C
BCK1		YGL105W
BCK1		YMR229C
BCK1		YNL186W
BCK1		YBR108W
BCK1		YPR137C-A
BCK1		YML080W
BCK1		YOR107W
BCK1		YDL070W
BCK1		YNL136W
BCK1		YDR226W
BCK1		YBL011W
BCK1		YDL220C
BCK1		YNL054W-A
BCK1		YJR063W
BCK1		YPL257W-A
BCK1		YER122C
BCK1		YLL008W
BCK1		YJL141C
CDC15		YBR162C
CDC15		YML037C
CDC15		YAR019C
CDC15		YGL245W
CDC15		YPL251W
CDC15		YOR018W
CDC15		YBR151W
CDC28	CLB5	YLR307W
CDC28	CLB5	YBL014C
CDC28	CLB5	YBR038W
CDC28	CLB5	YBL007C
CDC28	CLB5	YER098W
CDC28	CLB5	YJL187C
CDC28	CLB5	YKR097W
CDC28	CLB5	YAR003W
CDC28	CLB5	YDR330W
CDC28	CLB5	YOR177C
CDC28	CLB5	YEL032W
CDC28	CLB5	YNR047W
CDC28	CLB5	YDR113C
CDC28	CLB5	YMR291W
CDC28	CLB5	YKL168C
CDC28	CLB5	YMR190C
CDC28	CLB5	YML091C
CDC28	CLB5	YMR165C
CDC28	CLB5	YAL028W
CDC28	CLB5	YNL186W
CDC28	CLB5	YNL284C-A
CDC28	CLB5	YNL272C
CDC28	CLB5	YBR135W
CDC28	CLB5	YDR034C-C
CDC28	CLB5	YDR239C
CDC28	CLB5	YDR293C
CDC28	CLB5	YDL070W
CDC28	CLB5	YJL051W
CDC28	CLB5	YJR141W
CDC28	CLB5	YLR455W
CDC28	CLB5	YDL220C
CDC28	CLB5	YBR138C
CDC28	CLB5	YPL150W
CDC28	CLB5	YGR238C
CDC28	CLB5	YPR160W
CDC28	CLB5	YHR200W
CDC28	CLB5	YAL020C
CDC28	CLB5	YIL135C
CDC28	CLB5	YLL008W
CDC28	CLB5	YLR009W
CDC28	CLB5	YJR092W
CDC28	CLB5	YDL153C
CDC28	CLB5	YGR276C
CDC28	CLN2	YPL073C
CDC28	CLN2	YMR155W
CDC28	CLN2	YOL125W
CDC28	CLN2	YDR042C
CDC28	CLN2	YMR291W
CDC28	CLN2	YOL092W
CDC28	CLN2	YNL186W
CDC28	CLN2	YBR135W
CDC28	CLN2	YNL272C
CDC28	CLN2	YMR241W
CDC28	CLN2	YDL174C
CDC28	CLN2	YJL111W
CDC28	CLN2	YHR216W
CDC28	CLN2	YOR249C
CDC28	CLN2	YJL115W
CDC28	CLN2	YDL070W
CDC28	CLN2	YKL223W
CDC28	CLN2	YDR134C
CDC28	CLN2	YML083C
CDC28	CLN2	YJL199C
CDC28	CLN2	YLR303W
CDC28	CLN2	YBL024W
CDC28	CLN2	YDL153C
CDC5		YAR019C
CDC5		YPR013C
CDC5		YPL150W
CDC5		YDR360W
CDC5		YDL006W
CDC5		YBR231C
CDC5		YJL051W
CDC5		YPR115W
CDC5		YPR058W
CDC5		YPR067W
CKA1		YKL093W
CKA1		YGL148W
CKA1		YLL008W
CKA1		YJR044C
CKA1		YJR096W
CKA1		YMR173W
CKA1		YER122C
CKA1		YKL160W
CKA1		YGR276C
CKA1		YJR130C
CKA1		YLR345W
CKA1		YKR041W
CKA1		YOL016C
CKA1		YKR022C
CKA1		YBL024W
CLA4		YAL043C
CLA4		YAR019C
CLA4		YPR115W
CLA4		YGR275W
CLA4		YKL104C
CLA4		YKL099C
CLA4		YGR276C
CLA4		YBR298C-A
CLA4		YIL041W
CLA4		YDL006W
CLA4		YBR061C
CLA4		YDL070W
