TF	Mode
MAL63	activator
MATA1	repressor
YAL051W	activator
YBL005W	activator
YBL008W	repressor
YBL021C	activator
YBL054W	activator
YBL103C	activator
YBR033W	activator
YBR049C	activator
YBR083W	activator
YBR112C	repressor
YBR150C	repressor
YBR182C	activator
YBR239C	repressor
YBR240C	activator
YBR267W	repressor
YBR297W	activator
YCL055W	activator
YCL066W	repressor
YCL067C	repressor
YCR018C	activator
YCR040W	activator
YCR065W	activator
YCR084C	repressor
YCR096C	activator
YCR097W	activator
YCR106W	repressor
YDL020C	activator
YDL048C	activator
YDL056W	activator
YDL106C	activator
YDL166C	activator
YDL170W	activator
YDL233W	activator
YDR009W	repressor
YDR026C	activator
YDR034C	activator
YDR043C	repressor
YDR049W	activator
YDR081C	activator
YDR123C	activator
YDR146C	activator
YDR174W	activator
YDR207C	repressor
YDR213W	activator
YDR216W	activator
YDR253C	activator
YDR259C	repressor
YDR266C	activator
YDR277C	activator
YDR310C	repressor
YDR421W	activator
YDR423C	activator
YDR451C	repressor
YDR463W	activator
YDR501W	repressor
YDR520C	repressor
YEL009C	repressor
YER028C	repressor
YER040W	activator
YER045C	activator
YER051W	activator
YER068W	activator
YER088C	activator
YER108C	activator
YER109C	activator
YER111C	activator
YER130C	activator
YER161C	repressor
YER169W	repressor
YER184C	activator
YFL021W	activator
YFL031W	activator
YFL044C	activator
YFL052W	activator
YFR034C	activator
YGL013C	activator
YGL035C	repressor
YGL071W	activator
YGL073W	activator
YGL096W	repressor
YGL131C	repressor
YGL162W	repressor
YGL166W	activator
YGL181W	activator
YGL192W	activator
YGL197W	repressor
YGL209W	repressor
YGL237C	activator
YGL252C	activator
YGL254W	activator
YGR044C	activator
YGR067C	activator
YGR089W	activator
YGR097W	activator
YGR249W	activator
YGR288W	activator
YHL009C	activator
YHL020C	repressor
YHL027W	repressor
YHR006W	activator
YHR084W	activator
YHR124W	activator
YHR178W	activator
YHR206W	activator
YIL036W	activator
YIL101C	repressor
YIL119C	activator
YIL122W	activator
YIL128W	activator
YIL131C	repressor
YIR017C	activator
YIR018W	activator
YIR023W	activator
YIR033W	activator
YJL056C	activator
YJL089W	activator
YJL103C	activator
YJL110C	repressor
YJL127C	repressor
YJL206C	repressor
YJR060W	activator
YJR094C	activator
YJR127C	activator
YJR140C	activator
YJR147W	activator
YKL005C	repressor
YKL015W	activator
YKL020C	activator
YKL032C	repressor
YKL038W	activator
YKL043W	activator
YKL062W	activator
YKL072W	repressor
YKL109W	activator
YKL112W	activator
YKL185W	repressor
YKL222C	repressor
YKR034W	repressor
YKR064W	repressor
YKR077W	activator
YKR099W	activator
YLR013W	activator
YLR014C	activator
YLR098C	repressor
YLR131C	activator
YLR176C	repressor
YLR182W	activator
YLR183C	repressor
YLR223C	activator
YLR228C	activator
YLR256W	activator
YLR266C	activator
YLR278C	activator
YLR403W	activator
YLR451W	activator
YML007W	activator
YML027W	repressor
YML051W	repressor
YML076C	activator
YML081W	repressor
YML099C	activator
YML113W	repressor
YMR016C	repressor
YMR019W	repressor
YMR021C	activator
YMR037C	activator
YMR042W	activator
YMR043W	activator
YMR053C	activator
YMR070W	repressor
YMR075W	activator
YMR164C	activator
YMR172W	activator
YMR182C	activator
YMR280C	activator
YNL027W	activator
YNL068C	activator
YNL103W	activator
YNL132W	repressor
YNL139C	activator
YNL167C	repressor
YNL199C	repressor
YNL216W	activator
YNL257C	activator
YNL309W	activator
YNL312W	repressor
YNL314W	activator
YNR054C	repressor
YNR063W	activator
YOL028C	repressor
YOL067C	activator
YOL089C	activator
YOL108C	activator
YOL116W	activator
YOR028C	activator
YOR032C	repressor
YOR038C	repressor
YOR066W	repressor
YOR077W	repressor
YOR113W	activator
YOR140W	activator
YOR162C	activator
YOR229W	activator
YOR230W	activator
YOR298C-A	activator
YOR337W	repressor
YOR344C	activator
YOR358W	activator
YOR363C	activator
YOR372C	activator
YOR380W	activator
YPL038W	repressor
YPL049C	activator
YPL075W	activator
YPL089C	activator
YPL128C	activator
YPL133C	activator
YPL139C	activator
YPL177C	repressor
YPL202C	activator
YPL230W	repressor
YPL248C	activator
YPR008W	activator
YPR009W	activator
YPR022C	activator
YPR065W	repressor
YPR104C	activator
YPR196W	activator
YPR199C	activator
