TF	Target	Pval	Mode	weight
MAL63	YBL010C	0.01408	activator	0.308515047206759
MAL63	YBR053C	0.007088	activator	0.385831721254793
MAL63	YBR101C	0.03001	activator	0.214193998091538
MAL63	YBR276C	0.02081	activator	0.261189963593882
MAL63	YBR279W	0.0208	activator	0.261249885951573
MAL63	YBR299W	0.00219	activator	0.504823862750501
MAL63	YDL204W	0.009147	activator	0.357883950936257
MAL63	YDL205C	0.01881	activator	0.273691352299093
MAL63	YDR207C	0.01352	activator	0.313281966441774
MAL63	YDR208W	0.0223	activator	0.252522268563586
MAL63	YDR463W	0.02664	activator	0.229793365880936
MAL63	YDR493W	0.01413	activator	0.308097422407709
MAL63	YEL009C	0.008781	activator	0.362417682916191
MAL63	YGL008C	0.01157	activator	0.331334585166649
MAL63	YGL047W	0.02021	activator	0.264829264754322
MAL63	YGL048C	0.02022	activator	0.264767863849937
MAL63	YGR141W	0.009126	activator	0.358139747189437
MAL63	YGR206W	0.02021	activator	0.264829264754322
MAL63	YHR011W	0.0275	activator	0.225662867864973
MAL63	YHR091C	0.01418	activator	0.307681069050727
MAL63	YHR114W	0.01402	activator	0.309017887389053
MAL63	YIL031W	0.01127	activator	0.334342830858086
MAL63	YIL033C	0.01575	activator	0.295209568404595
MAL63	YJR070C	0.01659	activator	0.288969528266688
MAL63	YKL088W	0.01761	activator	0.281745968473001
MAL63	YKL117W	0.02502	activator	0.237886569273496
MAL63	YKR006C	0.004165	activator	0.441517879720343
MAL63	YKR008W	0.003925	activator	0.447536285053261
MAL63	YKR100C	0.009243	activator	0.35672110347622
MAL63	YKR101W	0.0187	activator	0.274411171973654
MAL63	YLL026W	0.02246	activator	0.251620847360468
MAL63	YLR097C	0.0236	activator	0.245350345040626
MAL63	YLR131C	0.02139	activator	0.257755463398751
MAL63	YLR134W	0.001067	activator	0.571276134188492
MAL63	YLR193C	0.02581	activator	0.233886785417286
MAL63	YLR237W	0.02616	activator	0.232147415879162
MAL63	YLR396C	0.02644	activator	0.23076987697209
MAL63	YLR423C	0.01301	activator	0.317773942217168
MAL63	YML037C	0.02834	activator	0.221731122030226
MAL63	YNL024C	0.02272	activator	0.250167521238989
MAL63	YNL234W	0.02023	activator	0.264706488687184
MAL63	YNL289W	0.02895	activator	0.218936284361825
MAL63	YNL291C	0.006764	activator	0.390867468628688
MAL63	YNL298W	0.0313	activator	0.20860657718753
MAL63	YNL299W	0.02961	activator	0.215966955068899
MAL63	YOL005C	0.02448	activator	0.240681951674836
MAL63	YOR145C	0.0003934	activator	0.657219154796397
MAL63	YPL098C	0.001263	activator	0.556062812363183
MATA1	YAL048C	0.00461098544582478	repressor	-0.431114162804427
MATA1	YBL018C	0.000372	repressor	-0.661848858521895
MATA1	YBL106C	0.047	repressor	-0.152399466707298
MATA1	YBR012C	0.0127	repressor	-0.320579300671159
MATA1	YBR013C	0.0127	repressor	-0.320579300671159
MATA1	YBR034C	0.0331	repressor	-0.201120110323985
MATA1	YBR061C	0.0409	repressor	-0.17210086195669
MATA1	YBR063C	0.0215	repressor	-0.25711299728049
MATA1	YBR098W	0.00595	repressor	-0.404528778385087
MATA1	YBR100W	0.00595	repressor	-0.404528778385087
MATA1	YBR102C	0.0082	repressor	-0.369966995287425
MATA1	YBR103W	0.0082	repressor	-0.369966995287425
MATA1	YBR122C	0.0443	repressor	-0.160848818723302
MATA1	YBR124W	0.0443	repressor	-0.160848818723302
MATA1	YBR143C	0.0186	repressor	-0.27506868755944
MATA1	YBR192W	0.0155	repressor	-0.297121811343703
MATA1	YBR199W	7.29468248075632e-05	repressor	-0.789387087257711
MATA1	YBR210W	0.0136	repressor	-0.312590667470264
MATA1	YBR232C	0.0257	repressor	-0.234437520332785
MATA1	YBR281C	0.000925	repressor	-0.583993758703111
MATA1	YBR282W	0.000925	repressor	-0.583993758703111
MATA1	YBR292C	0.0361	repressor	-0.189356478877993
