loss	sse	Lp	epoch	time
8788829513.01896	8788819805.69598	16846.52147	0	2020-02-05T12:03:30.496
94110055.54796	94101308.65955	16851.89179	1	2020-02-05T12:10:50.86
81606991.53638	81598805.74600	16860.60683	2	2020-02-05T12:18:06.578
70226264.49113	70218478.19418	16869.60831	3	2020-02-05T12:25:20.418
60532324.90474	60524854.31424	16878.20437	4	2020-02-05T12:32:40.677
52608788.38685	52601574.68828	16886.23585	5	2020-02-05T12:39:41.655
46225016.31729	46218014.56781	16893.65164	6	2020-02-05T12:46:39.418
41088164.01016	41081338.11767	16900.46540	7	2020-02-05T12:53:41.576
36933726.52848	36927049.57074	16906.72536	8	2020-02-05T13:00:56.587
33547027.97378	33540481.18463	16912.49784	9	2020-02-05T13:08:13.712
30760963.94535	30754527.64613	16917.80823	10	2020-02-05T13:15:23.819
28447443.83148	28441105.01186	16922.69956	11	2020-02-05T13:22:30.035
26508599.53445	26502347.32387	16927.20763	12	2020-02-05T13:29:43.86
24869424.07257	24863249.01095	16931.37337	13	2020-02-05T13:36:37.705
23472072.28875	23465965.72715	16935.23227	14	2020-02-05T13:43:46.812
22271581.46929	22265538.18021	16938.80294	15	2020-02-05T13:50:51.731
21232709.35221	21226723.54775	16942.11613	16	2020-02-05T13:58:13.454
20327588.64390	20321654.46688	16945.19288	17	2020-02-05T14:05:46.817
19533993.33896	19528105.25290	16948.05686	18	2020-02-05T14:13:21.914
18834050.43353	18828201.46995	16950.72829	19	2020-02-05T14:20:28.503
18213266.58449	18207452.45230	16953.22206	20	2020-02-05T14:27:37.544
17659803.89353	17654021.12512	16955.54972	21	2020-02-05T14:35:05.296
17163922.48380	17158168.21853	16957.72379	22	2020-02-05T14:42:28.152
16717554.30848	16711825.84350	16959.75721	23	2020-02-05T14:49:37.965
16313974.01617	16308267.73567	16961.66249	24	2020-02-05T14:56:39.208
15947538.77012	15941852.34187	16963.44901	25	2020-02-05T15:03:45.222
15613489.27546	15607820.91914	16965.12813	26	2020-02-05T15:10:45.008
15307789.91779	15302138.03998	16966.71304	27	2020-02-05T15:17:54.389
15027001.56961	15021364.52728	16968.20925	28	2020-02-05T15:25:03.43
14768179.06991	14762555.56069	16969.62383	29	2020-02-05T15:31:58.341
14528789.62264	14523178.49479	16970.96428	30	2020-02-05T15:39:09.212
14306645.92427	14301046.15505	16972.23835	31	2020-02-05T15:46:23.738
14099851.72379	14094262.36691	16973.45235	32	2020-02-05T15:53:44.968
13906757.06872	13901177.24040	16974.60884	33	2020-02-05T16:00:59.378
13725921.35980	13720350.26732	16975.71333	34	2020-02-05T16:08:08.672
13556082.81429	13550519.70894	16976.77125	35	2020-02-05T16:15:13.307
13396132.87500	13390577.07778	16977.78653	36	2020-02-05T16:22:24.98
13245094.87634	13239545.77010	16978.76058	37	2020-02-05T16:29:34.238
13102106.09333	13096563.09329	16979.69861	38	2020-02-05T16:36:36.949
12966402.39025	12960865.08655	16980.60538	39	2020-02-05T16:43:47.274
12837305.67108	12831773.62502	16981.48334	40	2020-02-05T16:50:57.025
12714212.67773	12708685.48317	16982.33300	41	2020-02-05T16:57:52.76
12596585.67482	12591062.95187	16983.15642	42	2020-02-05T17:04:52.813
12483944.41147	12478425.80383	16983.95556	43	2020-02-05T17:12:12.762
12375859.19901	12370344.37466	16984.73348	44	2020-02-05T17:19:33.578
12271944.91914	12266433.58729	16985.49154	45	2020-02-05T17:26:49.749
12171855.82006	12166347.78062	16986.23221	46	2020-02-05T17:34:01.753
12075281.20201	12069776.20692	16986.95679	47	2020-02-05T17:41:25.666
11981941.30215	11976439.12867	16987.66864	48	2020-02-05T17:48:52.181
11891584.07629	11886084.39242	16988.36791	49	2020-02-05T17:56:20.403
11803982.25213	11798484.46529	16989.05474	50	2020-02-05T18:03:46.277
11718929.80292	11713433.72442	16989.72931	51	2020-02-05T18:10:58.522
11636240.73577	11630746.18669	16990.39370	52	2020-02-05T18:18:16.292
11555746.61207	11550253.45410	16991.04841	53	2020-02-05T18:26:00.827
11477294.80190	11471802.91004	16991.69468	54	2020-02-05T18:33:23.572
11400746.88274	11395256.12062	16992.33314	55	2020-02-05T18:40:52.393
11325977.16194	11320487.41150	16992.96357	56	2020-02-05T18:48:25.397
11252871.43819	11247382.60049	16993.58815	57	2020-02-05T18:55:48.772
11181325.87866	11175837.87001	16994.20794	58	2020-02-05T19:03:23.34
11111246.00582	11105758.76123	16994.82225	59	2020-02-05T19:10:51.526
11042545.82552	11037059.27527	16995.43121	60	2020-02-05T19:18:21.128
10975147.00999	10969661.07036	16996.03536	61	2020-02-05T19:26:04.196
10908978.14469	10903492.73794	16996.63426	62	2020-02-05T19:33:34.045
10843974.09829	10838489.15283	16997.22873	63	2020-02-05T19:41:07.308
10780075.44667	10774590.88942	16997.81918	64	2020-02-05T19:48:27.084
10717227.93298	10711743.69742	16998.40490	65	2020-02-05T19:55:47.983
10655382.01126	10649898.02688	16998.98745	66	2020-02-05T20:03:20.994
10594492.39830	10589008.60181	16999.56884	67	2020-02-05T20:10:47.925
10534517.70205	10529034.03201	17000.14830	68	2020-02-05T20:18:14.809
10475420.08239	10469936.46426	17000.72445	69	2020-02-05T20:25:40.098
10417165.05189	10411681.27598	17001.29998	70	2020-02-05T20:32:42.199
10359720.74314	10354236.77032	17001.87352	71	2020-02-05T20:40:02.441
10303058.13622	10297573.91264	17002.44472	72	2020-02-05T20:47:04.361
10247150.62758	10241666.10648	17003.01508	73	2020-02-05T20:54:06.133
10191973.84792	10186488.97216	17003.58248	74	2020-02-05T21:01:25.63
10137505.42673	10132020.15165	17004.15119	75	2020-02-05T21:08:32.61
10083724.85873	10078239.12842	17004.72213	76	2020-02-05T21:15:39.108
10030613.28937	10025127.06683	17005.29231	77	2020-02-05T21:22:59.455
9978153.41332	9972666.65654	17005.85963	78	2020-02-05T21:30:09.525
9926329.32687	9920841.98137	17006.42515	79	2020-02-05T21:37:32.457
9875126.39095	9869638.39495	17006.98875	80	2020-02-05T21:44:49.046
9824531.08907	9819042.40026	17007.55074	81	2020-02-05T21:51:55.389
9774530.98376	9769041.54686	17008.10844	82	2020-02-05T21:59:05.497
9725114.53332	9719624.33723	17008.66368	83	2020-02-05T22:06:20.031
9676271.11545	9670780.12821	17009.21622	84	2020-02-05T22:13:24.444
9627990.88418	9622499.06384	17009.76773	85	2020-02-05T22:20:44.532
9580264.64497	9574771.98912	17010.31544	86	2020-02-05T22:27:53.57
9533083.89479	9527590.38650	17010.86182	87	2020-02-05T22:34:59.272
9486440.74843	9480946.31433	17011.40940	88	2020-02-05T22:42:16.897
9440327.83307	9434832.35478	17011.95567	89	2020-02-05T22:49:22.643
9394738.13154	9389241.54429	17012.50087	90	2020-02-05T22:56:51.813
9349665.06848	9344167.32821	17013.04428	91	2020-02-05T23:04:08.274
9305102.43830	9299603.51531	17013.58863	92	2020-02-05T23:11:19.265
9261044.37052	9255544.23626	17014.13353	93	2020-02-05T23:18:49.402
9217485.27156	9211983.90866	17014.67926	94	2020-02-05T23:26:15.956
9174419.81671	9168917.19656	17015.22293	95	2020-02-05T23:33:40.181
9131842.88626	9126338.98237	17015.76127	96	2020-02-05T23:40:56.954
9089749.57902	9084244.33446	17016.29619	97	2020-02-05T23:48:07.254
9048135.09127	9042628.48273	17016.82669	98	2020-02-05T23:55:24.608
9006994.78382	9001486.78670	17017.35382	99	2020-02-06T00:02:30.747
8966324.13275	8960814.71827	17017.87675	100	2020-02-06T00:09:39.69
8926118.72151	8920607.84078	17018.39634	101	2020-02-06T00:16:53.858
8886374.17233	8880861.78584	17018.91445	102	2020-02-06T00:24:07.448
8847086.19046	8841572.24220	17019.43304	103	2020-02-06T00:31:18.203
8808250.47250	8802734.93410	17019.95003	104	2020-02-06T00:38:31.307
8769862.76315	8764345.60538	17020.46406	105	2020-02-06T00:45:42.769
8731918.88416	8726400.01977	17020.97439	106	2020-02-06T00:52:59.135
8694414.52666	8688893.93896	17021.48458	107	2020-02-06T01:00:08.354
8657345.44827	8651823.11137	17021.99550	108	2020-02-06T01:07:18.968
8620707.37591	8615183.26882	17022.50254	109	2020-02-06T01:14:36.422
8584496.01825	8578970.11893	17023.00461	110	2020-02-06T01:21:53.905
8548707.06082	8543179.33911	17023.50245	111	2020-02-06T01:29:12.794
8513336.14641	8507806.57283	17023.99821	112	2020-02-06T01:36:34.349
8478378.86326	8472847.42227	17024.48896	113	2020-02-06T01:43:34.49
8443830.77485	8438297.44705	17024.97465	114	2020-02-06T01:50:53.703
8409687.38424	8404152.16165	17025.45737	115	2020-02-06T01:58:08.784
8375944.14665	8370407.03443	17025.93722	116	2020-02-06T02:05:08.608
8342596.50198	8337057.48811	17026.41222	117	2020-02-06T02:12:28.364
8309639.83359	8304098.89994	17026.88210	118	2020-02-06T02:19:45.796
8277069.48693	8271526.60147	17027.34688	119	2020-02-06T02:26:49.044
8244880.77075	8239335.88395	17027.81060	120	2020-02-06T02:34:06.613
8213068.89488	8207521.99248	17028.26986	121	2020-02-06T02:41:26.885
8181629.07242	8176080.13153	17028.72738	122	2020-02-06T02:48:45.957
8150556.46487	8145005.47064	17029.18023	123	2020-02-06T02:56:08.725
8119846.20821	8114293.14360	17029.63279	124	2020-02-06T03:03:25.417
8089493.42466	8083938.25561	17030.08722	125	2020-02-06T03:10:40.27
8059493.17149	8053935.88428	17030.53613	126	2020-02-06T03:17:50.624
8029840.51645	8024281.08499	17030.98047	127	2020-02-06T03:25:03.411
8000530.47367	7994968.89575	17031.42037	128	2020-02-06T03:32:11.962
7971558.02059	7965994.33804	17031.85580	129	2020-02-06T03:39:28.439
7942918.20184	7937352.42054	17032.28961	130	2020-02-06T03:46:44.394
7914606.05526	7909038.15528	17032.72551	131	2020-02-06T03:54:04.384
7886616.63288	7881046.55455	17033.15839	132	2020-02-06T04:01:09.899
7858944.92772	7853372.63942	17033.59229	133	2020-02-06T04:08:19.806
7831585.95159	7826011.43772	17034.02370	134	2020-02-06T04:15:31.911
7804534.73342	7798957.99100	17034.45159	135	2020-02-06T04:22:43.922
7777786.36779	7772207.35763	17034.88147	136	2020-02-06T04:30:00.291
7751335.94863	7745754.62761	17035.31211	137	2020-02-06T04:37:26.096
7725178.54833	7719594.91036	17035.73709	138	2020-02-06T04:44:48.226
7699309.39999	7693723.34829	17036.16004	139	2020-02-06T04:52:17.62
7673723.64550	7668135.13360	17036.57998	140	2020-02-06T04:59:42.114
7648416.47023	7642825.48184	17036.99991	141	2020-02-06T05:07:10.065
7623383.13496	7617789.65452	17037.41805	142	2020-02-06T05:14:43.166
