_	r	p	ψ
T1	1.0	1.0	0.7344046748318663
T2	0.0005021419160261427	0.0006274613560213067	0.0002473068771346654
T3	1.0	1.0	0.6513689700615821
T4	1.0	1.0	0.37542858111777083
P1	1.0	1.0	1.0
P2	1.0	1.0	1.0
P3	1.0	1.0	1.0
P4	1.0	1.0	1.0
O1	0.05711051403153203	0.05796115114432326	0.0
O2	0.2704154936471464	0.27073795950163343	0.0
O3	0.44995005322319825	0.4499936362708775	0.0
O4	0.5024847548186273	0.5092930207963999	0.0
