	r	p	ψ
T1	1.0	1.0	0.6319181835687988
T2	1.0	1.0	0.365739082463501
T3	0.0002424371043571533	0.0002686859215082717	0.00019230429745821991
T4	1.0	1.0	0.3163959369771362
P1	1.0	1.0	1.0
P2	1.0	1.0	1.0
P3	1.0	1.0	1.0
P4	1.0	1.0	1.0
O1	0.054796577345476764	0.05486944241455413	0.0
O2	0.5394040856514899	0.5399115953534706	0.0
O3	0.053708763330071484	0.058127440400564466	0.0
O4	0.5194537500906432	0.5221779603985663	0.0
