	r	p	ψ
T1	1.0	1.0	0.6319181835688044
T2	1.0	1.0	0.36573908246300707
T3	1.0	1.0	0.001114851940466178
T4	1.0	1.0	0.3163959368972307
P1	1.0	1.0	1.0
P2	1.0	1.0	1.0
P3	1.0	1.0	1.0
P4	0.0001860742949088038	0.00022076737119805533	0.00022076737119805533
O1	0.05479510096658247	0.05480859832483543	0.0
O2	0.5394034643217965	0.5395023162954266	0.0
O3	0.053671819949523074	0.05806387395992326	0.0
O4	0.5192104201803867	0.5200326970706107	0.0
