_	TF1	TF2
TF1	-0.0	-4.8377413301330796e-5
TF2	-0.00033639495518474093	-0.0
KP1	0.000168739382597254	9.138221276991506e-5
KP2	-7.683938868272641e-5	-0.00013106156505202616
KP3	0.26367695843424954	1.446053885083111e-5
O1	-0.11350782729345596	0.31399401712879715
