_	r	p	ψ
TF1	1.0	1.0	0.0009106740405881096
TF2	1.0	1.0	0.18347535884264066
KP1	1.0	1.0	1.0
KP2	0.0003327500499652889	0.0006662108769292061	0.0003953444287638836
KP3	0.08866241942308946	0.08902859649435937	0.09025212578241466
O1	0.9995216185959779	0.9982675469765685	0.0
