_	r	p	ψ
TF1	0.00041181246273319264	0.0004956787398097208	0.00025128144543707244
TF2	1.0	1.0	0.18389938712129286
KP1	1.0	1.0	1.0
KP2	1.0	1.0	0.49999999999177697
KP3	0.0886773094706467	0.08916435362917818	0.09052017789647962
O1	0.9991173979164992	0.9967261705121343	0.0
