t	r_TF1	r_TF2	r_KP1	r_KP2	r_KP3	r_O1	p_TF1	p_TF2	p_KP1	p_KP2	p_KP3	p_O1	ψ_TF1	ψ_TF2	ψ_KP1	ψ_KP2	ψ_KP3
0.0	1.0	1.0	1.0	1.0	0.04271072119851656	0.08769000611826838	1.0	1.0	1.0	1.0	0.04271072119851656	0.08769000611826837	0.04052961840382763	0.048391909217465806	1.0	0.016992056759989688	0.04271072119851656
0.13616100500694384	1.0	1.0	1.0	1.0	0.042714062642763506	0.08769002517484706	1.0	1.0	1.0	1.0	0.04271072698123323	0.08769000614866602	0.040683730104928886	0.05445331824561672	1.0	0.017045026737843104	0.042710721204336104
1.1361610050069437	1.0	1.0	1.0	1.0	0.04274104546050158	0.08769177512589593	1.0	1.0	1.0	1.0	0.0427111408481172	0.08769001943235431	0.04274881500985984	0.09711423004979843	1.0	0.017446411187798577	0.04271072465668177
2.1361610050069437	1.0	1.0	1.0	1.0	0.04277665678040765	0.08770878962256963	1.0	1.0	1.0	1.0	0.04271231870660352	0.08769022173132456	0.04633576562446087	0.136678499968021	1.0	0.017887778542726503	0.04271074517915542
3.1361610050069437	1.0	1.0	1.0	1.0	0.042829630346676986	0.08778829879973779	1.0	1.0	1.0	1.0	0.04271456023238304	0.087691521947569	0.05128017683412052	0.1733709049814679	1.0	0.018392175825934293	0.042710802088243634
4.136161005006944	1.0	1.0	1.0	1.0	0.042914451531226326	0.08803557720671684	1.0	1.0	1.0	1.0	0.04271844349981489	0.08769674653892585	0.05742548875338907	0.20739990610934492	1.0	0.018979542000680756	0.04271092367198969
5.136161005006944	1.0	1.0	1.0	1.0	0.04305517002568637	0.08862887883346529	1.0	1.0	1.0	1.0	0.04272500849553242	0.08771232803587528	0.06462378430263312	0.2389588327410738	1.0	0.019666889156269598	0.04271115496106042
6.136161005006944	1.0	1.0	1.0	1.0	0.04329046302215846	0.08981559516360202	1.0	1.0	1.0	1.0	0.04273604781748408	0.0877501084642249	0.07273630434718063	0.2682269810009691	1.0	0.020468490543742897	0.04271157048751556
7.136161005006944	1.0	1.0	1.0	1.0	0.04367971097341828	0.09188572494279881	1.0	1.0	1.0	1.0	0.04275453148380265	0.08782869971689453	0.08163372587918578	0.29537063238554984	1.0	0.02139607236580296	0.04271229458487227
8.136161005006944	1.0	1.0	1.0	1.0	0.04430916986287862	0.09512685948519789	1.0	1.0	1.0	1.0	0.04278517809804248	0.0879738573608706	0.09119624467424078	0.3205439984606843	1.0	0.022459006614541734	0.042713532187537206
9.136161005006944	1.0	1.0	1.0	1.0	0.045296418092602375	0.09977299995497112	1.0	1.0	1.0	1.0	0.04283515010093412	0.08821755921593204	0.10131349952993773	0.34389009698568634	1.0	0.02366450262084081	0.042715612952111064
10.136161005006944	1.0	1.0	1.0	1.0	0.046790391125112095	0.10596267816012825	1.0	1.0	1.0	1.0	0.04291479397600187	0.08859586552262469	0.11188437082083345	0.365541564441899	1.0	0.025017795328700087	0.04271905038338687
11.136161005006944	1.0	1.0	1.0	1.0	0.04896411696454505	0.11371742849640039	1.0	1.0	1.0	1.0	0.04303827579885254	0.08914599586987637	0.1228166818484869	0.3856214095819938	1.0	0.026522328634347718	0.04272461510272244
12.136161005006944	1.0	1.0	1.0	1.0	0.051998556983746363	0.12294260976258745	1.0	1.0	1.0	1.0	0.04322390603722267	0.08990321965177987	0.1340268274394579	0.40424371228113465	1.0	0.028179932432268573	0.042733417444198556
13.136161005006944	1.0	1.0	1.0	1.0	0.05605909060281845	0.13344486432531874	1.0	1.0	1.0	1.0	0.04349394871043063	0.09089808387038281	0.14543935052029758	0.4215142716603984	1.0	0.029990992287211825	0.0427469900092995
14.136161005006944	1.0	1.0	1.0	1.0	0.06127010862033818	0.1449578037376824	1.0	1.0	1.0	1.0	0.0438738041669086	0.09215429278428285	0.15698648401676177	0.4375312071646439	1.0	0.03195461090223284	0.042767357373284784
15.136161005006944	1.0	1.0	1.0	1.0	0.06769542952276605	0.15716919012327937	1.0	1.0	1.0	1.0	0.044390629991477644	0.09368734208398455	0.16860767240098182	0.45238551600974025	1.0	0.03406876077779895	0.04279707981857296
16.136161005006944	1.0	1.0	1.0	1.0	0.0753307247887053	0.16974610606939936	1.0	1.0	1.0	1.0	0.04507164654938314	0.09550387425749274	0.18024908454398703	0.4661615901661868	1.0	0.03633042765629706	0.04283926176204995
17.136161005006944	1.0	1.0	1.0	1.0	0.08410934229630274	0.18235707453048214	1.0	1.0	1.0	1.0	0.045942466844168334	0.09760166670212544	0.19186312720849616	0.47893769581626994	1.0	0.03873574452067416	0.04289752242032484
18.136161005006944	1.0	1.0	1.0	1.0	0.09391788717036767	0.1946910592415952	1.0	1.0	1.0	1.0	0.04702574998314943	0.09997015519207202	0.20340796651697998	0.49078641800870254	1.0	0.041280116066504544	0.04297593356164664
19.136161005006944	1.0	1.0	1.0	1.0	0.10461553316137043	0.20647314549801135	1.0	1.0	1.0	1.0	0.0483403410168982	0.10259139587889993	0.21484706302651563	0.5017750730369687	1.0	0.043958333694864724	0.04307893426068549
20.136161005006944	1.0	1.0	1.0	1.0	0.1160517893928012	0.21747625792984518	1.0	1.0	1.0	1.0	0.04990090809219379	0.10544136038149882	0.22614872460635838	0.5119660908842228	1.0	0.04676468118056331	0.04321123421242867
21.136161005006944	1.0	1.0	1.0	1.0	0.1280798330917969	0.22752813872458555	1.0	1.0	1.0	1.0	0.051717983509268525	0.1084914416967402	0.23728568011722795	0.5214173699075341	1.0	0.04969303125821075	0.04337771588000821
