/home/WIN/cdegma/PKTFX/data/dream/lambda_01/5_4
loss	sse	Lt	Lp
972.77486	971.03211	15.72368	10.14684
866.04810	864.45811	14.02418	10.55046
790.88004	788.74416	17.72120	12.38000
726.25856	723.35023	22.26362	14.64713
670.58184	666.84075	26.30353	16.84182
601.83334	596.83951	31.04036	19.74480
546.83959	540.55847	34.65428	22.26794
493.76095	485.79804	37.99613	24.98918
452.26695	443.35464	39.70732	26.34266
421.21143	412.05257	40.39336	26.74623
394.93061	385.62707	40.99635	26.98665
367.65036	358.02696	41.93206	27.40484
343.65832	333.61272	42.88847	27.93644
322.57745	312.23341	43.48391	28.37834
303.58324	293.13311	43.71839	28.66685
289.22565	278.73135	43.90786	28.84906
273.52234	262.91981	44.18189	29.09616
259.27057	248.54340	44.45217	29.35603
248.32902	237.54935	44.61071	29.52993
238.15195	227.34208	44.74766	29.66333
226.82417	215.99069	44.94553	29.78460
218.07470	207.20789	45.13793	29.88624
209.87211	198.97519	45.30814	29.98591
202.19221	191.24671	45.47344	30.10686
193.56479	182.57132	45.66262	30.23975
186.83113	175.80932	45.78910	30.34303
180.46971	169.44205	45.90117	30.44036
173.28993	162.23558	46.06464	30.56311
165.48766	154.40153	46.22598	30.70244
159.22745	148.13729	46.34768	30.79952
153.33084	142.24220	46.45783	30.88597
146.85760	135.78221	46.59306	30.97497
142.47940	131.41826	46.68909	31.02693
137.46892	126.44598	46.79127	31.06758
133.49075	122.49187	46.86600	31.11212
128.94001	117.95436	46.95950	31.17294
125.31555	114.35815	47.02604	31.20582
121.15751	110.24150	47.09774	31.24019
117.83531	106.95333	47.15716	31.26121
114.01295	103.17919	47.22010	31.27738
110.36105	99.58107	47.26718	31.28619
106.87199	96.14052	47.32220	31.30773
104.08591	93.39152	47.35982	31.33427
100.86874	90.22900	47.38403	31.35738
98.29109	87.69348	47.41253	31.37504
95.80128	85.24897	47.42346	31.39418
92.92962	82.42927	47.43030	31.42489
90.17105	79.72099	47.44054	31.45802
87.95459	77.55551	47.42631	31.47992
85.39063	75.04565	47.41572	31.50990
83.33266	73.02921	47.42255	31.53200
81.33890	71.08057	47.41069	31.55025
79.02480	68.82742	47.39066	31.56331
76.81802	66.65634	47.37613	31.58396
74.69749	64.56411	47.34906	31.60695
73.00310	62.89676	47.29438	31.62706
71.03253	60.96602	47.25105	31.63907
69.13717	59.10400	47.21790	31.65122
67.30949	57.31426	47.17200	31.65844
65.55553	55.58646	47.13654	31.67291
64.13723	54.20155	47.09830	31.67723
62.76693	52.85746	47.05540	31.68436
61.17373	51.29992	47.00606	31.68778
59.63576	49.79714	46.96104	31.68778
58.39709	48.58628	46.92498	31.69002
