		TIF2			
		WWM1			
		YGR287C			
		YHR033W			
		YJR070C			
		YJR154W			
		YNR064C			
		YPL077C			

NPR1	PBS2	PKH2	PKH3	PRR1	PRR2
AIM10	SMT3	ARA2	ARP8	CTF4	RAD23
ALF1	YCR016W	BUD4	CCT6	RPL4A	
CDC48		BUG1	CSM3	YCR016W	
CLC1		CCT6	CVT19	YGR293C	
CTF4		CLC1	DRS1		
DPS1		CRZ1	FRS1		
GAL83		CSM3	FYV11		
MAK10		CVT19	MFT1		
PIB2		DID4	OCA1		
PRS1		DRS1	PAC10		
RIB2		FRS1	PRS1		
SBP1		FYV11	RIM4		
YAR1		GCD1	RNR4		
YDL173W		GSY2	RTR1		
YLR257W		HYS2	SHP1		
YPL077C		LSP1	TCI1		
		MDM36	YGR017W		
		NNF1	YGR021W		
		PAC10	YJR097W		
		PRS1	YJR154W		
		RDS2			
		RIM4			
		RPP2B			
		RPT5			
		RSC6			
		RTR1			
		SCH9			
		SHP1			
		SHQ1			
		SRC1			
		TIF2			
		YAP3			
		YGR021W			
		YJR070C			
		YJR097W			
		YPL077C			
		YPT7			

PRS5	PSK2	PTK2	RCK1	RCK2	RIM11
BUD16	ABZ1	BNI5	EKI1	ACK1	SDS22
DUT1	ALA1	PSD2	FSF1	APN1	TDA1
EAF6	ARA2	SIP5	GRE3	AVO2	YIL082WA
ELP2	CTA1	YBR074W	GSF2	YMR178W	
RPL4A	EHT1	YKR041W	NBA1		
TIF34	GLN1		PGK1		
TRM112	GRE3		PTC1		
TRP3	MLS1		QRI1		
YKL023W	PFK2		RNA1		
YKR047W	PFS2		UBP10		
	PGM1		YJR119C		
	QRI1				
	RNR4				
	SER1				
	TIF2				
	TOM70				
	YHR214CC				
	YJR070C				
	YNR064C				
	YPL077C				

RIO1	RTK1	SAT4	SCH9	SCY1	SKM1
ALY1	ARF3	CDC11	ARF3	CCT6	BNA1
BFR1	CDC54	CDC40	CKB1	ERR2	BUD16
DIB1	GSF2	DYS1	GRX4	NOB1	DUT1
ECM31	HCA4	GRX4	PHO4	RBG2	EAF6
MAM33	HNM1	HCA4	RIM4	SEC2	EHT1
NOP53	MPC54	OSW2	RPL8A	YPR137CB	ELP2
NOP53	PFK1	PTC1	RRD1		TRM112
PAH1	PFK2	RAD2	SKY1		TRP3
PHO4	RPL1A	RPL39	UBC8		YKR047W
RKM4	SET4	SIP5	WWM1		
RMS1	SKY1	SNL1	YEL028W		
SEC27	YBL055C	SYS1	YJR097W		
SMP2	YDL183C	YDL177C	YMR196W		
TIF11	YDR132C				
VMA13	YDR203W				
	YEL028W				
	YGL034C				
	YJR129C				
	YMR196W				

SKS1	SKY1	SLT2	SMK1	SNF1	SPS1
ELP2	DBP2	RPA34	BNA1	CCT6	APN1
EMI2	LSB3	IRC5	HSV2	CNM67	ARF3
MTD1	SIP5	USE1	TRM112	DST1	CCT6
OYE3	YGR287C	YPL077C	UBA1	GND2	CDC40
TRP3	YIL082WA		YKR047W	GSF2	CKB1
UBA1	YJR119C			NSG1	CYC7
YCR016W	YMR114C			PAC1	DIB1
YKL023W	YOR309C			POT1	DOM34
	YPR174C			PTH1	DPS1
				RDS2	GUS1
				RIB2	MPC54
				RIM4	RDS2
				RPS20	RNA1
				SCP160	SDS22
				SET5	SSE1
				SIS1	UBC6
				STI1	UBP10
				STR3	YBL036C
				SWM2	YKL023W
				YBR096W	YMR196W
				YCR072C	
				YGR043C	
				YHR214CC	
				YJR111C	
				YKL091C	
				YLR003C	
				YLR132C	
				YNL284CA	
				YPR158CC	

SSK2	SSN3	STE11	STE20	STE7	SWE1
ASK1	CKB1	AIM10	CKB1	DIB1	EAF6
CLC1	YMR196W	ANB1	DRS1	PFK1	RPL4A
CTA1		GRX4	YIG1	YGR287C	TRM112
FYV11		HGH1		YIG1	TRP3
RPL8A		RDS2			YKR047W
SIP5		RIM11			
YGR287C		RPC19			
YHR182W		TIF2			
YJL019W		YIG1			
YLR287C					
YMR196W					

TOS3	TPK1	TPK2	TPK3	VHS1	YAK1
RAD23	GRX4	BCY1	BUD14	ACK1	ADK2
SIP5	GSF2	FTH1	ELP2	ACK1	AMD1
YJR154W	YIG1	PEX11	RPL4A	ARF3	CDC40
		PEX19	YJL070C	BNA1	COX15
		SIP5	YKL023W	CDC13	CPR3
		SNL1	YLR003C	DIB1	ESS1
		YNL198C		FMP46	IES5
				MPC54	LCP5
				RIM4	NOB1
				RMS1	RDS2
				SDS22	RPL23B
				SIP2	RTR1
				SKY1	SPS1
				UBP6	UBP3
				UBP7	VIP1
				YDL177C	YBL055C
				YLR003C	YKL023W
				YML045WA	YKL091C
				YPR115W	YRA1

YBR028C	YCK2	YCK3	YGK3	YPK1	YMR291W
BUD16	ACK1	EMI2	AIM10	FAS1	ARP8
EAF6	GUS1	MES1	ANB1	GRX1	IWR1
RPL4A	LPX1	SSA2	ARA2	RAD53	PRE9
TRM112	PUS4	UBA1	CPA2	SPS1	PRS1
	SOL1		CRZ1		RIM11
	SRP1		GRX4		RTR1
	VIP1		GSY2		SEC27
	YGR168C		NTF2		UBC8
	YKL091C		PRS1		VPS21
			RIM11		YPT32
			SHP1		
			YIG1		
 
YPL150W	
ADH2
BUD16
CTA1
EMI2
FRDS1
GND1
HSV2
NNT1
RIB2
YJR096W
YOR238W
