loss	sse	Lt	Lp	epoch	time
8788930869.11415	8788819805.70141	21775.01433	16846.52147	0	2020-01-29T11:21:06.471
93983621.99226	93880537.75511	21759.96033	16851.89179	1	2020-01-29T11:43:46.868
81373804.20480	81277545.50652	21749.05098	16860.60662	2	2020-01-29T12:06:25.189
69923605.49338	69833157.76643	21740.14292	16869.60787	3	2020-01-29T12:29:07.219
60189870.96384	60104447.35600	21732.53187	16878.20337	4	2020-01-29T12:52:22.416
52247227.03546	52164191.50279	21725.86817	16886.23423	5	2020-01-29T13:15:19.38
45855323.51449	45774262.11229	21719.94211	16893.64883	6	2020-01-29T13:37:55.767
40716235.62179	40637213.23895	21714.61326	16900.46113	7	2020-01-29T14:00:25.288
36562900.76406	36485816.85654	21709.78027	16906.71892	8	2020-01-29T14:22:45.787
33178964.03283	33103803.58635	21705.36613	16912.48873	9	2020-01-29T14:45:20.803
30396444.30269	30323133.52937	21701.31003	16917.79570	10	2020-01-29T15:08:25.927
28086962.78969	28015180.57957	21697.56263	16922.68313	11	2020-01-29T15:31:23.104
26152779.50037	26081768.38553	21694.08292	16927.18627	12	2020-01-29T15:54:06.792
24517950.89209	24447718.78158	21690.83627	16931.34638	13	2020-01-29T16:17:05.925
23124497.46928	23055097.47917	21687.79308	16935.20033	14	2020-01-29T16:40:10.139
21927384.51669	21858904.86468	21684.92775	16938.76476	15	2020-01-29T17:03:01.51
20891416.22836	20823886.89390	21682.21795	16942.07046	16	2020-01-29T17:25:59.499
19989147.75747	19922182.96924	21679.64408	16945.13878	17	2020-01-29T17:49:05.934
19198004.01580	19131583.93555	21677.18883	16947.99336	18	2020-01-29T18:12:00.418
18500102.97940	18434238.48723	21674.83686	16950.65501	19	2020-01-29T18:35:25.299
17881095.74950	17815680.17232	21672.57451	16953.13854	20	2020-01-29T18:58:11.031
17329060.19683	17264096.65199	21670.38958	16955.45454	21	2020-01-29T19:21:30.074
16834231.93045	16769773.24226	21668.27117	16957.61644	22	2020-01-29T19:44:31.116
16388799.37932	16324665.87047	21666.20951	16959.63644	23	2020-01-29T20:06:04.896
15985944.77732	15922070.91444	21664.19584	16961.52784	24	2020-01-29T20:27:37.302
15619966.33152	15556368.68566	21662.22228	16963.30060	25	2020-01-29T20:48:59.108
15286112.86223	15222820.28985	21660.28177	16964.96469	26	2020-01-29T21:10:01.501
14980357.28089	14917408.88886	21658.36798	16966.53449	27	2020-01-29T21:31:27.478
14699344.58538	14636712.39604	21656.47521	16968.01692	28	2020-01-29T21:52:32.258
14440283.83710	14377801.91805	21654.59836	16969.41737	29	2020-01-29T22:14:21.635
14200496.07698	14138159.48761	21652.73283	16970.74255	30	2020-01-29T22:36:18.21
13977746.89556	13915611.57742	21650.87454	16971.99924	31	2020-01-29T22:57:56.473
13770217.81065	13708274.67040	21649.01980	16973.19466	32	2020-01-29T23:19:25.782
13576237.35056	13514510.57618	21647.16531	16974.33247	33	2020-01-29T23:40:35.373
13394360.56730	13332889.64951	21645.30813	16975.41683	34	2020-01-30T00:01:50.55
13223501.49440	13162160.24194	21643.44563	16976.45399	35	2020-01-30T00:23:21.066
13062472.96949	13001223.20467	21641.57545	16977.44772	36	2020-01-30T00:44:30.842
12910235.20406	12849110.59005	21639.69550	16978.40009	37	2020-01-30T01:06:21.661
12765950.64856	12704967.74770	21637.80394	16979.31526	38	2020-01-30T01:27:55.286
12628834.53433	12568038.22469	21635.89917	16980.19736	39	2020-01-30T01:49:17.509
12498264.19432	12437650.75637	21633.97974	16981.05216	40	2020-01-30T02:10:36.751
12373748.95690	12313208.60043	21632.04443	16981.87922	41	2020-01-30T02:31:48.519
12254648.13920	12194180.03043	21630.09217	16982.67899	42	2020-01-30T02:53:13.378
12140442.10849	12080090.40452	21628.12199	16983.45451	43	2020-01-30T03:14:21.052
12030753.84922	11970515.27725	21626.13307	16984.20818	44	2020-01-30T03:35:34.756
11925176.55433	11865074.42191	21624.12472	16984.94069	45	2020-01-30T03:56:31.205
