	r	p	ψ
T1	1.0	1.0	0.7410368558961983
T2	1.0	1.0	0.3397176650862276
T3	1.0	1.0	0.7384067150062152
T4	1.0	1.0	0.3009278964109909
P1	1.0	1.0	1.0
P2	1.0	1.0	1.0
P3	1.0	1.0	1.0
P4	1.0	1.0	1.0
O1	0.47802127154749813	0.47803517343005686	0.0
O2	0.4023180989892301	0.40611786915859843	0.0
O3	0.039433663150255184	0.03945804791819977	0.0
O4	0.3559758461513516	0.36050801618151856	0.0
