	r	p	ψ
T1	1.0	1.0	0.7410368558961983
T2	0.0002457615542238842	0.0006426668086641619	0.0002817901807317398
T3	1.0	1.0	0.7384067150062151
T4	1.0	1.0	0.3009278964109909
P1	1.0	1.0	1.0
P2	1.0	1.0	1.0
P3	1.0	1.0	1.0
P4	1.0	1.0	1.0
O1	0.02774025487367514	0.028630645386461668	0.0
O2	0.40231809905197324	0.4061178697435807	0.0
O3	0.039433663151337776	0.039458047924337165	0.0
O4	0.3559758464500856	0.3605080170328754	0.0
