	T1	T2	T3	T4
T1	0.0	3.534489085570842e-8	-2.7197291914213384e-7	-2.508503191951617e-7
T2	-3.584544507592679e-6	-0.0	2.7192874787599767e-6	3.7415970798609294e-6
T3	-8.731670113912315e-10	-2.7160417910985798e-9	0.0	1.833480505595201e-9
T4	-5.773917564294524e-217	5.45737109618776e-217	-1.4107810766520512e-215	0.0
P1	4.403462897392249e-11	9.674377512061095e-12	-9.097261171954729e-12	-1.1563551965829891e-11
P2	-4.870702754492661e-10	1.1572023640735845e-10	-8.457015908477494e-11	8.655491304254842e-10
P3	7.367745480778523e-12	1.967028595258434e-11	-7.893918396815941e-12	-1.5680107325620066e-11
P4	3.078116693385565e-8	-9.260530644942862e-10	-3.859664696366684e-8	-1.7942942828506903e-8
O1	0.0004298093441517426	0.3414449543594956	-0.00019335410647443435	0.0004316611577494746
O2	-0.11490326288156098	2.0439699331174274e-5	0.00038339565274882827	-0.000596826482620373
O3	-0.024518319942568246	-0.0021930598534674207	0.011162869393652916	-0.01805831418781858
O4	0.0010437414769526973	0.0008213610183907755	-0.14118797105863506	0.0011026213599939403
