	T1	T2	T3	T4	P1	P2	P3	P4
T1	-7.954121975996555	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T2	0.0	-8.302765574770596	0.0	0.0	0.0	0.0	0.0	0.0
T3	0.0	0.0	-7.303249335891598	0.0	0.0	0.0	0.0	0.0
T4	0.0	0.0	0.0	-6.405551969981481	0.0	0.0	0.0	0.0
P1	0.0	0.0	0.0	0.0	-7.715394588961264	0.0	0.0	0.0
P2	0.0	0.0	0.0	0.0	0.0	-8.409442429795561	0.0	0.0
P3	0.0	0.0	0.0	0.0	0.0	0.0	-7.673709234778311	0.0
P4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-7.936151903806174
O1	-1.1717307253089453e-5	-2.8346199639162752	-1.1717455104887403e-5	-1.1717265629674416e-5	-1.171744623765425e-5	0.6800308593967304	-1.1717459760218117e-5	-1.1717460199205444e-5
O2	0.9099047794724967	-0.0009251412040395542	-0.0009268140930174914	-0.0009265529903261852	0.9098310031233172	-0.0009260333485021728	-0.0009268290012113859	-0.000926830975921395
O3	-0.00012515138417548276	-0.0001251201627565689	-0.00012515387257740473	-0.058387756729604515	-0.00012515371147631718	-0.0001251412228790922	2.65545688914036	-0.00012515397008373114
O4	-0.006650602323638567	-0.0066051579674131534	1.0303010330301687	-0.00664869971957307	-0.006660374579446358	-0.006630450166002521	-0.0066631732635590735	1.0300043196394022
