	T1	T2	T3	T4
T1	0.0	-2.8848046467587713e-8	-3.201287834500379e-8	-4.8680311039640666e-5
T2	1.2034787872614157e-7	0.0	-1.568798432177085e-5	-9.261148529247442e-7
T3	-7.255562547122216e-8	2.6503113279506022e-5	0.0	1.3058447222552736e-8
T4	1.1575841519696899e-8	-1.845496398975452e-8	1.243426317156082e-8	-0.0
P1	6.888023609743972e-8	8.927017281132121e-9	-1.4610695292737043e-8	-3.3669279332778494e-8
P2	2.1483332237701315e-8	2.173206460890253e-8	-9.322471908995808e-8	-4.895856864695842e-8
P3	-2.902370065774417e-8	-1.3492835345911999e-5	-7.768238656094425e-8	2.3660459851542166e-8
P4	-6.434733489525334e-7	-3.444484235625401e-8	1.9714221763345708e-7	1.1024543637998778e-8
O1	4.190085604750018e-5	0.21392177092223796	4.557529866292684e-5	3.8890444255999794e-5
O2	-0.04217609663201434	0.0002574863579022393	0.0002811368835344352	0.00023979609289688478
O3	-7.722642823283825e-5	-9.591177500580078e-5	-0.00010353942860595109	0.23678062857822968
O4	0.0001687767687827585	0.0001718695416972011	-0.07266276564679974	0.00015808860470646873
