folder	X	J	epochs	lambda	lambdaW	lambdaWT	trainWT	quadquad	WT_reg	WT_mask	WP_mask	WT	WP	PKPP	score	GO_score
29	~/cwd/data/perturbation/logFC_outer.mat	~/cwd/data/perturbation/J_outer.mat	50	0.1	0	false	false	true				~/cwd/data/network/WT.mat	~/cwd/data/network/KP_priors/WP_noise.mat		3461.1529198827	98.0082196021626
30	~/cwd/data/perturbation/logFC_outer.mat	~/cwd/data/perturbation/J_outer.mat	50	0.1	0	false	true	true		~/cwd/data/network/WT_mask.mat		~/cwd/data/network/WT.mat	~/cwd/data/network/KP_priors/WP_noise.mat		3456.17475888992	98.2753327081652
31	~/cwd/data/perturbation/logFC_outer.mat	~/cwd/data/perturbation/J_outer.mat	50	0.1	0	true	true	true	~/cwd/data/network/WT_p.mat			~/cwd/data/network/WT.mat	~/cwd/data/network/KP_priors/WP_noise.mat		3458.01216499345	97.590275053373
32	~/cwd/data/perturbation/logFC_outer.mat	~/cwd/data/perturbation/J_outer.mat	50	0.1	0	true	true	true	~/cwd/data/network/WT_p.mat	~/cwd/data/network/WT_mask.mat		~/cwd/data/network/WT.mat	~/cwd/data/network/KP_priors/WP_noise.mat		3456.6282913833	98.0082196021626
33	~/cwd/data/perturbation/logFC_inner.mat	~/cwd/data/perturbation/J_inner.mat	50	0.1	0.1	false	false	false			~/cwd/data/network/KP_mask.mat	~/cwd/data/network/WT.mat	~/cwd/data/network/KP_priors/WP_noise.mat			
34	~/cwd/data/perturbation/logFC_inner.mat	~/cwd/data/perturbation/J_inner.mat	50	0.1	1	false	false	false			~/cwd/data/network/KP_mask.mat	~/cwd/data/network/WT.mat	~/cwd/data/network/KP_priors/WP_noise.mat		6088.95051829913	121.515688897688
35	~/cwd/data/perturbation/logFC_inner.mat	~/cwd/data/perturbation/J_inner.mat	50	1	0	false	false	false			~/cwd/data/network/KP_mask.mat	~/cwd/data/network/WT.mat	~/cwd/data/network/KP_priors/WP_noise.mat		6081.84873650148	122.313174828298
36	~/cwd/data/perturbation/logFC_inner.mat	~/cwd/data/perturbation/J_inner.mat	50	1	0.1	false	false	false			~/cwd/data/network/KP_mask.mat	~/cwd/data/network/WT.mat	~/cwd/data/network/KP_priors/WP_noise.mat		6090.2355244797	121.151048659669
37	~/cwd/data/perturbation/logFC_inner.mat	~/cwd/data/perturbation/J_inner.mat	50	1	1	false	false	false			~/cwd/data/network/KP_mask.mat	~/cwd/data/network/WT.mat	~/cwd/data/network/KP_priors/WP_noise.mat		6090.2355244797	121.151048659669
38	~/cwd/data/perturbation/logFC_inner.mat	~/cwd/data/perturbation/J_inner.mat	50	0	0.1	false	false	false			~/cwd/data/network/KP_mask.mat	~/cwd/data/network/WT.mat	~/cwd/data/network/KP_priors/WP_noise.mat		6091.15022484747	121.515688897688
39	~/cwd/data/perturbation/logFC_inner.mat	~/cwd/data/perturbation/J_inner.mat	50	0	1	false	false	false			~/cwd/data/network/KP_mask.mat	~/cwd/data/network/WT.mat	~/cwd/data/network/KP_priors/WP_noise.mat		6092.0763279121	121.515688897688
40	~/cwd/data/perturbation/logFC_inner.mat	~/cwd/data/perturbation/J_inner.mat	50	0.1	0	false	false	false			~/cwd/data/network/KP_mask.mat	~/cwd/data/network/WT_FDR20.mat	~/cwd/data/network/KP_priors/WP_noise.mat		6152.39238176535	121.064484860567
41	~/cwd/data/perturbation/logFC_inner.mat	~/cwd/data/perturbation/J_inner.mat	50	0.1	0	false	false	false			~/cwd/data/network/KP_mask.mat	~/cwd/data/network/WT.mat			4744.10515145518	95.0132507701142
42	~/cwd/data/perturbation/logFC_inner.mat	~/cwd/data/perturbation/J_inner.mat	50	0.1	0	false	false	true			~/cwd/data/network/KP_mask.mat	~/cwd/data/network/WT.mat				
43	~/cwd/data/perturbation/logFC_inner.mat	~/cwd/data/perturbation/J_inner.mat	50	0.1	0	true	true	false		~/cwd/data/network/WT_mask.mat	~/cwd/data/network/KP_mask.mat	~/cwd/data/network/WT.mat				
44	~/cwd/data/perturbation/logFC_inner.mat	~/cwd/data/perturbation/J_inner.mat	50	0.1	0	false	true	false		~/cwd/data/network/WT_mask.mat	~/cwd/data/network/KP_mask.mat	~/cwd/data/network/WT.mat				
45	~/cwd/data/perturbation/logFC_inner_raw.mat	~/cwd/data/perturbation/J_inner.mat	50	0.1	0	false	false	false			~/cwd/data/network/KP_mask.mat	~/cwd/data/network/WT.mat	~/cwd/data/network/KP_priors/WP_noise.mat		6087.2490496115	121.955421967858
