	T1	T2	T3	T4
T1	-0.0	6.710912247703754e-5	4.982321176081714e-5	-4.222027995996244e-5
T2	-4.876024930327698e-5	-0.0	0.0001310653307092616	-3.3059848548245473e-6
T3	6.252060138760877e-5	-0.00019717182279112088	0.0	-6.330032001566262e-5
T4	-4.64563667071176e-5	9.008968993174952e-5	0.00013064632161092864	0.0
P1	9.204678701528169e-5	-5.6283068684973266e-5	-4.984699191981783e-5	6.414218731240869e-5
P2	3.39306836930963e-5	9.140241557059395e-5	0.0001972555834140632	4.749982567828506e-5
P3	-5.6039719227755406e-5	-0.00013078860450771055	-8.97645511078309e-5	5.667209578478456e-5
P4	-0.00020671008571018063	-9.069477466461695e-5	-8.842515399742932e-5	-3.274856100291728e-5
O1	0.00011589513552413862	0.9994194049960469	-0.0002239612038212875	-7.409760732311616e-5
O2	-0.8617601701429544	0.0001972636960136574	9.859835433239122e-5	-0.33133129299036523
O3	-4.106702599180742e-5	0.00021920415897679107	0.9994708237560632	-3.7379331421354826e-5
O4	-0.3539036545749506	6.689181995983887e-5	-0.00011810528539642555	-0.10862096461769673
