	T1	T2	T3	T4	P1	P2	P3	P4
T1	-7.999500459644408	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T2	0.0	-7.891581728119309	0.0	0.0	0.0	0.0	0.0	0.0
T3	0.0	0.0	-6.669922933072521	0.0	0.0	0.0	0.0	0.0
T4	0.0	0.0	0.0	-7.7793908075353615	0.0	0.0	0.0	0.0
P1	0.0	0.0	0.0	0.0	-8.340005579619602	0.0	0.0	0.0
P2	0.0	0.0	0.0	0.0	0.0	-7.869198790198156	0.0	0.0
P3	0.0	0.0	0.0	0.0	0.0	0.0	-7.53711804453211	0.0
P4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-7.2205084926382055
O1	1.302968363210543e-5	-2.349497124741562	1.3029379088353141e-5	1.3030188769450167e-5	1.3030067413440817e-5	0.010858367335297417	1.3030180169996715e-5	1.303019233210943e-5
O2	0.6302929510729282	-0.0008293335044877643	-0.0008281817079846652	-0.0008293423263835722	0.6302319983981652	-0.0008290189745047017	-0.000829310190188104	-0.0008293580448752337
O3	0.00020768519929283057	0.000207740344891453	-3.9206678142039406	0.00020774075840047758	0.00020772395904105443	0.00020772193561298836	0.00020773920716188554	-3.9675134540654677
O4	-0.0002533402586334495	-0.00025340080487654	-0.0002533108818774176	1.4353559618408724	-0.0002533830309271987	-0.000253380815527837	-1.0538644141639126	-0.00025340199985189317
