	P1	P2	P3	P4
T1	0.9614600246451189	4.01309805095284e-5	0.5312594819036338	-0.2592901765255872
T2	7.486318762810228e-5	-0.0033017903637559925	-0.0004557945403091883	0.0030413188181434895
T3	-3.3770438856998244e-5	-2.183218484341725e-5	-1.7731663440368974e-5	0.9346923090269915
T4	-8.731649631693608e-6	6.599612345169605e-7	-0.7569381496849769	-0.4253115252380225
P1	0.0	0.003322637503846886	-0.5573448325833935	0.2467569605182151
P2	0.10248598169136933	-0.0	-0.21060194943516822	1.0054155952093549
P3	-0.0001293892145181931	-9.15787308559265e-6	-0.0	-0.5620929432801072
P4	5.561428450439564e-5	-6.885105109895517e-5	5.95697578273935e-5	-0.0
