	T1	T2	T3	T4
T1	0.0	-0.00019936436178580156	8.59743185743323e-5	0.00020298399673642783
T2	-4.218638857604693e-5	-0.0	-3.965675466664864e-5	5.015536131913862e-5
T3	0.00016529050506137896	5.215634318105151e-5	0.0	7.035854203153201e-5
T4	-9.326158976954624e-5	5.624628040562996e-5	0.00021619883729891037	-0.0
P1	6.463635635875264e-5	5.937305069411273e-5	-0.00011366282737865277	-0.00013431826964091888
P2	5.3206187965951904e-5	6.117684926226392e-5	6.903892579990703e-5	0.00014128948967022053
P3	-9.762530703085982e-5	-0.00012331894238181042	0.00017445282574665304	7.536385308581379e-5
P4	5.4897942491630164e-5	-0.00011480073420901439	-5.510343625056003e-5	-7.054274037827528e-5
O1	-6.321096787733711e-5	0.14502899058665303	6.311817484962493e-5	0.00012915095249342668
O2	-0.09008500833148082	-1.5440159392616952e-5	-0.00012394440535971258	0.0001103014322191251
O3	6.019581217699509e-6	-0.0001367176984722289	0.6779129752366991	-0.00012908644537165212
O4	0.0001667251540898603	0.00012586496589896498	7.713628671981286e-6	-0.03810262141097088
