	P1	P2	P3	P4
T1	0.9591536504189345	-5.323128679914062e-5	-9.694949939124164e-5	0.00021339467205641637
T2	0.00021904117185147284	-0.0006493620752727365	7.036324888069274e-5	0.00012957449359692015
T3	-0.0001658968466575092	0.0001342665174204713	-0.00021534945008690686	0.9348751684810644
T4	0.0001460873255130539	-1.720766372860938e-5	-0.7563778648423639	0.00016659904268945746
P1	-0.0	0.00010666173382129244	-0.0001422197495663322	-0.00021264444842016475
P2	0.0001217093496040648	-0.0	-3.885448158015785e-5	-0.46960531096160657
P3	0.00018601850147591603	7.552812833754733e-5	0.0	-9.697252236001789e-5
P4	-0.00014994549107528958	9.208970946109947e-5	-0.00030462780473173407	0.0
