	T1	T2	T3	T4
T1	0.0	0.0003344196562831997	0.00013223761108388838	5.5274484693316346e-5
T2	-5.1977832574418595e-5	-0.0	-0.00013081861986969373	0.00025183726154130715
T3	-2.7990725607007267e-5	-0.00021874137181322298	-0.0	0.00011939525409435164
T4	5.5268992725219716e-5	-1.1146065393350604e-5	-5.527591898385235e-5	0.0
P1	0.0001306443702183783	0.000249481878402473	-0.00019669146349933524	0.00013181739257973955
P2	-6.712671659378847e-5	0.0003164653714201847	-0.00019669662631488727	6.719479792967972e-5
P3	0.0001966081930068031	-0.00019644908423134208	-0.0003185741506204988	7.511823274529921e-5
P4	5.1990174332076656e-5	-0.00013164148363895348	-7.588770529130308e-5	-0.00016717787946317277
O1	9.456769349771962e-5	0.223782900517191	0.0003364704701121513	-5.523003333052536e-5
O2	-0.17868794405255098	0.0001747324127400811	-2.4701934993403115e-5	9.794875690733721e-5
O3	3.166093093878577e-5	-5.2973360809149454e-5	0.5198940393952328	-0.00017405812876747348
O4	-0.00017080976134179916	-8.744860881813173e-5	0.0001587545674544105	-0.11335097197151285
