	P1	P2	P3	P4
T1	0.8522285394187902	-0.0002125897380159469	-5.3592232617937524e-5	0.6338910108765793
T2	0.00013574144042095582	-0.664049720841351	5.21158240674657e-5	-0.177288429445656
T3	-1.9818011792208464e-6	-0.00010634034773657782	-2.103115987646669e-5	0.953515842651592
T4	-4.9492732073850765e-6	1.0047672470352563e-5	-2.034994178654918	-0.9326730391694705
P1	0.0	-4.541673277307505e-5	-0.00019677509862313556	-0.7518720983174474
P2	3.104865440715506e-5	-0.0	0.00013804110194909423	-0.2699243889666645
P3	-5.468206712252823e-5	6.61486366376203e-5	-0.0	-0.46098787064878777
P4	-5.60496970528437e-5	6.483941540506485e-5	-2.440610093594337e-5	-0.0
