	P1	P2	P3	P4
T1	0.9199389983985272	6.483394384146468e-5	3.5455103527088884e-5	1.1381869145387668e-5
T2	3.114077674013504e-5	-0.056204385865506995	-0.17669577630649458	7.220878087900571e-6
T3	-0.0001859801882737935	3.651442335773904e-5	-4.687420103800174e-5	1.0493586096999372
T4	-5.349010423299787e-5	0.07288485415355947	-0.5540203997150968	-0.00010352804158210819
P1	0.0	8.335277893380728e-5	-0.00016907185883456837	-2.6281105392731625e-5
P2	6.380498544769083e-6	0.0	-3.1441034389853693	9.800925212538535e-6
P3	3.491714537179547e-5	-0.24339370828977674	0.0	-7.764936668653866e-5
P4	-5.924279689745802e-5	-2.417115531127981e-5	-7.102455565475516e-5	-0.0
