	P1	P2	P3	P4
T1	0.8668791855619267	-9.82637141533372e-6	-2.530632974823811e-5	0.3426922091163023
T2	0.00012956919032511939	-0.6305463345590385	1.1499904253116104e-5	-1.2017417140707701e-5
T3	5.949015257592885e-6	0.000218342159173793	-4.554115967978326e-5	0.9541610303698954
T4	-1.9579807853774223e-5	-1.123479700080839e-5	-1.3703380993277638	1.927845034737746e-5
P1	-0.0	0.000157435815878257	0.00022824310985426074	-0.11126511461343341
P2	-6.532836952698523e-5	0.0	6.667983458768785e-5	1.6402697788904027e-5
P3	0.00014413644712628178	0.00011120746697384685	-0.0	-1.2224773095793881e-5
P4	0.00025299223209472	-0.00031854243742950516	-7.87110955853154e-5	0.0
