	T1	T2	T3	T4
T1	-0.0	1.050859544730336e-5	-0.0001180820212796776	-3.303417427512574e-5
T2	-5.432900740901511e-5	-0.0	-6.511983864607581e-5	-0.0001960385341511846
T3	9.440647091860278e-5	-4.032707534191646e-5	-0.0	-9.509621738903033e-5
T4	4.82413368090094e-5	-5.214795430292147e-5	5.762713967688004e-5	-0.0
P1	-0.00016968461835772315	-3.873072068416541e-5	0.00013855980971782652	-1.3618743249205123e-5
P2	2.6069781927191673e-5	-5.4128131112253535e-5	-1.5774662747101233e-5	0.0001299989392432821
P3	-3.9804746077031956e-5	-2.294708532501727e-5	-7.082285620601198e-5	-4.919517906624002e-5
P4	-7.093797142972987e-5	-2.1479839366056226e-5	9.762910824340677e-5	-2.3848637614691785e-5
O1	3.974228855297619e-5	0.2968389438360849	6.118905156832341e-5	-0.00022133187302138813
O2	-0.08515744586871928	4.9825517854983225e-6	1.788721059165715e-5	-0.00010054028018350656
O3	0.00010280956613979728	-1.397133556547507e-5	0.5883554636682125	5.020612134790399e-5
O4	-3.75536673587195e-7	-1.1045267383298892e-6	-3.510892677314895e-5	-0.1867962166982102
