	P1	P2	P3	P4
T1	1.044430570971073	3.12154013436838e-5	2.599997637950594e-5	1.4601912755171034e-5
T2	3.925877136856844e-5	-0.011895342444674377	-3.7596280500307755e-6	1.6964513223231304e-5
T3	8.664832142665366e-6	-5.608407896499827e-5	-0.00029946278974124393	0.7642062406089296
T4	1.8795292839620715e-5	6.815670952636548e-5	-0.8607799234132075	-0.07068275025253751
P1	0.0	9.638601219658116e-5	0.00011466153843503148	0.00012299068139795297
P2	0.00018387684681672235	0.0	-0.00013196013557221858	0.0007395059696330732
P3	0.0001511122975473491	4.915574159698337e-5	0.0	-0.07112935184539955
P4	-3.731867290252966e-5	-0.0002855484546666706	6.6511756013382675e-6	-0.0
