	T1	T2	T3	T4
T1	0.0	-0.0002718607923541273	-6.850610767658864e-5	-3.0272540653427932e-5
T2	-1.4103405814551373e-5	-0.0	0.00015806038336105448	1.3674338429585005e-5
T3	-4.996702028019025e-5	8.817469332889422e-6	-0.0	-2.6218402106704825e-6
T4	-4.007349405237297e-6	-7.129446688096942e-5	-1.4447166232409134e-5	-0.0
P1	-0.0001833596188026386	-2.7536036680910966e-5	0.00020418693292029736	4.037820389422857e-5
P2	5.091430446158879e-5	5.1348046638795883e-5	-1.6762696743156703e-5	-2.132591009605233e-5
P3	-2.1696994523084257e-5	2.37312285053805e-5	-9.383489884328705e-6	-1.914375361090799e-5
P4	0.0001437630382571686	-1.7523963068810265e-5	1.803548824920239e-5	0.00018191629879637296
O1	-1.6129628380896668e-5	0.44352809082608435	-5.212380392377972e-5	-9.53040617794e-5
O2	-0.17917951845147861	0.0001543940106817603	-4.2356458799502187e-5	3.912680752080485e-5
O3	5.677013488825334e-5	-2.610492320553789e-6	0.25490695332908	4.03702047901812e-6
O4	0.0001297554535342386	-9.079795893370229e-5	6.289549948012215e-5	-0.07042172434114485
