	T1	T2	T3	T4
T1	-0.0	-1.4896144236263137e-5	-1.1528780464941187e-5	2.509585430502128e-5
T2	-2.7173769820988957e-5	0.0	-1.1804606178772687e-5	-0.0001657251833756012
T3	0.00015121898801848428	0.00013470014562799623	-0.0	-0.00010695094376489567
T4	-0.00012086943424045758	3.7759272357068595e-5	8.06665798303698e-6	-0.0
P1	-0.0001583970204307817	-5.567549030664139e-5	2.2969101497014342e-5	2.0387425698856797e-5
P2	-6.23995016132631e-6	3.31742760679862e-5	5.4428784942464395e-5	-4.758588852042832e-5
P3	1.5730265600987103e-5	-1.741483502490522e-5	7.883138180475494e-6	-1.7518673455253827e-5
P4	4.007877174436079e-6	-2.7731439178039644e-5	-8.322332181885613e-6	5.600447874911436e-5
O1	1.1245332176997475e-5	0.7043947951085862	5.376389656380987e-5	-3.5431206105677786e-5
O2	-0.051075048883289446	-9.132037930983715e-6	1.235560105251109e-5	-3.003357954512623e-5
O3	-0.00011071907028204506	-7.279627674000206e-6	0.17364509095597291	0.00011442442531699014
O4	-1.71319589405635e-5	0.00010417301916996952	0.00010147268668565595	-0.028255490410950313
