	T1	T2	T3	T4	P1	P2	P3	P4
T1	-8.095001860009317	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T2	0.0	-7.7652461591582425	0.0	0.0	0.0	0.0	0.0	0.0
T3	0.0	0.0	-5.934874412035815	0.0	0.0	0.0	0.0	0.0
T4	0.0	0.0	0.0	-7.575047872124808	0.0	0.0	0.0	0.0
P1	0.0	0.0	0.0	0.0	-7.7128234092308015	0.0	0.0	0.0
P2	0.0	0.0	0.0	0.0	0.0	-7.879177593710414	0.0	0.0
P3	0.0	0.0	0.0	0.0	0.0	0.0	-8.131846260782229	0.0
P4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-7.767507565396855
O1	2.5288437638703078e-5	-3.4504922985563256	2.5288198839322106e-5	2.528836414779414e-5	2.5288526707423454e-5	0.043068206082808945	2.528851921982464e-5	2.528853932323478e-5
O2	1.401658352191338	-0.0001468149298336473	-0.0001468137114394763	-0.0001468145338090275	1.4016431281308812	-0.00014681440899131073	-0.0001468152937170331	-0.000146815389696137
O3	0.0011085159679044903	0.001108523257184191	-1.4982209135015925	0.0011084443212721078	0.0011086291589114943	0.001108421799337668	0.001108616901186046	-1.5027714490032922
O4	-3.034121792229403e-5	-3.0341244737214106e-5	-3.034035018528552e-5	0.4773338511202227	-3.0341589405862556e-5	-3.0340846742935978e-5	-0.4578437515730079	-3.0341651027885667e-5
