	T1	T2	T3	T4	P1	P2	P3	P4
T1	-6.64246890543892	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T2	0.0	-8.088231729667754	0.0	0.0	0.0	0.0	0.0	0.0
T3	0.0	0.0	-7.976354760142767	0.0	0.0	0.0	0.0	0.0
T4	0.0	0.0	0.0	-7.314010655502557	0.0	0.0	0.0	0.0
P1	0.0	0.0	0.0	0.0	-7.574897775808662	0.0	0.0	0.0
P2	0.0	0.0	0.0	0.0	0.0	-7.5599192898864285	0.0	0.0
P3	0.0	0.0	0.0	0.0	0.0	0.0	-8.381212879770043	0.0
P4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-8.192418399116525
O1	-9.2046813867939e-7	-1.1797441891214824	-9.204688765342913e-7	-9.204671936566816e-7	-9.204687735054999e-7	0.7387268316896771	-9.204688785326947e-7	-9.204689294919784e-7
O2	0.5999574310758738	-0.0038370196897365687	-0.003845224384619971	-0.0038373857565631724	0.5999399799830112	-0.0038453055652645325	-0.003845264119891804	-0.003846402927269713
O3	0.0005661937827330083	0.0005661121582942233	-5.41334903105848	0.0005661215209931607	0.0005662670221966102	0.000566288466791735	0.0005662878383513658	-5.303584380420775
O4	2.6927522419511295e-5	2.6924554101465545e-5	2.693081466725611e-5	0.2471987196497801	2.693011919187909e-5	2.6930856629447723e-5	-0.6993160311105552	2.69313591033004e-5
