	T1	T2	T3	T4	P1	P2	P3	P4
T1	-8.053407445241128	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T2	0.0	-7.404929939431592	0.0	0.0	0.0	0.0	0.0	0.0
T3	0.0	0.0	-7.767452344056809	0.0	0.0	0.0	0.0	0.0
T4	0.0	0.0	0.0	-8.35956927783249	0.0	0.0	0.0	0.0
P1	0.0	0.0	0.0	0.0	-7.7085147153214635	0.0	0.0	0.0
P2	0.0	0.0	0.0	0.0	0.0	-7.556293311237563	0.0	0.0
P3	0.0	0.0	0.0	0.0	0.0	0.0	-7.3557574610282135	0.0
P4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-7.35717741793158
O1	7.955981379483545e-6	-1.7019404842836003	7.956001746140848e-6	7.955974791916615e-6	7.956001690630139e-6	0.42726350642336647	7.955995666163848e-6	7.956003376823453e-6
O2	1.272652207492498	-0.0003322441986397417	-0.00033225179026674764	-0.0003322485377579318	1.2719735124712221	-0.0003322512619910262	-0.0003322509874633557	-0.00033225204338720307
O3	0.0012973259076048819	0.001297006290528942	-3.9787674415883276	0.0012972722757522077	0.0012975580201647547	0.0012974956428953455	0.0012974679062871307	-3.9775504117132052
O4	-0.0014388513945956009	-0.0014385094177479518	-0.0014390995791797704	0.8842706163021814	-0.001439098379891291	-0.0014390322264994004	-0.7958187831305196	-0.0014391497887657923
