	P1	P2	P3	P4
T1	0.9907006343693612	-8.809272383003699e-5	-8.130660315110627e-5	5.7880053508106666e-5
T2	-0.00020357130203407035	-0.992371073997072	4.4240601676095126e-5	-4.40347202951825e-5
T3	9.86102021217402e-5	-9.179351412498406e-5	-0.00012752529196965876	0.9912355149211101
T4	-1.7839241290062735e-5	0.00011278396961124098	-0.9910803069181554	0.0002751911352259915
P1	-0.0	0.00011578834511984185	-0.00013133642927610632	3.884503703028804e-5
P2	0.00010549608250476935	0.0	3.56076116898308e-5	8.406838531283033e-5
P3	6.991158892162436e-5	-1.0666744023434926e-7	-0.0	-5.848905902702006e-5
P4	0.00017994062069870786	0.00013526000969867123	0.00036274530313044147	0.0
