	T1	T2	T3	T4
T1	-0.0	-6.717889271165862e-5	0.00025414650369524547	0.00043378995069783016
T2	0.00021936544720809674	-0.0	-0.00021955836572356402	8.955478854040458e-5
T3	-8.975075529949375e-5	0.00019670804860642398	0.0	-0.00021944625748252953
T4	2.7610195969492995e-5	7.558566093004381e-5	8.952557882882833e-5	0.0
P1	0.00020486037442944737	-5.5324056476360515e-5	-0.00013220036419175254	-5.0726640741531164e-5
P2	0.00012989440319474224	-0.00033458155291389634	8.949332384881447e-5	0.000129786244343064
P3	0.0002492914996429859	1.0502423479370611e-5	7.54299152232692e-5	0.0001843843164763162
P4	7.553997545751452e-5	6.450959711954535e-5	-0.0002190800166562433	7.116870165332063e-5
O1	-4.439052322959156e-5	0.9950033498778882	-7.648938046337046e-5	-0.00023771571286871715
O2	-0.995003973498685	7.058989919173179e-5	0.00032248643516937176	0.0003201147629043462
O3	6.535387260071216e-5	-8.87115422344015e-5	0.995007140442421	-9.421260454443525e-5
O4	5.254918607223923e-5	7.065610803523042e-5	6.749439959506968e-5	-0.9950081985307315
