	T1	T2	T3	T4
T1	-0.0	-7.545609660990452e-6	3.444101443233847e-5	-5.3866925799543916e-5
T2	-7.492111368671889e-5	0.0	4.171226365618353e-5	4.749827626671097e-5
T3	-8.596447966197944e-5	-0.0001743138805982484	-0.0	2.8847287537323877e-5
T4	-3.285141159206733e-5	0.000177776749399155	-4.901691933904384e-5	0.0
P1	-8.732652747387058e-5	5.574585451058949e-5	2.1559637708457663e-5	-0.00012912856824817668
P2	-2.4720400148442407e-5	2.4591902530812278e-5	3.808589968202289e-5	-2.738805900445516e-5
P3	6.616292407340442e-5	0.00011987524125826654	5.964820848241846e-5	5.7763827072233165e-5
P4	-4.039070598964345e-5	-0.00012711797813711796	0.00019178940090939847	0.00010853781625074413
O1	-7.957345691981632e-5	0.14821066157636253	-2.6485976100368005e-5	-0.00011002328436800106
O2	-0.09744950796638444	0.00010812279242071465	6.552995633512138e-5	0.00017526302952217783
O3	-1.7775127213270603e-5	-0.0001380265065973162	0.678911903964145	6.818830974060857e-6
O4	-9.609273932630355e-5	2.1615797798873055e-5	5.784211688244931e-5	-0.05464329875139765
