	T1	T2	T3	T4
T1	-0.0	-1.2539766841328477e-6	1.384061340229261e-6	9.157359753825945e-7
T2	-1.2411491021485195e-6	0.0	2.406154580145296e-7	7.530351011740454e-7
T3	-2.9092952828182423e-7	-2.1440714843849676e-8	0.0	1.5145520010306118e-7
T4	-3.169512070431011e-11	1.6209292727091745e-11	-3.337161466974268e-11	-0.0
P1	-3.7845602950472062e-6	1.473081911659424e-7	-3.291892042241468e-7	1.8354975566414562e-6
P2	-5.8120239598789e-6	-8.762412635025256e-6	-4.1555132556307005e-6	2.394548370475276e-6
P3	1.3340538390005081e-5	3.220508171270505e-6	-1.143764640612942e-5	-1.1835608089862189e-5
P4	-2.266521297914154e-6	1.5592133927806657e-7	-2.486690958317309e-6	-2.1814363185036243e-7
O1	-0.06435561721031025	0.9767467860222401	0.07006067816387862	-0.09942757632870032
O2	-0.8307461904904877	0.0609115304069636	-0.16806498259099092	0.34801983806107833
O3	0.16163746742157883	0.0572613399727161	0.8416801746596332	0.3608251232431332
O4	0.37035692650207774	0.13123067814853473	-0.3772180963142404	-0.359726152521018
