	P1	P2	P3	P4
T1	0.6567328493123249	0.00012642171671955194	4.626840506476436e-5	6.374119907122047e-5
T2	-0.0002590232279609094	-0.07342280882007171	6.721171633041328e-5	0.00020048717099836242
T3	0.00022213983085092544	-8.510482000598619e-7	-5.278573731286031e-6	1.0052954567382297
T4	-0.00019782899024295636	-7.965932084274768e-5	-0.2211157837327948	0.00010513084169261845
P1	0.0	0.00027964499260515997	-2.23380862644196e-5	-9.791603152785174e-5
P2	6.781922879837277e-5	0.0	-2.0579567773101796e-5	9.293221272097283e-5
P3	-0.00014853486067846895	2.053326052689765e-5	0.0	6.795006458410889e-5
P4	-4.6100680802016686e-5	0.0003211021938975629	3.426877982762526e-5	0.0
