	T1	T2	T3	T4
T1	0.0	4.357898709190227e-134	5.133970655101095e-132	-3.586915004477534e-136
T2	1.8947170066726403e-119	0.0	-4.547351939165456e-114	2.028344815827516e-118
T3	6.772881658529281e-145	-3.5453754315293185e-145	0.0	-1.5524475219946816e-145
T4	-1.944097151599429e-145	4.150476109130076e-145	9.663423754474317e-145	-0.0
P1	2.4408908432860697e-106	-3.0367377244334654e-101	6.6937524670379505e-108	1.784533640467071e-106
P2	3.18558716133007e-126	-1.3086279980501245e-119	5.848216076084661e-127	1.110427627371233e-124
P3	8.7859658010297e-140	-2.2989852508415266e-145	-4.630501338257362e-145	-3.777878299245736e-145
P4	2.503226898757279e-15	1.83517701229082e-15	8.786555201801597e-7	6.973029385378521e-13
O1	-1.6282277572725931e-6	0.2977219530507422	-1.9533933447010885e-6	-1.6755025808135336e-6
O2	-0.07879313348714294	0.00010508706140419258	0.0001239568803119698	0.00010781072325993507
O3	-2.596190244044734e-5	-2.632429669522061e-5	0.5878130607083188	-2.670427199283217e-5
O4	3.1669693116935785e-5	3.211026803186527e-5	3.797822103372487e-5	-0.18450750151962228
