	P1	P2	P3	P4
T1	0.6108160998822677	-7.112223004178774e-5	-0.00012155236335874524	7.69922003748504e-5
T2	6.86423077948504e-5	-0.055710058517579895	5.0538378488262293e-5	5.269969824906777e-5
T3	-0.00011643812151885391	-0.0001128201158862328	0.00014309581521872498	1.0054677384204884
T4	0.00023182364818417607	-0.0001204258381861975	-1.2409270745329994	6.881239366057811e-5
P1	-0.0	-0.0002252816893845084	0.0003989984223210006	-7.128997609841172e-5
P2	-5.622680652173885e-5	-0.0	-2.1234860347613783e-5	-8.61784940159176e-5
P3	0.0001298462346020551	-0.00019369309810720342	0.0	-0.00015160800601070177
P4	-9.984435140311445e-5	-9.674582234097664e-5	-3.082326498276123e-5	0.0
