	T1	T2	T3	T4
T1	-0.0	0.00021761243348663152	-7.559573684278637e-6	0.00012632175736407696
T2	0.00013037408837559818	-0.0	-6.719865556598152e-5	4.373813162111587e-6
T3	-0.00024331241419183055	-6.72223229926618e-5	-0.0	6.735799600268895e-5
T4	0.00019616440407065348	-0.0002180312672324345	-7.629085990132898e-5	0.0
P1	-0.00019606370768962702	7.631756757844003e-5	0.00024232579938178973	-0.0001311489367563115
P2	6.741687581226519e-5	-0.00010806607186938104	0.00019564852319216695	0.00021770716962906257
P3	-7.406019008795024e-5	7.624855673491481e-5	9.767934219923651e-5	-0.00012615651852930425
P4	6.0808563921680495e-5	6.71817246464135e-5	0.00013093240473177007	0.00011005147227809304
O1	-8.549727229592852e-5	0.992912951374512	-0.00013171781156162132	-4.992093893899336e-5
O2	-0.9929125257624606	0.00021732468550746424	-7.542370799177575e-5	-0.00013221400100007453
O3	0.00013139170467931324	0.0001289021732352023	0.992912271304978	-0.00012970855753671832
O4	0.00019860367505213875	0.00021966600264047349	-0.00013463985416904792	-0.9929117194897451
