KP	TF	p.value	q	sign	median_weight
YAL009W	YAL051W	7.258416841665e-08	1.20760852382636e-06	-1	-0.00982858873241773
YAL009W	YBL005W	0.833195408228865	0.754564115743859	1	0.0021641010056557
YAL009W	YBL008W	0.0718145072399271	0.209477598593227	-1	-0.00368218036377586
YAL009W	YBL021C	0.196706869646449	0.420566315823456	-1	-0.00198891901341803
YAL009W	YBL054W	0.569611250483985	0.67760574183668	1	0.000421283463857394
YAL009W	YBL103C	0.584980527768684	0.683394303833206	1	0.000273824239808017
YAL009W	YBR033W	0.874418474158265	0.763397142664697	1	0.00247885017437295
YAL009W	YBR049C	0.144937606124369	0.348449782901283	-1	-0.00155078453185046
YAL009W	YBR083W	0.22491401409074	0.453523176016712	-1	-0.00119654795745795
YAL009W	YBR112C	0.0534095272607474	0.165682844900497	-1	-0.025638056230702
YAL009W	YBR150C	0.0327449761631688	0.111363383316422	-1	-0.00630215976944225
YAL009W	YBR182C	0.45897555840488	0.628744218668586	-1	-8.82539574661431e-05
YAL009W	YBR239C	0.108629674442932	0.286137259496264	-1	-0.00284273221698247
YAL009W	YBR240C	0.837290664239119	0.755471018403543	1	0.00240033711585012
YAL009W	YBR297W	0.74621794004759	0.733578311463089	1	0.0011585427437022
YAL009W	YCL055W	0.136868506158484	0.335560170190476	-1	-0.0307374428470764
YAL009W	YCR065W	0.883930924705971	0.765345873305453	1	0.00201753005505573
YAL009W	YCR084C	0.0805158205442397	0.22904526730186	-1	-0.00406808531122595
YAL009W	YCR106W	0.914431229849415	0.771383295692173	1	0.00281938538613776
YAL009W	YDL020C	0.924995753672171	0.773402702578109	1	0.0023227925895473
YAL009W	YDL048C	0.983603062221132	0.783987826589342	1	0.00605305734010049
YAL009W	YDL056W	0.0353887750425885	0.118803887214951	-1	-0.00295561437480541
YAL009W	YDL106C	0.00527611576274569	0.0239750532458573	-1	-0.00445986073265641
YAL009W	YDL170W	0.953300440754604	0.778641369228258	1	0.00341228215130861
YAL009W	YDR009W	0.954392064677325	0.778838561609145	1	0.00407313212993824
YAL009W	YDR026C	0.575169856180978	0.679723563443947	1	0.000427216638079201
YAL009W	YDR034C	0.96520398152219	0.780772834264648	1	0.0338328603254275
YAL009W	YDR043C	0.000138651626723684	0.0010219691638749	-1	-0.00692767000368647
YAL009W	YDR049W	0.936090994720823	0.775485500244177	1	0.003010395589554
YAL009W	YDR123C	8.69413930026775e-11	2.83441152225541e-09	-1	-0.0108360942497025
YAL009W	YDR146C	0.696333784373623	0.719839461316855	1	0.000856569841053846
YAL009W	YDR174W	0.538947301083288	0.665400339369445	1	0.00253957470636877
YAL009W	YDR207C	0.000142175463120744	0.00104462196567139	-1	-0.00602681279240682
YAL009W	YDR213W	0.870102377150595	0.762502227342681	1	0.00255432261416429
YAL009W	YDR216W	0.00896468474331575	0.0377200689924415	-1	-0.00387104795290285
YAL009W	YDR253C	0.0508088548266788	0.159354091586469	-1	-0.00276845601984208
YAL009W	YDR259C	5.99807323242569e-09	1.27797458371781e-07	-1	-0.00895642682944368
YAL009W	YDR266C	0.968027937888574	0.781272485527601	1	0.00434639931748596
YAL009W	YDR277C	0.00229119749345525	0.011666083930649	-1	-0.00492551913840242
YAL009W	YDR310C	0.983632738703245	0.783992935988345	1	0.00484828537155246
YAL009W	YDR421W	0.769548788318957	0.739551862550403	1	0.00133026472653656
YAL009W	YDR423C	0.00561443523729807	0.0252777451690295	-1	-0.00554226159048605
YAL009W	YDR451C	0.964910514534991	0.780720779280058	1	0.00340771404502774
YAL009W	YDR463W	0.179958308676028	0.399046768456488	-1	-0.00190815596111394
YAL009W	YDR501W	0.119340542814552	0.305724903619569	-1	-0.00222337113165802
YAL009W	YDR520C	0.703586702494283	0.721924402643374	1	0.00173753697443408
YAL009W	YEL009C	4.51204776096783e-05	0.000376708472415395	-1	-0.00620126808306207
