TF	p.value	estimate	sign	KP
YER028C	0.9994418401608	-0.012122822604963	1	YAL009W
YER040W	0.194680609761555	0.00180382163705003	-1	YAL009W
YER045C	0.969877311491243	-0.00636773117660842	1	YAL009W
YER051W	0.696880578132461	-0.00106321060464506	1	YAL009W
YER068W	0.496280277902148	4.52964120698137e-05	1	YAL009W
YER088C	0.0666469551979021	0.00444502534287981	-1	YAL009W
YER109C	2.5221884639459e-06	0.0128355270383399	1	YAL009W
YER111C	3.8949593752553e-07	0.00967597567411109	-1	YAL009W
YER130C	0.948829077073229	-0.00315460480658777	-1	YAL009W
YER161C	0.734936034157138	-0.00167771330451555	1	YAL009W
YER169W	0.267194984392496	0.00130788484296131	1	YAL009W
YER184C	0.992462209103094	-0.00745203720887344	-1	YAL009W
YFL021W	0.31698050204201	0.00109376137909088	1	YAL009W
YFL031W	0.99875452776541	-0.00814313320924144	1	YAL009W
YFL044C	0.997817906272996	-0.00679021567755171	1	YAL009W
YFL052W	0.52822705367479	-0.00010189999219536	-1	YAL009W
YFR034C	0.000573609119163612	0.00611866871748824	1	YAL009W
YGL013C	0.693046429139884	-0.000812309789014079	1	YAL009W
YGL035C	0.466951998673872	5.43564362412175e-05	1	YAL009W
YGL071W	0.70884909866939	-0.000850198705945924	-1	YAL009W
YGL073W	2.31942240746534e-05	0.00775113989323745	1	YAL009W
YGL096W	0.924121509180701	-0.0022174806252464	-1	YAL009W
YGL131C	0.941540049526405	-0.00449760319672282	1	YAL009W
YGL162W	0.00187034408258958	0.00692501322728699	1	YAL009W
YGL166W	0.0214656044501363	0.0197302521527903	1	YAL009W
YGL181W	0.722243118942552	-0.00120718401963644	-1	YAL009W
YGL192W	0.830825863372697	-0.00212108212487995	1	YAL009W
YGL197W	0.951137128870167	-0.00423380107432246	1	YAL009W
YGL209W	0.919305094876842	-0.00319419776295297	1	YAL009W
YGL237C	0.741805748987377	-0.00134391014606246	-1	YAL009W
YGL252C	0.890359299101801	-0.0380411678251247	1	YAL009W
YGL254W	0.717372923580825	-0.00121834566624232	-1	YAL009W
YGR044C	0.744780586799312	-0.00144454069495067	1	YAL009W
YGR067C	0.127870009094449	0.00246901060304246	-1	YAL009W
YGR089W	0.133275503938927	0.00266183672578082	-1	YAL009W
YGR097W	0.923832972492344	-0.00370964117206904	1	YAL009W
YGR249W	0.478720005143339	3.88425019720999e-05	1	YAL009W
YGR288W	0.703441967571061	-0.00145637185445369	1	YAL009W
YHL009C	0.975944238663242	-0.00489518944076544	1	YAL009W
YHL020C	0.995947626656076	-0.0101321846245016	1	YAL009W
YHL027W	0.87380787659361	-0.00218615977517761	1	YAL009W
YHR006W	0.992171219823229	-0.00583124828331491	1	YAL009W
YHR084W	4.74583431129989e-11	0.00760107994333161	-1	YAL009W
YHR124W	2.29961538727918e-10	0.00727143283353686	1	YAL009W
YHR178W	0.000201035159392714	0.00787666412747176	1	YAL009W
YHR206W	2.13321029767855e-10	0.0107337773371635	-1	YAL009W
YIL036W	0.926265714684982	-0.00339302670524293	1	YAL009W
YIL101C	0.0596648878007592	0.00251859788487615	1	YAL009W
YIL119C	0.483285731636927	4.35518702133104e-05	-1	YAL009W
YIL122W	0.550481062036491	-0.000257359781977092	-1	YAL009W
YIL128W	0.997696967076313	-0.00857433850619625	1	YAL009W
YIL131C	1.68819886622553e-06	0.00518494867103554	-1	YAL009W
YIR017C	0.992787204972407	-0.00633632185621607	1	YAL009W
YIR018W	0.0295297299719553	0.00331667139782684	-1	YAL009W
YIR023W	0.0133057255699196	0.00423521783543266	-1	YAL009W
YIR033W	0.0167060635768396	0.0242533659808982	-1	YAL009W
YJL056C	0.995433704178877	-0.00632450829084091	1	YAL009W
YJL089W	0.973008352830675	-0.00429448703419712	1	YAL009W
YJL103C	0.0249046850174081	0.0226963073710591	-1	YAL009W
YJL110C	0.965411816644198	-0.0040042022876994	1	YAL009W
YJL127C	0.893294806728856	-0.0037977812564226	1	YAL009W
YJL206C	0.99883732217021	-0.00539757070349495	1	YAL009W
YJR060W	0.000211144000826054	0.00566804699564476	-1	YAL009W
YJR094C	0.0695231498120252	0.00453545990410209	1	YAL009W
YJR127C	0.656250901168175	-0.000938769338784869	1	YAL009W
YJR140C	0.530861016069544	-5.9736397241583e-05	1	YAL009W
YJR147W	0.931628226442312	-0.00328254993240279	1	YAL009W
YKL005C	0.498845245109311	1.06875444488309e-05	-1	YAL009W
YKL015W	0.0715745438426975	0.00324971663116286	-1	YAL009W
YKL020C	2.46568823781075e-11	0.00806967795936139	1	YAL009W
YKL032C	0.0248645000378463	0.0033035350391329	1	YAL009W
YKL038W	0.526337693490329	-0.000102375085919262	1	YAL009W
YKL043W	0.00109377558465542	0.00579630810817441	1	YAL009W
YKL062W	7.82910441374143e-07	0.00648632399640708	-1	YAL009W
YKL072W	0.723134874743926	-0.00173265982394516	-1	YAL009W
YKL109W	0.822698935758232	-0.00169356877633244	-1	YAL009W
YKL112W	0.264956708647008	0.000930906540743312	-1	YAL009W
YKL185W	3.46693307647605e-08	0.0129117123183569	1	YAL009W
YKL222C	0.414995183489026	0.000377235118313154	1	YAL009W
YKR034W	0.99053243956195	-0.0051866367428074	-1	YAL009W
YKR064W	0.404280120503117	0.000457117581961854	-1	YAL009W
YKR099W	0.362924888904227	0.000706064059245355	1	YAL009W
YLR013W	0.991823124769027	-0.00543538756010177	1	YAL009W
YLR014C	0.688078640810107	-0.00116333167469374	1	YAL009W
YLR098C	0.956701122625626	-0.00323446019060705	1	YAL009W
YLR131C	0.00639064140732902	0.00544300638735534	1	YAL009W
YLR176C	0.0562867438000649	0.00274709224780285	1	YAL009W
YLR182W	0.00054862933127773	0.00672206224143707	-1	YAL009W
YLR183C	0.0639327084745031	0.00262017826658928	1	YAL009W
YLR228C	0.599745137885202	-0.000566445030829241	-1	YAL009W
YLR256W	5.65147229864868e-08	0.011548254925216	-1	YAL009W
YLR266C	0.374744626355355	0.0132538382928379	1	YAL009W
YLR278C	0.357743195632515	0.00067627918683981	-1	YAL009W
YLR403W	0.596142806400083	-0.000340833821201943	1	YAL009W
YLR451W	0.0786127391820538	0.00304351474317816	-1	YAL009W
YML007W	7.62697080326758e-10	0.0112756402646987	-1	YAL009W
YML027W	0.913580940489729	-0.00200197420569605	-1	YAL009W
YML051W	0.734193532909614	-0.00142067259816233	1	YAL009W
YML076C	0.550259657218411	-0.000219729691167931	1	YAL009W
YML081W	0.905960141422591	-0.00392230494077111	1	YAL009W
YML099C	0.812835824097894	-0.00218614978316046	1	YAL009W
YML113W	0.99917728074538	-0.00889946327711053	1	YAL009W
YMR016C	1.74474339234762e-05	0.0064382186937733	1	YAL009W
YMR019W	0.728876254761901	-0.00126663261498531	-1	YAL009W
YMR021C	0.560753199513699	-0.000234872564237577	-1	YAL009W
YMR037C	4.81089557573716e-18	0.0105112396863865	-1	YAL009W
YMR042W	0.0159405076831777	0.00532784112734663	-1	YAL009W
YMR043W	0.0253535592929547	0.00358889958618257	-1	YAL009W
YMR053C	0.994097096710113	-0.00537175211123105	-1	YAL009W
YMR070W	0.325206897482935	0.000828382438239694	-1	YAL009W
YMR075W	0.575749472583245	-0.000529094894307044	-1	YAL009W
YMR164C	0.687801082230902	-0.0010132535183256	1	YAL009W
YMR172W	6.6431191683306e-08	0.0411072734992933	-1	YAL009W
YMR182C	0.989783934839914	-0.00508142532686271	1	YAL009W
YMR280C	0.201965668340945	0.00500706138675794	-1	YAL009W
YNL027W	0.000266494392975228	0.0101546602701993	-1	YAL009W
YNL068C	9.05408564853422e-10	0.00738980596790191	-1	YAL009W
YNL139C	0.875002800162441	-0.00328617521626107	1	YAL009W
YNL167C	2.84373373370693e-12	0.0145903328006611	1	YAL009W
YNL199C	0.539965544561132	-0.000142794365740086	1	YAL009W
YNL216W	2.03720781157296e-05	0.0051705738437308	1	YAL009W
YNL257C	0.569644448568513	-0.000429808962306564	-1	YAL009W
YNL309W	0.750128365720837	-0.00157703888145344	-1	YAL009W
YNL314W	0.242443831781359	0.0013321121673813	-1	YAL009W
YNR063W	0.116525031291464	0.00250813591634154	-1	YAL009W
YOL028C	0.077019383284713	0.00269267642156668	-1	YAL009W
YOL067C	0.839883620548274	-0.00185640650846732	-1	YAL009W
YOL089C	0.979185726292375	-0.00476308526489414	1	YAL009W
YOL108C	1.9331350427789e-05	0.00564112357373938	-1	YAL009W
YOL116W	0.294458707954221	0.00147045947279172	-1	YAL009W
