loss	sse	Lp	epoch	time
2232247837.93290	2232238130.60992	14193.07296	0	2020-02-05T12:04:46.714
73005088.12412	72999729.82776	14197.55647	1	2020-02-05T12:19:43.903
67749372.11790	67745213.24710	14204.77406	2	2020-02-05T12:34:34.794
63567304.54756	63563667.33204	14212.45100	3	2020-02-05T12:49:04.049
59440239.13313	59436894.97558	14220.05446	4	2020-02-05T13:03:26.935
55432059.25995	55428917.98024	14227.39111	5	2020-02-05T13:17:36.334
51638666.56256	51635682.88246	14234.43192	6	2020-02-05T13:31:47.512
48116985.88092	48114131.21956	14241.16954	7	2020-02-05T13:45:47.366
44889854.87771	44887108.88219	14247.58654	8	2020-02-05T14:00:11.316
41957527.46711	41954873.93700	14253.70132	9	2020-02-05T14:14:48.814
39306910.24681	39304334.41614	14259.51552	10	2020-02-05T14:29:21.129
36917870.82185	36915360.60044	14265.06300	11	2020-02-05T14:43:58.919
34767265.96798	34764811.18570	14270.37694	12	2020-02-05T14:57:56.109
32831381.74858	32828974.36399	14275.47434	13	2020-02-05T15:11:52.218
31087333.76510	31084967.24381	14280.37475	14	2020-02-05T15:25:47.385
29513804.55903	29511473.51957	14285.09363	15	2020-02-05T15:39:45.164
28091372.66620	28089072.99949	14289.63994	16	2020-02-05T15:54:21.064
26802598.98549	26800327.50072	14294.02998	17	2020-02-05T16:09:00.743
25631973.54425	25629727.77896	14298.26958	18	2020-02-05T16:23:27.843
24565788.63023	24563566.78343	14302.36267	19	2020-02-05T16:37:26.988
23591978.47819	23589779.12668	14306.31957	20	2020-02-05T16:51:31.604
22699948.43692	22697770.47531	14310.14725	21	2020-02-05T17:06:13.493
21880407.81416	21878250.39936	14313.85018	22	2020-02-05T17:21:22.787
21125213.45569	21123075.88376	14317.43330	23	2020-02-05T17:36:28.986
20427227.12376	20425108.87830	14320.90263	24	2020-02-05T17:51:33.656
19780188.31290	19778088.94582	14324.25593	25	2020-02-05T18:06:19.302
19178601.65867	19176520.80359	14327.50232	26	2020-02-05T18:20:48.19
18617638.43847	18615575.82199	14330.64769	27	2020-02-05T18:35:17.945
18093051.00449	18091006.24786	14333.69393	28	2020-02-05T18:49:58.832
17601098.06705	17599070.77385	14336.64698	29	2020-02-05T19:04:36.017
17138480.36485	17136470.10889	14339.51378	30	2020-02-05T19:18:58.595
16702284.77412	16700291.29698	14342.30509	31	2020-02-05T19:33:29.623
16289936.65461	16287959.61768	14345.01765	32	2020-02-05T19:48:23.348
15899158.01956	15897197.05333	14347.64989	33	2020-02-05T20:03:13.631
15527931.65395	15525986.37638	14350.20467	34	2020-02-05T20:18:06.051
15174470.09908	15172540.10165	14352.68785	35	2020-02-05T20:33:05.769
14837188.87125	14835273.61571	14355.10314	36	2020-02-05T20:48:04.557
14514682.82852	14512781.84936	14357.44876	37	2020-02-05T21:02:57.323
14205706.14100	14203819.06301	14359.72816	38	2020-02-05T21:17:52.937
13909154.74236	13907281.25607	14361.95317	39	2020-02-05T21:32:40.97
13624051.03268	13622190.83581	14364.12534	40	2020-02-05T21:47:38.203
13349530.46958	13347683.21227	14366.23180	41	2020-02-05T22:02:34.902
13084829.62775	13082995.02775	14368.28585	42	2020-02-05T22:17:36.201
12829275.97025	12827453.77418	14370.28241	43	2020-02-05T22:32:26.699
12582278.71522	12580468.57542	14372.22443	44	2020-02-05T22:47:18.749
12343320.37783	12341521.94222	14374.10384	45	2020-02-05T23:01:56.743
12111949.26373	12110162.35386	14375.92360	46	2020-02-05T23:16:40.746
11887773.13769	11885997.51993	14377.69097	47	2020-02-05T23:31:25.79
11670452.74437	11668688.22729	14379.40769	48	2020-02-05T23:46:18.702
11459696.17719	11457942.64484	14381.07511	49	2020-02-06T00:01:03.98
11255253.84509	11253511.05750	14382.70062	50	2020-02-06T00:15:52.194
11056913.19390	11055180.93804	14384.27064	51	2020-02-06T00:30:35.039
10864494.22755	10862772.29043	14385.77874	52	2020-02-06T00:45:20.441
10677844.97771	10676133.24426	14387.23873	53	2020-02-06T01:00:03.211
10496837.43835	10495135.83200	14388.64732	54	2020-02-06T01:14:34.847
10321363.45010	10319671.91736	14390.00608	55	2020-02-06T01:29:13.41
10151330.93048	10149649.23126	14391.30808	56	2020-02-06T01:44:01.23
9986659.41446	9984987.47787	14392.55896	57	2020-02-06T01:58:41.857
9827276.63323	9825614.50286	14393.76696	58	2020-02-06T02:13:29.917
9673114.89934	9671462.49891	14394.92739	59	2020-02-06T02:28:17.877
9524107.14204	9522464.27574	14396.02909	60	2020-02-06T02:42:46.049
9380183.01770	9378549.61909	14397.07950	61	2020-02-06T02:57:23.877
9241265.73989	9239641.78960	14398.08312	62	2020-02-06T03:12:10.608
9107268.88201	9105654.23601	14399.05138	63	2020-02-06T03:27:00.467
8978093.07320	8976487.61304	14399.97122	64	2020-02-06T03:41:46.646
8853623.64914	8852027.18739	14400.84366	65	2020-02-06T03:56:41.094
8733728.34058	8732140.74653	14401.65568	66	2020-02-06T04:11:34.623
8618255.90351	8616677.09522	14402.41757	67	2020-02-06T04:26:31.516
