systematicName,geneSymbol,"ctk1-del vs. wt","ctk1-del vs. wt","cak1-del vs. wt","cak1-del vs. wt",
YBL008W,HIR1,0.42884989,0.003,-0.19934482,0.998,
YBL009W,ALK2,0.16019737,1,-0.24529375,0.277,
YBL010C,YBL010C,0.018904743,1,-0.23541265,1,
YBL011W,SCT1,0.095654417,1,-0.82401688,0,
YBL012C,YBL012C,-0.27944484,1,-0.18390988,1,
YBL013W,FMT1,-0.18757735,1,-0.14506441,1,
YBL014C,RRN6,-0.42082565,0.013,-0.38766826,0,
YBL015W,ACH1,0.088901424,1,0.15507565,1,
YBL016W,FUS3,-0.02988113,1,0.920743,0,
YBL017C,PEP1,0.3187738,1,0.0066068192,1,
YBL018C,POP8,-0.050344054,1,-1.0104773,0,
YBL019W,APN2,-0.72350095,0,0.14169436,1,
YBL020W,RFT1,0.19109515,1,-0.13058338,1,
YBL021C,HAP3,-0.088441862,1,-0.73974064,0.685,
YBL022C,PIM1,0.23198529,1,-0.16549426,1,
YBL023C,MCM2,0.085995638,1,-0.7148014,0,
YBL024W,NCL1,-0.31678325,0.163,-0.66034265,0,
YBL025W,RRN10,-0.056701257,1,-0.40505596,0.817,
YBL026W,LSM2,-0.78903268,0,-0.60162336,0,
YBL027W,RPL19B,-0.70236718,0,-0.5251933,0,
YBL028C,YBL028C,-0.4137608,0.029,-0.40788602,1,
YBL029C-A,YBL029C-A,-0.23009457,1,-0.11364964,1,
YBL029W,YBL029W,-0.5798615,0.006,-0.04615966,1,
YBL030C,PET9,-0.26223018,0.989,0.67503906,0,
YBL031W,SHE1,-0.06635183,1,-0.35069909,0,
YBL032W,HEK2,-0.4872007,0.001,-0.48181135,0,
YBL033C,RIB1,0.18869209,1,-0.26167833,0.064,
YBL034C,STU1,0.16101052,1,-0.28098833,0.09,
YBL035C,POL12,-0.18943844,1,-0.099421808,1,
YBL036C,YBL036C,0.19843129,1,0.21330373,0.715,
YBL037W,APL3,0.1007624,1,-0.67337982,0,
YBL038W,MRPL16,-0.025149146,1,0.55366523,0,
YBL039C,URA7,-0.44174608,0.018,0.71711377,0,
YBL040C,ERD2,0.17220586,1,-0.15688445,1,
YBL041W,PRE7,0.15180687,1,0.28390992,0.037,
YBL042C,FUI1,-0.86309204,0,-0.52401864,0,
YBL043W,ECM13,-1.0264313,0,0.011624445,1,
YBL044W,YBL044W,-0.145733,1,-0.14876068,1,
YBL045C,COR1,-0.43213529,0.007,0.44495325,0,
YBL046W,PSY4,0.54493044,0,-0.12148338,1,
YBL047C,EDE1,-0.39563068,0.004,-0.48674374,0,
YBL048W,YBL048W,1.0646759,0.005,0.2558995,0.147,
YBL049W,MOH1,1.47966,0,0.5987749,1,
YBL050W,SEC17,-0.15711125,1,-0.16623228,1,
YBL051C,PIN4,-0.028610587,1,-0.023175949,1,
YBL052C,SAS3,-0.26232016,1,-0.29596734,0.799,
YBL053W,YBL053W,0.084785432,1,-0.42490845,0,
YBL054W,YBL054W,-0.30578126,0.413,-0.60446772,0,
YBL055C,YBL055C,-0.28215098,0.701,-0.010069,1,
YBL056W,PTC3,-0.22739304,1,-0.16578716,1,
YBL057C,PTH2,-0.20859265,1,-0.055769732,1,
YBL058W,SHP1,-0.16022419,1,-0.15425385,1,
YBL059C-A,YBL059C-A,-0.11877393,1,0.10342378,1,
YBL059W,YBL059W,-0.36307985,0.045,-0.2067117,0.987,
YBL060W,YBL060W,0.39473363,0.038,0.12955999,1,
YBL061C,SKT5,0.39431657,0.153,0.017836412,1,
YBL062W,YBL062W,-0.093946795,1,-0.11481613,1,
YBL063W,KIP1,-0.065291781,1,-0.096446463,1,
YBL064C,PRX1,0.18631038,1,0.50668318,0,
YBL065W,YBL065W,0.63570796,0,-0.11040964,1,
YBL066C,SEF1,-0.14507718,1,-0.1874837,1,
YBL067C,UBP13,-0.16075307,1,-0.23785192,0.36,
YBL068W,PRS4,-0.34148595,1,-0.37364311,0,
YBL069W,AST1,-0.60290022,0,-0.20900615,0.883,
YBL070C,YBL070C,0.5072923,0,-0.36285535,0.005,
YBL071C,YBL071C,0.78983774,0,-0.078219413,1,
YBL071W-A,KTI11,0.0839826,1,-0.17651475,1,
YBL072C,RPS8B,-0.45611417,0.008,-0.18901899,1,
YBL073W,YBL073W,-0.18386072,1,-0.29223846,0.019,
YBL074C,AAR2,-0.16172427,1,-0.1636751,1,
YBL075C,SSA3,0.34920673,0.121,0.55373403,0,
YBL076C,ILS1,-0.2123636,1,-0.63542981,0,
YBL077W,YBL077W,-0.17749989,1,-0.11376359,1,
YBL078C,ATG8,0.3186697,1,0.45226859,0,
YBL079W,NUP170,-0.213683,1,-0.38283131,0,
YBL080C,PET112,-0.23854961,1,0.20964051,1,
YBL081W,YBL081W,-0.44375993,0.001,-0.38047055,0,
YBL082C,ALG3,-0.102219,1,-0.070484693,1,
YBL083C,YBL083C,-0.27309207,0.96,0.17503271,1,
YBL084C,CDC27,-0.22652179,1,-0.34747404,0.005,
