systematicName,geneSymbol,"ctk1-del vs. wt","ctk1-del vs. wt","cak1-del vs. wt","cak1-del vs. wt",
YDR437W,GPI19,-0.18959967,1,-0.34967291,0,
YDR438W,THI74,0.03290486,1,-0.63646556,0,
YDR439W,LRS4,-0.34655654,0.305,-0.0076158558,1,
YDR440W,DOT1,-0.22443528,1,-0.82310282,0,
YDR441C,APT2,0.23130952,1,0.03885755,1,
YDR442W,YDR442W,-0.030090295,1,-0.22881925,0.277,
YDR443C,SSN2,0.26148267,1,0.21217087,0.863,
YDR444W,YDR444W,0.042742381,1,-0.37574373,0,
YDR445C,YDR445C,-0.050024389,1,-0.16610602,1,
YDR446W,ECM11,-0.0056534428,1,0.13511454,1,
YDR447C,RPS17B,-0.15031453,1,-0.8051943,0,
YDR448W,ADA2,-0.49314624,0.973,-0.20760105,0.967,
YDR449C,UTP6,-0.087383856,1,-0.5008261,0,
YDR450W,RPS18B,-0.18610268,1,-0.53355977,0,
YDR451C,YHP1,-0.11999945,1,-0.054819326,1,
YDR452W,PPN1,0.09806915,1,0.2600618,0.197,
YDR453C,TSA2,0.36093731,1,1.0320444,0,
YDR454C,GUK1,-0.18516906,1,-0.29904899,0,
YDR455C,YDR455C,0.076969476,1,-0.14256196,1,
YDR456W,NHX1,0.045303168,1,-0.14661269,1,
YDR457W,TOM1,0.22305179,1,-0.37633163,0,
YDR458C,HEH2,0.064055064,1,-0.49458869,0,
YDR459C,PFA5,0.074286207,1,-0.22524456,0.779,
YDR460W,TFB3,-0.20662512,1,-0.018031936,1,
YDR461W,MFA1,1.7151773,0,0.64907277,0,
YDR462W,MRPL28,-0.12820838,1,0.10491362,1,
YDR463W,STP1,-0.096498907,1,-0.12326737,1,
YDR464W,SPP41,0.072325362,1,-0.55344944,0,
YDR465C,RMT2,-0.48207127,0.001,-0.55778367,0,
YDR466W,PKH3,-0.11400714,1,-0.23860749,1,
YDR467C,YDR467C,-0.24594544,0.996,-0.50859017,0,
YDR468C,TLG1,-0.073592129,1,0.23020301,1,
YDR469W,SDC1,-1.0273485,0,-0.66333042,0,
YDR470C,UGO1,0.0048824651,1,-0.23883049,0.562,
YDR471W,RPL27B,-0.12329879,1,-0.85786108,0,
YDR472W,TRS31,1.1960845,0,-0.21326816,0.661,
YDR473C,PRP3,0.22218631,1,0.01628236,1,
YDR475C,JIP4,0.18938813,1,-0.087986364,1,
YDR475C,JIP4,-0.26860124,1,-0.32411544,0,
YDR476C,YDR476C,-0.32726873,1,-0.23428196,0.868,
YDR477W,SNF1,-0.34725562,0.768,-0.35823019,0.007,
YDR478W,SNM1,-0.80823523,0,-0.53978796,0,
YDR479C,PEX29,0.076928443,1,0.10566467,1,
YDR480W,DIG2,0.067459746,1,0.0030408795,1,
YDR481C,PHO8,0.058579724,1,0.3129207,0.063,
YDR482C,CWC21,-0.55199348,0,-0.67203677,0,
YDR483W,KRE2,-0.080652289,1,-0.080133663,1,
YDR484W,VPS52,0.26963165,0.841,-0.18766443,1,
YDR485C,VPS72,0.18335312,1,-0.28467767,0.003,
YDR486C,VPS60,-1.2637606,0,0.22579317,1,
YDR487C,RIB3,-0.052616613,1,0.26379162,0.233,
YDR488C,PAC11,0.048264091,1,0.034412945,1,
YDR489W,SLD5,-0.25967165,0.949,-0.083766437,1,
YDR490C,PKH1,0.11151213,1,0.37907749,0.023,
YDR491C,YDR491C,-0.074116002,1,-0.20708136,0.965,
YDR492W,IZH1,-0.24554003,1,-0.0070285912,1,
YDR493W,FMP36,-0.3418772,0.341,-0.29988348,0.003,
YDR494W,RSM28,-0.16074984,1,-0.20881439,1,
YDR495C,VPS3,-0.26013808,1,-0.39948474,0.001,
YDR496C,PUF6,-0.16168393,1,-0.71171704,0,
YDR497C,ITR1,-0.59090782,0,-0.72254602,0,
YDR498C,SEC20,-0.77379484,0,-0.36926092,0,
YDR499W,LCD1,0.029148943,1,-0.25904136,0.034,
YDR500C,RPL37B,-0.57069791,0.682,-0.18258958,1,
YDR501W,PLM2,0.40256939,0.314,-0.068380476,1,
YDR502C,SAM2,-0.85451035,0,-1.1133484,0,
YDR503C,LPP1,0.65060834,0,0.28248725,0.271,
YDR504C,SPG3,-0.0090073941,1,-0.15375944,1,
YDR505C,PSP1,-0.0089928769,1,0.19208051,1,
YDR506C,YDR506C,-0.54604316,0,0.10861143,1,
YDR507C,GIN4,0.4359379,0.007,-0.10158111,1,
YDR508C,GNP1,0.38316512,1,-0.14583675,1,
YDR509W,YDR509W,0.057886914,1,-0.12909954,1,
YDR510W,SMT3,-0.1375494,1,-0.11454121,1,
YDR511W,ACN9,0.060185765,1,-0.26496834,0.015,
YDR512C,EMI1,0.40360586,0.004,-0.048941937,1,
YDR513W,GRX2,0.15982291,1,0.46188474,0,
YDR514C,YDR514C,-0.15308071,1,-0.43756266,0,
YDR515W,SLF1,0.19816723,1,-0.37886383,0,
YDR516C,EMI2,-0.45198169,0.551,0.50612459,0.022,
YDR517W,GRH1,-1.3555936,0,-0.084509694,1,
YDR518W,EUG1,0.23744135,1,0.41827632,0,
YDR519W,FPR2,0.60814687,0.045,-0.01380462,1,
YDR520C,YDR520C,1.0253407,0,-0.36778205,0,
YDR521W,YDR521W,-0.069118873,1,-0.17695667,1,
YDR522C,SPS2,-0.2534688,0.998,-0.033162033,1,
YDR523C,SPS1,0.30864046,1,0.63592152,0,
YDR524C,AGE1,-0.07923871,1,-0.39946191,0,
YDR525W,YDR525W,-0.27857659,0.932,-0.23573538,1,
YDR525W-A,SNA2,0.4061339,0.029,0.19582632,1,
YDR526C,YDR526C,0.18851487,1,-0.12121032,1,
YDR527W,RBA50,-0.13789859,1,-0.027994122,1,
YDR528W,HLR1,0.16037811,1,-0.31293035,0.01,
YDR529C,QCR7,-0.15978414,1,1.0402823,0,
YDR530C,APA2,-0.39844229,0.039,0.31369862,0.007,
YDR531W,YDR531W,-0.25851317,1,-0.0011026403,1,
YDR532C,YDR532C,0.3409382,0.049,-0.13694646,1,
YDR533C,HSP31,-0.75385463,0,1.1966826,0,
YDR534C,FIT1,-0.036687171,1,0.18537182,1,
YDR535C,YDR535C,0.0051268739,1,0.19596486,0.993,
YDR536W,STL1,0.353312,0.037,0.26068812,0.302,
YDR537C,YDR537C,0.038351893,1,-0.13026754,1,
YDR538W,PAD1,0.42962132,0.005,0.43128063,0,
YDR539W,YDR539W,-0.14322779,1,0.03290486,1,
YDR540C,IRC4,0.026885025,1,0.48774358,0,
YDR541C,YDR541C,-0.41493171,0.019,0.35881258,0.004,
YDR542W,PAU10,0.20748059,1,0.93195531,0,
YDR543C,YDR543C,1.9236855,0,0.45203659,0,
YDR544C,YDR544C,0.47675495,0.003,0.13402375,1,
YBL113C,YBL113C,0.78906147,0,0.98631627,0,
YEL001C,IRC22,-0.69114755,0,0.2869521,0.016,
YEL002C,WBP1,-0.013666253,1,-0.06778005,1,
YEL003W,GIM4,0.066371673,1,-0.19292375,1,
YEL004W,YEA4,-0.48622832,0,-0.21504716,1,
YEL005C,VAB2,0.47007346,0,0.20846732,1,
YEL006W,YEA6,-0.70729834,0,-0.21080328,0.923,
YEL007W,YEL007W,-0.29740806,0.654,-0.12410515,1,
YEL008W,YEL008W,0.10549035,1,-0.21354081,0.996,
YEL009C,GCN4,-0.043402067,1,-0.094675289,1,
YEL010W,YEL010W,-0.19442357,1,-0.11311122,1,
YEL011W,GLC3,0.36435951,0.056,1.4080923,0,
YEL012W,UBC8,0.2683745,0.968,0.57523487,0,
YEL013W,VAC8,0.038773286,1,-0.13271394,1,
YEL014C,YEL014C,-0.090136286,1,-0.19318928,0.963,
YEL015W,EDC3,-0.12009196,1,-0.046867394,1,
YEL016C,NPP2,-0.43991899,0.003,0.06256385,1,
YEL017C-A,PMP2,-0.032908141,1,-0.73323384,0,
YEL017W,GTT3,-0.48354505,0.001,-0.95560308,0,
YEL018W,EAF5,-0.20033905,1,-0.48681046,0,
YEL019C,MMS21,-0.20279108,1,-0.070877113,1,
YEL020C,YEL020C,0.41392981,0.004,0.055750964,1,
YEL020W-A,TIM9,-0.61588607,0,-0.30044304,0.006,
YEL021W,URA3,-0.33362151,0.061,-0.29712086,0,
YEL022W,GEA2,-0.27882161,0.93,-0.47146069,0,
YEL023C,YEL023C,1.3683884,0,0.49940456,0,
YEL024W,RIP1,0.023652793,1,0.58347095,0,
YEL025C,YEL025C,0.065848003,1,0.0042928381,1,
YEL026W,SNU13,-0.27550863,0.908,-0.4548105,0.004,
YEL027W,CUP5,-0.15935227,1,0.11414044,1,
YEL028W,YEL028W,-0.13105411,1,0.010607994,1,
YEL029C,BUD16,-0.56115147,0,-0.18532982,1,
YEL030W,ECM10,0.58766262,0,0.026346823,1,
YEL031W,SPF1,0.12475162,1,-0.40226575,0.088,
YEL032W,MCM3,-0.32864503,0.114,-0.67559491,0,
YEL033W,YEL033W,0.033200964,1,0.11579236,1,
YEL034W,HYP2,-0.50465276,0.049,0.16663833,1,
YEL035C,UTR5,-0.25253526,1,-0.41487016,0,
YEL036C,ANP1,-0.067781562,1,0.21077536,0.76,
YEL037C,RAD23,-0.10514732,1,-0.37558463,0,
YEL038W,UTR4,-0.10826509,1,-0.05152474,1,
YEL039C,CYC7,0.14258335,1,1.6342959,0,
YEL040W,UTR2,-0.58781464,0,-0.28293538,0.976,
YEL041W,YEF1,-0.053376925,1,-0.11226263,1,
YEL042W,GDA1,-0.44911706,0.002,-0.2832619,0.014,
YEL043W,YEL043W,-0.1984026,1,-0.079356074,1,
YEL044W,IES6,-0.38219751,0.12,-0.43288879,0,
YEL045C,YEL045C,-0.22714647,1,-0.38833468,0,
YEL046C,GLY1,-0.28683738,1,-0.21263273,1,
YEL047C,YEL047C,0.80430142,0,0.57544788,0,
YEL048C,YEL048C,0.19119625,1,-0.20012523,0.773,
YEL049W,PAU2,0.26319069,0.996,0.61551046,0,
YEL050C,RML2,0.17958748,1,0.12165204,1,
YEL051W,VMA8,-0.33357061,0.323,0.17028403,1,
YEL052W,AFG1,-0.15920566,1,-0.13897683,1,
YEL053C,MAK10,0.27846061,1,-0.018644158,1,
YEL054C,RPL12B,0.049519251,1,-0.203791,0.781,
YEL055C,POL5,-0.61342299,0,-0.59321519,0,
YEL056W,HAT2,-0.65312138,0,-0.0011979341,1,
YEL057C,YEL057C,-0.33404882,0.703,0.1312207,1,
YEL058W,PCM1,-0.15310317,1,0.70315387,0,
YEL059C-A,SOM1,0.24899623,1,1.2364008,0,
YEL059W,YEL059W,0.037635243,1,-0.098778972,1,
YEL060C,PRB1,0.97339086,0,1.2871649,0,
YEL061C,CIN8,0.018890504,1,-0.4866649,0,
YEL062W,NPR2,-0.39869713,0.101,0.19203,0.996,
YEL063C,CAN1,0.16468332,1,-4.677806,0,
YEL064C,AVT2,0.16731939,1,-0.16722986,1,
YEL065W,SIT1,-0.51333299,0,-1.3790758,0,
YEL066W,HPA3,-1.3507764,0,-0.094357972,1,
YEL067C,YEL067C,-0.15359414,1,-0.31945599,0,
YEL068C,YEL068C,0.012783185,1,-0.35079476,0,
YEL069C,HXT13,0.60169652,0,0.074875311,1,
YEL070W,YEL070W,-0.2727173,1,0.96438384,0,
YEL071W,DLD3,0.11188599,1,0.78714824,0,
YEL072W,RMD6,0.72806853,0,0.36655443,0,
YEL073C,YEL073C,-0.5323595,0,0.035046716,1,
YEL074W,YEL074W,2.0306468,0,0.99399311,0,
YDR545W,YRF1-5,-0.069912163,1,-0.079392657,1,
YEL076C,YEL076C,0.039643775,1,-0.23081223,0.679,
YEL076C-A,YEL076C-A,0.30283958,1,-0.057505763,1,
YEL075W-A,YEL075W-A,1.8505394,0,1.3147661,0,
YBL113C,YBL113C,0.68611053,0,0.62742941,0,
YER001W,MNN1,0.2089417,1,0.81082969,0,
YER002W,NOP16,-0.13740658,1,-0.30365179,0.014,
YER003C,PMI40,0.24584854,1,-0.064929549,1,
YER004W,FMP52,0.50927019,0,0.0021912315,1,
YER005W,YND1,-0.47389312,0.004,0.037550907,1,
YER006W,NUG1,-0.34938247,0.042,-0.58612434,0,
YER007C-A,TMA20,-0.95029954,0,-0.35176651,0,
YER007W,PAC2,0.17588862,1,-0.079808855,1,
YER008C,SEC3,-0.036169315,1,-0.17418019,1,
YER009W,NTF2,-0.26553012,0.999,0.051302489,1,
YER010C,YER010C,-0.47885677,0,-0.076309221,1,
YER011W,TIR1,0.074135467,1,0.4386761,0,
YER012W,PRE1,0.089552386,1,0.053292097,1,
YER013W,PRP22,0.11797425,1,-0.099639757,1,
YER014C-A,BUD25,-0.20486312,1,-0.29088232,0.013,
YER014W,HEM14,0.18543526,1,0.2956525,0.006,
YER015W,FAA2,1.1285838,0,0.89266302,0,
YER016W,BIM1,0.076682222,1,-0.16147092,1,
YER017C,AFG3,0.35577182,0.037,-0.025332665,1,
YER018C,SPC25,-0.71267429,0,-0.61237277,0,
YER019C-A,SBH2,0.020967942,1,-0.048434584,1,
YER019W,ISC1,-0.2306514,1,-0.29405748,0.017,
YER020W,GPA2,-0.21369472,1,-0.13595692,1,
YER021W,RPN3,0.1394564,1,-0.4110036,0,
YER022W,SRB4,-0.084330726,1,-0.13550677,1,
YER023W,PRO3,-0.69586282,0,-0.2080826,0.832,
YER024W,YAT2,0.081462347,1,0.4501159,0,
YER025W,GCD11,-0.042386969,1,-0.41321316,0.006,
YER026C,CHO1,-0.36759031,0.99,-0.58443601,0,
YER027C,GAL83,-0.26240149,0.917,-0.2128668,0.795,
YER028C,MIG3,-0.78585281,0,-0.55483905,0,
YER029C,SMB1,-0.041856668,1,-0.35618259,0.014,
YER030W,CHZ1,-0.12066123,1,0.0030120861,1,
YER031C,YPT31,-0.062021413,1,0.12303045,1,
YER032W,FIR1,-0.62917061,0,-0.14845043,1,
YER033C,ZRG8,-0.025411953,1,0.32968621,0.022,
YER034W,YER034W,-0.84999151,0,-0.16773863,1,
YER035W,EDC2,0.12627248,1,0.29598157,0.006,
YER036C,ARB1,-0.4884004,0,-0.65467403,0,
YER037W,PHM8,0.4604595,0.002,1.4761224,0,
YER038C,KRE29,-0.73199926,0,-0.13517559,1,
YER039C,HVG1,-0.0049106256,1,-0.045148576,1,
YER039C-A,YER039C-A,0.22700167,1,-0.19674816,1,
YER040W,GLN3,-0.28511885,0.94,-0.29114709,0.687,
YER041W,YEN1,0.45265869,0,0.011237992,1,
YER042W,MXR1,0.2199584,1,-0.13795415,1,
YER043C,SAH1,-0.77958584,0,0.14911626,1,
YER044C,ERG28,-0.30809427,0.315,-0.40605732,0,
YER044C-A,MEI4,-0.70659891,0,0.40774431,0,
YER045C,ACA1,0.40218734,0.038,0.35347009,0,
YER046W,SPO73,0.34835708,0.085,0.36919286,0.019,
YER047C,SAP1,0.21259424,1,-0.23075467,0.998,
YER048C,CAJ1,-0.14942298,1,0.10463188,1,
YER048W-A,ISD11,-0.23560968,1,0.12341458,1,
YER049W,TPA1,-0.30992982,0.878,-0.46008585,0,
YER050C,RSM18,0.066344116,1,-0.011448365,1,
YER051W,JHD1,0.076367544,1,-0.28804527,0.06,
YER052C,HOM3,0.12800298,1,0.087938004,1,
YER053C,PIC2,0.55288854,0,1.2695838,0,
YER053C-A,YER053C-A,-0.96923453,0,0.26307047,0.825,
YER054C,GIP2,0.8358675,0,0.95520863,0,
YER055C,HIS1,0.2378696,1,-0.2360395,0.199,
YER056C,FCY2,-0.23604969,1,-0.36719948,0,
YER056C-A,RPL34A,-0.61313168,0.007,-0.10853571,1,
YER057C,HMF1,-0.82706963,0,0.080930488,1,
YER058W,PET117,-0.45844551,0.061,-0.60028858,0,
YER059W,PCL6,-0.56583778,0,-0.33554083,0.006,
YER060W,FCY21,0.23813872,1,-0.86579483,0,
YER060W-A,FCY22,-0.016387967,1,-0.26677236,0.879,
YER061C,CEM1,-0.68136269,0,0.47331936,0,
YER062C,HOR2,-0.47314193,0.003,0.16932215,1,
YER063W,THO1,-1.2646199,0,-0.63139702,0,
YER064C,YER064C,-0.23352357,1,0.04373645,1,
YER065C,ICL1,0.25452148,1,1.1113786,0,
YER066C-A,YER066C-A,0.44455046,0.038,0.045624694,1,
YER066W,YER066W,0.12592877,1,0.29735578,0.005,
YER067W,YER067W,0.47738721,0,1.0306821,0,
YER068W,MOT2,-0.23498302,1,-0.1579464,1,
YER069W,"ARG5,6",-0.44807356,0.002,1.7937294,0,
YER070W,RNR1,0.37480024,0.026,-0.2201066,0.819,
YER071C,YER071C,-0.62491718,0,-0.37321886,0,
YER072W,VTC1,-0.34570929,0.19,-0.11792045,1,
YER073W,ALD5,0.23910471,1,-0.48127956,0,
YER074W,RPS24B,-0.5849964,0,-0.48602423,0,
YER074W-A,YOS1,-0.081479426,1,-0.36076784,0,
YER075C,PTP3,0.090135291,1,-0.37323755,0,
YER076C,YER076C,0.12872892,1,-0.059630253,1,
YER077C,YER077C,0.39781391,0.008,-0.048042254,1,
YER078C,YER078C,0.39494211,0.004,-0.042037869,1,
YER079W,YER079W,-0.072274936,1,0.38698748,0.007,
YER080W,FMP29,0.070911352,1,0.081312355,1,
YER081W,SER3,2.010318,0,1.7505465,0,
YER082C,UTP7,0.039966565,1,-0.20035894,1,
YER083C,GET2,-0.30226532,0.434,-0.075708528,1,
YER084W,YER084W,0.73594669,0,0.16437439,1,
YER085C,YER085C,0.058787503,1,-0.192622,1,
YER086W,ILV1,-0.28893687,0.779,-0.07126964,1,
YER087C-B,SBH1,-0.048841945,1,-0.37796177,0.007,
YER087W,YER087W,0.41076441,0.008,0.30966515,1,
YER088C,DOT6,-0.45104262,0.003,0.12545273,1,
YER089C,PTC2,-2.5560285,0,-0.31393072,0.083,
YER090W,TRP2,-0.33357606,0.31,0.21586494,0.998,
YER091C,MET6,-0.533257,0,-1.1640113,0,
YER091C-A,YER091C-A,0.4053716,0.005,-0.081496217,1,
YER092W,IES5,-0.39769706,0.032,-0.39368854,0.237,
YER093C,TSC11,-0.039753723,1,-0.25575794,0.915,
YER093C-A,YER093C-A,0.10759414,1,-0.23642186,0.592,
YER094C,PUP3,0.12936216,1,-0.054708436,1,
YER095W,RAD51,0.60562708,0.008,0.014126729,1,
YER096W,SHC1,0.13372133,1,0.28792141,0.005,
YER097W,YER097W,0.49068308,0.004,0.15401281,1,
YER098W,UBP9,0.30752179,0.578,0.31773241,0.431,
YER099C,PRS2,0.10287309,1,-0.17243134,1,
YER100W,UBC6,0.17864454,1,0.13429981,1,
YER101C,AST2,0.46840606,1,0.297391,0.014,
YBL072C,RPS8B,0.24105915,1,0.58032883,0,
YER103W,SSA4,1.238903,0,1.4285766,0,
YER104W,RTT105,-0.27433387,0.989,-0.41159645,0,
YER105C,NUP157,-0.92926721,0,-0.72315082,0,
YER106W,MAM1,-0.103305,1,0.15559382,1,
YER107C,GLE2,-0.13745736,1,-0.36110319,0,
YER109C,FLO8,0.60958478,0,0.17352404,1,
YER110C,KAP123,-0.43965677,0.002,-0.64977661,0,
YER111C,SWI4,0.1236662,1,0.19913521,1,
YER112W,LSM4,0.0056011964,1,-0.45163243,0.012,
YER113C,YER113C,0.24972445,0.994,-0.18651143,1,
YER114C,BOI2,-0.5891401,0,-0.56890983,0,
YER115C,SPR6,-0.11292398,1,-0.146164,1,
YER116C,SLX8,-0.13383423,1,0.25752965,0.992,
YER117W,RPL23B,-0.1486903,1,-0.11869874,1,
YER118C,SHO1,-0.073318879,1,-0.28512939,0.036,
YER119C,AVT6,-0.072027717,1,0.030434962,1,
YER119C-A,YER119C-A,-0.43902098,1,-0.039694404,1,
YER120W,SCS2,-0.13666729,1,-0.16600404,1,
YER121W,YER121W,0.47884759,0.029,0.57037549,0,
YER122C,GLO3,-0.12167486,1,-0.31360077,0.485,
YER123W,YCK3,0.050411145,1,-0.12677581,1,
YER124C,DSE1,0.57537042,1,-0.73883269,0,
YER125W,RSP5,-0.095586039,1,-0.19914937,1,
YER126C,NSA2,-0.28683034,0.994,-0.42193465,0,
YER127W,LCP5,0.010092336,1,-0.344923,0,
YER128W,YER128W,-0.82040997,0,-0.34181503,0.007,
YER129W,SAK1,0.30395021,1,-0.10140775,1,
YER130C,YER130C,-0.50455042,0,-0.58257249,0,
YER131W,RPS26B,-0.11923612,1,-0.64205845,0,
YER132C,PMD1,-0.098154954,1,-0.23991364,1,
YER133W,GLC7,-0.17341043,1,-0.27010185,0.787,
YER134C,YER134C,-0.27795373,0.811,0.050661891,1,
YER135C,YER135C,-0.15187165,1,-0.14776779,1,
YER136W,GDI1,0.29183927,0.96,0.15924166,1,
YER137C,YER137C,-0.75095764,0,0.019388793,1,
YAR010C,YAR010C,0.65602035,0,0.86093102,0.077,
YAR009C,YAR009C,0.39961956,0.179,0.057318561,1,
YER138W-A,YER138W-A,1.3926471,0,1.1615524,0,
YER139C,YER139C,-0.45792425,0,0.28183472,0.051,
YER140W,YER140W,-0.66824205,0,-0.93838415,0,
YER141W,COX15,0.52175432,0.468,0.20957813,0.656,
YER142C,MAG1,-0.073384151,1,0.3255476,0.004,
YER143W,DDI1,0.22621256,1,0.0076691444,1,
YER144C,UBP5,-0.024170279,1,0.32998465,0.005,
YER145C,FTR1,-0.41217035,0.013,-1.3197117,0,
YER146W,LSM5,-0.3883158,0.432,-0.55687291,0,
YER147C,SCC4,-0.043348544,1,-0.10297648,1,
YER148W,SPT15,-0.18112,1,-0.5648643,0,
YER149C,PEA2,-0.21589307,1,-0.56067474,0,
YER150W,SPI1,0.38038591,0.129,-0.061515463,1,
YER151C,UBP3,0.77283157,0,-0.13192015,1,
YER152C,YER152C,-0.66262914,0,-0.050279816,1,
YER153C,PET122,0.042756387,1,0.034398858,1,
YER154W,OXA1,-0.13428227,1,-0.16991671,1,
YER155C,BEM2,0.13975761,1,0.21373921,1,
YER156C,YER156C,-0.67160238,0,-0.7760956,0,
YER157W,COG3,-0.19506093,1,-0.20111336,1,
YER158C,YER158C,0.0048968432,1,0.19196685,1,
YER159C,BUR6,-0.1829351,1,-0.16453184,1,
YAR010C,YAR010C,0.64959707,0,0.79513521,0.267,
YBL005W-B,YBL005W-B,0.42440617,0.106,0.18927425,1,
YER161C,SPT2,-0.14655839,1,-0.35077084,0,
YER162C,RAD4,0.56879096,0,-0.052981752,1,
YER163C,YER163C,-0.10409871,1,-0.087477358,1,
YER164W,CHD1,0.090270816,1,-0.41768872,0,
YER165W,PAB1,-0.16484557,1,-0.10450813,1,
YER166W,DNF1,-0.0089043249,1,-0.24223937,1,
YER167W,BCK2,0.24544698,1,0.23564129,0.747,
YER168C,CCA1,0.14479037,1,0.01908984,1,
YER169W,RPH1,-0.19579937,1,-0.25054983,0.715,
YER170W,ADK2,-0.095396445,1,-0.52071976,0,
YER171W,RAD3,0.41629931,0.003,-0.28270721,0.026,
YER172C,BRR2,0.17256432,1,-0.32845118,0.024,
YER173W,RAD24,0.49780139,0,0.1034775,1,
YER174C,GRX4,0.097556863,1,-0.20118302,1,
YER175C,TMT1,-0.36356052,0.981,0.58484708,0,
YER176W,ECM32,-0.29324049,0.935,-0.371581,0,
YER177W,BMH1,-0.15610618,1,-0.063843401,1,
YER178W,PDA1,0.06015809,1,0.21735481,1,
YER179W,DMC1,0.23490593,1,1.1961601,0,
YER180C,ISC10,0.12435461,1,-0.13538317,1,
YER181C,YER181C,-0.1848722,1,-0.26793924,1,
YER182W,FMP10,-0.033768895,1,-0.13251466,1,
YER183C,FAU1,-0.21390721,1,-0.39888733,0.353,
YER184C,YER184C,0.35281501,0.125,0.6335986,0,
YER185W,YER185W,1.2130984,0,0.60234285,0,
YER186C,YER186C,-0.4883923,0,-0.29267665,0.456,
YER187W,YER187W,-0.39938008,1,0.0057736387,1,
YER187W,YER187W,-0.28722992,1,-0.1454617,1,
YER188W,YER188W,-0.18331674,1,0.31179372,0,
YDR545W,YRF1-5,-0.35685864,0.695,-0.11220181,1,
YER190W,YRF1-2,1.321016,0,1.1290192,0,
YFL001W,DEG1,0.10460504,1,-0.78337255,0,
YFL002C,SPB4,-0.010997637,1,-0.59165117,0,
YBL100W-B,YBL100W-B,0.86236807,0,1.1807717,0,
YBL100W-A,YBL100W-A,2.2331917,0,1.9455141,0,
YFL003C,MSH4,-0.62014175,0.208,-0.46555586,0,
YFL004W,VTC2,-0.060009203,1,-0.42006297,0,
YFL005W,SEC4,-0.06705594,1,-0.17874695,1,
YFL007W,BLM10,0.2426086,1,-0.52317455,0,
YFL007W,BLM10,0.15337733,1,-0.78067099,0,
YFL008W,SMC1,0.24759945,0.996,-0.39046628,0,
YFL009W,CDC4,0.019274913,1,0.007252921,1,
YFL010C,WWM1,0.060822148,1,0.31593714,0.027,
YFL010W-A,AUA1,-0.17679522,1,-0.49636632,0,
YFL011W,HXT10,0.0031560475,1,0.28844125,0.233,
YFL012W,YFL012W,0.12617995,1,-0.015934234,1,
YFL013C,IES1,0.13257684,1,-0.089408545,1,
YFL012W-A,YFL012W-A,0.13390542,1,-0.22298982,0.998,
YFL014W,HSP12,1.6478625,0,2.5410192,0,
YFL015C,YFL015C,0.16257099,1,0.12178463,1,
YFL016C,MDJ1,-0.078662696,1,0.41143709,0,
YFL017C,GNA1,-0.47948019,1,-0.30744604,0,
YFL017W-A,SMX2,-0.52263352,0,-0.48055673,0,
YFL018C,LPD1,0.092762214,1,0.46680981,0,
YFL019C,YFL019C,0.025765905,1,0.046924048,1,
YFL020C,PAU5,0.15709547,1,0.95844924,0,
YFL021W,GAT1,0.48422064,0.935,0.45870747,0,
YFL022C,FRS2,-0.24997155,1,-0.30467426,0,
YFL023W,BUD27,-0.13113943,1,-0.42104583,0,
YFL024C,EPL1,0.54956075,0,0.19962524,0.963,
YFL025C,BST1,0.38034158,0.085,-0.1203256,1,
YFL026W,STE2,0.35025961,0.704,1.0219416,0,
YFL027C,GYP8,-0.041893797,1,0.12759366,1,
YFL028C,CAF16,-0.19070246,1,0.0041058328,1,
YFL029C,CAK1,0.10594621,1,-2.3290437,0,
YFL030W,AGX1,0.73270335,0,0.25440054,0.848,
YFL031W,HAC1,0.31798704,0.453,0.23669466,1,
YFL032W,YFL032W,0.15246901,1,-0.067893462,1,
YFL033C,RIM15,0.65515946,0,0.2152437,0.517,
YFL034C-A,RPL22B,-0.21057956,1,-0.50649407,0,
YFL034C-B,MOB2,-0.12347795,1,-0.088009366,1,
YFL034W,YFL034W,0.70407516,0,-0.35712841,0.277,
YFL036W,RPO41,0.027691953,1,-0.34222831,0,
YFL037W,TUB2,-0.020557015,1,-0.2619724,1,
YFL038C,YPT1,0.13049602,1,0.0050693697,1,
YFL039C,ACT1,-0.27187922,1,0.41481747,0,
YFL040W,YFL040W,0.2430719,1,0.13259,1,
YFL041W,FET5,0.10390714,1,0.03092928,1,
YFL042C,YFL042C,0.61534096,0,0.36938273,0.015,
YFL042C,YFL042C,0.96648953,0,0.31585602,0.989,
YFL044C,OTU1,-0.58486224,0.026,-0.17799597,0.996,
YFL045C,SEC53,0.22416379,1,0.0083004266,1,
YFL046W,FMP32,-0.29871356,1,0.032002073,1,
YFL047W,RGD2,0.023241156,1,0.012339826,1,
YFL048C,EMP47,0.012325522,1,-0.097322835,1,
YFL049W,SWP82,-0.0075824985,1,0.013383646,1,
YFL050C,ALR2,0.61871791,0,0.31129385,0.037,
YFL051C,YFL051C,-0.1391929,1,-0.19947569,0.98,
YFL052W,YFL052W,-0.045156018,1,0.26620485,1,
YFL053W,DAK2,1.1149467,0,0.10759414,1,
YFL054C,YFL054C,1.120896,0,0.70742761,0,
YFL055W,AGP3,0.18449613,1,0.52103063,0,
YFL056C,AAD6,0.61822926,0,0.6242413,0,
YCR107W,AAD3,0.41482829,0.044,0.48213579,0,
YDL244W,THI13,0.010851435,1,1.5953795,0,
YFL059W,SNZ3,-0.81161174,0,1.3438569,0,
YFL060C,SNO3,-1.0131129,0,-0.054074729,1,
