"List of kinase-kinase, phosphatase-phosphatase, and kinase-phosphatase pairs that share common substrates and for which the EMAP contained interaction scores.",,,,,
"For the sake of completion, known kinase and phosphatase regulators were also includedin this analysis.",,,,,
"Two kinases with one or more shared substrates",,,,,
"Kinase or regulator",,"Kinase or regulator",,Score,Relationship
YKL139W,CTK1,YDL108W,KIN28,-1.451539,"Shared substrate"
YJR059W,PTK2,YHR135C,YCK1,-0.569138,"Shared substrate"
YJR059W,PTK2,YNL154C,YCK2,-0.417148,"Shared substrate"
YPR120C,CLB5,YAL040C,CLN3,0.390545,"Shared substrate"
YPR120C,CLB5,YNL289W,PCL1,-0.067403,"Shared substrate"
YPR120C,CLB5,YGR109C,CLB6,-4.484755,"Shared substrate"
YNL298W,CLA4,YPL031C,PHO85,0.143143,"Shared substrate"
YNL298W,CLA4,YMR199W,CLN1,0.278889,"Shared substrate"
YNL298W,CLA4,YPR119W,CLB2,-3.237418,"Shared substrate"
YNL298W,CLA4,YDL155W,CLB3,0.512719,"Shared substrate"
YNL298W,CLA4,YAL040C,CLN3,-2.915852,"Shared substrate"
YNL298W,CLA4,YPR120C,CLB5,-1.114258,"Shared substrate"
YNL298W,CLA4,YKL048C,ELM1,1.77375,"Shared substrate"
YNL298W,CLA4,YKL101W,HSL1,-7.213511,"Shared substrate"
YNL298W,CLA4,YPL256C,CLN2,1.160057,"Shared substrate"
YNL298W,CLA4,YHL007C,STE20,-5.536367,"Shared substrate"
YNL298W,CLA4,YDL127W,PCL2,-0.636033,"Shared substrate"
YNL298W,CLA4,YGR109C,CLB6,1.025185,"Shared substrate"
YNL298W,CLA4,YLR210W,CLB4,0.772052,"Shared substrate"
YDR507C,GIN4,YHR135C,YCK1,-0.011054,"Shared substrate"
YDR507C,GIN4,YNL154C,YCK2,-0.642151,"Shared substrate"
YDR507C,GIN4,YPL204W,HRR25,0.175573,"Shared substrate"
YDR507C,GIN4,YMR139W,RIM11,0.184163,"Shared substrate"
YKL048C,ELM1,YER129W,SAK1,-0.931587,"Shared substrate"
YKL048C,ELM1,YPR119W,CLB2,-8.975716,"Shared substrate"
YKL048C,ELM1,YER027C,GAL83,-0.35081,"Shared substrate"
YKL048C,ELM1,YDR477W,SNF1,-9.016723,"Shared substrate"
YKL048C,ELM1,YPR120C,CLB5,-0.585834,"Shared substrate"
YKL048C,ELM1,YKL101W,HSL1,-1.001197,"Shared substrate"
YKL048C,ELM1,YNL307C,MCK1,-0.632058,"Shared substrate"
YKL048C,ELM1,YLR113W,HOG1,-0.08318,"Shared substrate"
YKL048C,ELM1,YGL208W,SIP2,-0.838125,"Shared substrate"
YKL048C,ELM1,YGL179C,TOS3,0.245203,"Shared substrate"
YKL101W,HSL1,YMR199W,CLN1,-0.377393,"Shared substrate"
YKL101W,HSL1,YPR119W,CLB2,-7.23362,"Shared substrate"
YKL101W,HSL1,YPR120C,CLB5,-0.268938,"Shared substrate"
YPL256C,CLN2,YPR119W,CLB2,-0.952349,"Shared substrate"
