"List of kinase-kinase, phosphatase-phosphatase, and kinase-phosphatase pairs that share common substrates and for which the EMAP contained interaction scores.",,,,,
"For the sake of completion, known kinase and phosphatase regulators were also includedin this analysis.",,,,,
"Two kinases with one or more shared substrates",,,,,
"Kinase or regulator",,"Kinase or regulator",,Score,Relationship
YER075C,PTP3,YKL190W,CNB1,-0.084239,"Shared substrate"
YLR433C,CNA1,YKL190W,CNB1,1.256789,"Shared substrate"
YLL010C,PSR1,YDR028C,REG1,-0.094772,"Shared substrate"
YLR019W,PSR2,YDR028C,REG1,-0.561902,"Shared substrate"
YDL047W,SIT4,YFR040W,SAP155,2.688053,"Shared substrate"
YDL047W,SIT4,YIL153W,RRD1,0.891175,"Shared substrate"
YDL047W,SIT4,YOR208W,PTP2,0.295237,"Shared substrate"
YDL047W,SIT4,YPL152W,RRD2,0.820988,"Shared substrate"
YDL047W,SIT4,YNL053W,MSG5,-0.06677,"Shared substrate"
YIL113W,SDP1,YOR208W,PTP2,-0.433156,"Shared substrate"
YIL113W,SDP1,YER075C,PTP3,0.148147,"Shared substrate"
YBL056W,PTC3,YMR036C,MIH1,-0.275811,"Shared substrate"
YBL056W,PTC3,YOR090C,PTC5,0.662282,"Shared substrate"
YOR090C,PTC5,YMR036C,MIH1,0.382494,"Shared substrate"
YML057W,CMP2,YKL190W,CNB1,-0.1974,"Shared substrate"
YML057W,CMP2,YLR433C,CNA1,-0.745832,"Shared substrate"
"Kinase-phosphatase pairs that share a common substrate",,,,,
"Kinase or regulator",,"Phosphatase or regulator",,Score,Relationship
"ORF name","Gene name","ORF name","Gene name",,
YBL088C,TEL1,YER089C,PTC2,-0.210141,"Shared substrate"
YPL031C,PHO85,YKL190W,CNB1,-0.155066,"Shared substrate"
YPL031C,PHO85,YLR433C,CNA1,-0.015145,"Shared substrate"
YPL031C,PHO85,YML057W,CMP2,-0.188569,"Shared substrate"
YER129W,SAK1,YML016C,PPZ1,1.092619,"Shared substrate"
YER129W,SAK1,YDR028C,REG1,2.719591,"Shared substrate"
YOR351C,MEK1,YDR075W,PPH3,0.124842,"Shared substrate"
YOR351C,MEK1,YNL201C,PSY2,0.775974,"Shared substrate"
YFL029C,CAK1,YDL188C,PPH22,0.677076,"Shared substrate"
YFL029C,CAK1,YMR036C,MIH1,0.611471,"Shared substrate"
YFL029C,CAK1,YER089C,PTC2,1.55709,"Shared substrate"
YFL029C,CAK1,YDL134C,PPH21,0.240041,"Shared substrate"
YFL029C,CAK1,YBL056W,PTC3,0.185,"Shared substrate"
YFL029C,CAK1,YOR090C,PTC5,1.154355,"Shared substrate"
YBR160W,CDC28,YDL188C,PPH22,-0.245187,"Shared substrate"
YBR160W,CDC28,YMR036C,MIH1,-0.182306,"Shared substrate"
YBR160W,CDC28,YKL190W,CNB1,2.709167,"Shared substrate"
YBR160W,CDC28,YER089C,PTC2,0.238574,"Shared substrate"
YBR160W,CDC28,YDL134C,PPH21,0.561493,"Shared substrate"
YBR160W,CDC28,YLR433C,CNA1,0.493131,"Shared substrate"
YBR160W,CDC28,YBL056W,PTC3,-0.008488,"Shared substrate"
YBR160W,CDC28,YOR090C,PTC5,-0.172965,"Shared substrate"
YBR160W,CDC28,YML057W,CMP2,-0.454599,"Shared substrate"
YPR119W,CLB2,YGL190C,CDC55,-0.351753,"Shared substrate"
YER027C,GAL83,YDR028C,REG1,2.104532,"Shared substrate"
YDR477W,SNF1,YML016C,PPZ1,2.02505,"Shared substrate"
YDR477W,SNF1,YIL153W,RRD1,3.316598,"Shared substrate"
YDR477W,SNF1,YPL152W,RRD2,-1.342208,"Shared substrate"
YDR477W,SNF1,YLL010C,PSR1,-0.746696,"Shared substrate"
YDR477W,SNF1,YLR019W,PSR2,1.427979,"Shared substrate"
YDR477W,SNF1,YDR028C,REG1,2.357254,"Shared substrate"
YDR477W,SNF1,YDL047W,SIT4,3.483093,"Shared substrate"
YKL139W,CTK1,YNL222W,SSU72,-5.779894,"Shared substrate"
YKL139W,CTK1,YMR277W,FCP1,0.93849,"Shared substrate"
YDR507C,GIN4,YDL188C,PPH22,1.041993,"Shared substrate"
YDR507C,GIN4,YOR014W,RTS1,0.599668,"Shared substrate"
YDR507C,GIN4,YDL134C,PPH21,-0.780832,"Shared substrate"
YKL048C,ELM1,YKL190W,CNB1,-0.721102,"Shared substrate"
YKL048C,ELM1,YLR433C,CNA1,-0.705628,"Shared substrate"
YKL048C,ELM1,YDR028C,REG1,-0.510965,"Shared substrate"
YKL048C,ELM1,YML057W,CMP2,1.154516,"Shared substrate"
YGL019W,CKB1,YDL188C,PPH22,-0.31563,"Shared substrate"
YGL019W,CKB1,YMR036C,MIH1,0.745989,"Shared substrate"
YGL019W,CKB1,YER089C,PTC2,-7.260311,"Shared substrate"
YGL019W,CKB1,YDL134C,PPH21,0.8024,"Shared substrate"
YGL019W,CKB1,YBL056W,PTC3,0.451689,"Shared substrate"
YGL019W,CKB1,YOR090C,PTC5,0.560893,"Shared substrate"
YOR039W,CKB2,YDL188C,PPH22,0.9014,"Shared substrate"
YOR039W,CKB2,YMR036C,MIH1,-0.029229,"Shared substrate"
YOR039W,CKB2,YER089C,PTC2,-0.17473,"Shared substrate"
YOR039W,CKB2,YDL134C,PPH21,0.465011,"Shared substrate"
YOR039W,CKB2,YBL056W,PTC3,0.192263,"Shared substrate"
YOR039W,CKB2,YOR090C,PTC5,0.823196,"Shared substrate"
YOR233W,KIN4,YGL190C,CDC55,-0.011685,"Shared substrate"
YGR188C,BUB1,YER089C,PTC2,0.22684,"Shared substrate"
YNL307C,MCK1,YKL190W,CNB1,0.740282,"Shared substrate"
YNL307C,MCK1,YLR433C,CNA1,0.044202,"Shared substrate"
YNL307C,MCK1,YML057W,CMP2,-0.911865,"Shared substrate"
YOL128C,YGK3,YML016C,PPZ1,0.077724,"Shared substrate"
YOL128C,YGK3,YOR208W,PTP2,-0.317245,"Shared substrate"
YOL128C,YGK3,YDL006W,PTC1,-0.039584,"Shared substrate"
YOL128C,YGK3,YNL053W,MSG5,0.056884,"Shared substrate"
YOL128C,YGK3,YDR436W,PPZ2,-0.37819,"Shared substrate"
YOL128C,YGK3,YER075C,PTP3,-0.697644,"Shared substrate"
YOL128C,YGK3,YDL047W,SIT4,-0.530283,"Shared substrate"
YOL128C,YGK3,YIL113W,SDP1,0.566956,"Shared substrate"
YJL128C,PBS2,YBR125C,PTC4,1.365863,"Shared substrate"
YJL128C,PBS2,YML016C,PPZ1,0.679034,"Shared substrate"
YJL128C,PBS2,YKL190W,CNB1,0.15705,"Shared substrate"
YJL128C,PBS2,YOR208W,PTP2,1.755246,"Shared substrate"
YJL128C,PBS2,YDL006W,PTC1,2.987284,"Shared substrate"
YJL128C,PBS2,YER089C,PTC2,0.129317,"Shared substrate"
YJL128C,PBS2,YNL053W,MSG5,-1.150894,"Shared substrate"
YJL128C,PBS2,YDR436W,PPZ2,-0.03469,"Shared substrate"
YJL128C,PBS2,YER075C,PTP3,-0.937213,"Shared substrate"
YJL128C,PBS2,YDL047W,SIT4,-0.84431,"Shared substrate"
YJL128C,PBS2,YIL113W,SDP1,0.050121,"Shared substrate"
YLR113W,HOG1,YKL190W,CNB1,0.591987,"Shared substrate"
YLR113W,HOG1,YLR433C,CNA1,0.044777,"Shared substrate"
YLR113W,HOG1,YML057W,CMP2,0.411643,"Shared substrate"
YHR030C,SLT2,YDL047W,SIT4,0.652974,"Shared substrate"
YPL140C,MKK2,YML016C,PPZ1,-1.119923,"Shared substrate"
YPL140C,MKK2,YOR208W,PTP2,-0.059594,"Shared substrate"
YPL140C,MKK2,YDL006W,PTC1,0.008314,"Shared substrate"
YPL140C,MKK2,YNL053W,MSG5,1.47669,"Shared substrate"
YPL140C,MKK2,YDR436W,PPZ2,0.435735,"Shared substrate"
YPL140C,MKK2,YER075C,PTP3,0.126005,"Shared substrate"
YPL140C,MKK2,YDL047W,SIT4,0.579056,"Shared substrate"
YPL140C,MKK2,YIL113W,SDP1,0.03402,"Shared substrate"
YJL006C,CTK2,YNL222W,SSU72,0.380394,"Shared substrate"
YJL006C,CTK2,YMR277W,FCP1,-0.22051,"Shared substrate"
YML112W,CTK3,YNL222W,SSU72,-0.36809,"Shared substrate"
YML112W,CTK3,YMR277W,FCP1,-0.52274,"Shared substrate"
YJR066W,TOR1,YDL188C,PPH22,0.876038,"Shared substrate"
YJR066W,TOR1,YDL134C,PPH21,1.671061,"Shared substrate"
YJR066W,TOR1,YDL047W,SIT4,0.466848,"Shared substrate"
YGL208W,SIP2,YDR028C,REG1,0.506533,"Shared substrate"
YPL203W,TPK2,YDL188C,PPH22,-0.258391,"Shared substrate"
YPL203W,TPK2,YGL190C,CDC55,0.127176,"Shared substrate"
YPL203W,TPK2,YDL134C,PPH21,-0.139221,"Shared substrate"
YPL203W,TPK2,YLL010C,PSR1,0.096075,"Shared substrate"
YPL203W,TPK2,YLR019W,PSR2,-0.101555,"Shared substrate"
YPL203W,TPK2,YDR028C,REG1,1.083606,"Shared substrate"
YPL204W,HRR25,YDL188C,PPH22,0.307182,"Shared substrate"
YPL204W,HRR25,YKL190W,CNB1,0.389098,"Shared substrate"
YPL204W,HRR25,YOR014W,RTS1,-0.361402,"Shared substrate"
YPL204W,HRR25,YDL134C,PPH21,0.466526,"Shared substrate"
YPL204W,HRR25,YLR433C,CNA1,0.467005,"Shared substrate"
YPL204W,HRR25,YML057W,CMP2,0.564293,"Shared substrate"
YBL105C,PKC1,YML016C,PPZ1,-0.256802,"Shared substrate"
YBL105C,PKC1,YOR208W,PTP2,0.458158,"Shared substrate"
YBL105C,PKC1,YDL006W,PTC1,0.290522,"Shared substrate"
YBL105C,PKC1,YNL053W,MSG5,0.420989,"Shared substrate"
YBL105C,PKC1,YDR436W,PPZ2,-1.040975,"Shared substrate"
YBL105C,PKC1,YER075C,PTP3,-0.309688,"Shared substrate"
YBL105C,PKC1,YIL113W,SDP1,-0.554487,"Shared substrate"
YJL187C,SWE1,YDL188C,PPH22,-0.37896,"Shared substrate"
YJL187C,SWE1,YMR036C,MIH1,0.419576,"Shared substrate"
YJL187C,SWE1,YER089C,PTC2,-0.55451,"Shared substrate"
YJL187C,SWE1,YDL134C,PPH21,-0.142922,"Shared substrate"
YJL187C,SWE1,YBL056W,PTC3,0.286476,"Shared substrate"
YJL187C,SWE1,YOR090C,PTC5,0.481316,"Shared substrate"
YJL164C,TPK1,YDL188C,PPH22,0.425518,"Shared substrate"
YJL164C,TPK1,YKL190W,CNB1,-0.044707,"Shared substrate"
YJL164C,TPK1,YGL190C,CDC55,1.249648,"Shared substrate"
YJL164C,TPK1,YDL134C,PPH21,-1.164748,"Shared substrate"
YJL164C,TPK1,YLR433C,CNA1,-0.761937,"Shared substrate"
YJL164C,TPK1,YLL010C,PSR1,-1.045334,"Shared substrate"
YJL164C,TPK1,YLR019W,PSR2,0.544515,"Shared substrate"
YJL164C,TPK1,YDR028C,REG1,0.018595,"Shared substrate"
YJL164C,TPK1,YDL047W,SIT4,1.964083,"Shared substrate"
YJL164C,TPK1,YML057W,CMP2,0.208363,"Shared substrate"
YGL179C,TOS3,YDR028C,REG1,1.685615,"Shared substrate"
YOR061W,CKA2,YDL188C,PPH22,0.646301,"Shared substrate"
YOR061W,CKA2,YMR036C,MIH1,0.438569,"Shared substrate"
YOR061W,CKA2,YER089C,PTC2,-0.10912,"Shared substrate"
YOR061W,CKA2,YDL134C,PPH21,-1.196275,"Shared substrate"
YOR061W,CKA2,YBL056W,PTC3,0.957447,"Shared substrate"
YOR061W,CKA2,YPR073C,LTP1,-0.030914,"Shared substrate"
YIL035C,CKA1,YDL188C,PPH22,-0.664698,"Shared substrate"
YIL035C,CKA1,YMR036C,MIH1,0.118181,"Shared substrate"
YIL035C,CKA1,YER089C,PTC2,-0.396945,"Shared substrate"
YIL035C,CKA1,YDL134C,PPH21,0.225417,"Shared substrate"
YIL035C,CKA1,YBL056W,PTC3,0.182978,"Shared substrate"
YIL035C,CKA1,YOR090C,PTC5,0.000571,"Shared substrate"
YBR136W,MEC1,YER089C,PTC2,0.463235,"Shared substrate"
YKL166C,TPK3,YDL188C,PPH22,0.286219,"Shared substrate"
YKL166C,TPK3,YKL190W,CNB1,-2.273302,"Shared substrate"
YKL166C,TPK3,YGL190C,CDC55,4.000526,"Shared substrate"
YKL166C,TPK3,YDL134C,PPH21,1.017415,"Shared substrate"
YKL166C,TPK3,YLR433C,CNA1,-0.226225,"Shared substrate"
YKL166C,TPK3,YLL010C,PSR1,1.004822,"Shared substrate"
YKL166C,TPK3,YLR019W,PSR2,-0.313127,"Shared substrate"
YKL166C,TPK3,YDR028C,REG1,-0.779279,"Shared substrate"
YKL166C,TPK3,YML057W,CMP2,-0.162143,"Shared substrate"
YOR231W,MKK1,YML016C,PPZ1,0.003012,"Shared substrate"
YOR231W,MKK1,YDL006W,PTC1,2.871845,"Shared substrate"
YOR231W,MKK1,YNL053W,MSG5,0.170121,"Shared substrate"
YOR231W,MKK1,YDR436W,PPZ2,-0.704891,"Shared substrate"
YOR231W,MKK1,YER075C,PTP3,0.260258,"Shared substrate"
YOR231W,MKK1,YDL047W,SIT4,1.707334,"Shared substrate"
YOR231W,MKK1,YIL113W,SDP1,0.901519,"Shared substrate"
YPL042C,SSN3,YLL010C,PSR1,-0.147006,"Shared substrate"
YPL042C,SSN3,YLR019W,PSR2,-0.848049,"Shared substrate"
YPL042C,SSN3,YDR028C,REG1,2.074486,"Shared substrate"
YKL126W,YPK1,YML016C,PPZ1,0.442869,"Shared substrate"
YKL126W,YPK1,YER075C,PTP3,-0.344231,"Shared substrate"
YKL126W,YPK1,YIL113W,SDP1,0.008313,"Shared substrate"
